,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GNB,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,4,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,3,1,1,0,0,0,2,0,0,0,0,0,0,5,0,0,44,0,0,0,0,0,5,0,13,1,0,0,2,0,0,1,26,0,16,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,4,4,0,7,0,0,1,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,10,0,0,0,0,0,0,1,0,0,0,0,5,2,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,8,0,1,1,3,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,5,0,1,0,0,0,3,0,0,3,7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GRC,0,6,1,3,84,0,0,267,241,176,0,964,956,127,0,1248,8,0,3,49,363,12,4,70,0,192,1,2,5,640,8,6,0,9,0,890,1483,282,1246,7,21,1,2,0,257,0,2,15,46,1,1,916,762,2856,0,0,836,8,60,104,356,0,2220,222,35,652,6,0,2180,4,5,2,4346,212,23,0,3,5,0,0,0,6,0,10,0,5,3,423,3,544,92,626,500,374,38,59,539,3086,6,52,619,57,32,18,2,0,1,386,93,0,100,1,30,0,0,76,0,259,74,162,0,140,3,22,8,0,319,1,95,6,88,3,82,5,16,0,0,5,6,235,8,1,6,98,0,1529,672,25,193,40,254,23,91,73,0,1,1074,1,862,18,60,0,187,555,798,7,362,15,14,208,1,0,2,0,2,2,0,551,0,0,1,291,394,1044,2,6,2,8,0,0,0,270,5,3,0,1,5,89,809,0,329,10,25,239,32,3369,42,0,1,2,14,0,80,0,1,17,16,342,2,2
GRD,0,0,0,0,0,0,0,3,2,0,1,22,6,0,0,4,0,0,0,0,3,0,2,0,0,0,2,0,0,5,2,0,0,0,0,17,8,4,10,0,0,0,0,0,2,0,0,0,0,0,1,2,2,13,0,0,0,0,0,0,1,0,7,0,0,2,1,0,6,0,0,0,30,0,1,0,2,0,0,0,6,0,0,0,0,1,0,0,0,2,0,5,1,1,0,1,2,5,2,1,28,0,4,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,4,3,0,4,0,2,0,1,2,0,0,32,0,0,0,0,0,0,0,6,0,8,0,3,2,0,0,0,0,0,0,0,1,0,0,0,2,2,3,0,1,0,0,0,0,0,2,0,0,0,1,5,0,6,0,3,0,0,0,1,165,0,0,0,2,1,0,0,0,0,0,0,6,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,133,0,0,0,0,0,13,1,0,17,0,0,17,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,18,1,1,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,44,0,4,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,21,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,4,0,0
GTM,1,0,1,0,5,0,0,9,86,1,0,26,14,2,0,14,6,0,0,12,8,3,0,2,0,2,2,0,19,89,3,3,1,2,0,39,31,64,17,2,6,6,0,0,83,0,2,35,20,0,0,6,11,32,0,0,15,41,2,42,12,0,57,6,9,12,1,0,28,0,1,2,79,5,8,0,2,1,0,0,10,0,0,0,0,1,29,8,7,8,16,36,12,10,4,2,9,27,2,12,16,7,14,4,1,0,0,6,8,0,5,0,8,1,0,6,0,8,3,2,0,7,0,1,3,0,118,0,5,3,2,2,1,3,4,0,0,2,4,13,1,0,2,13,20,24,18,7,10,7,21,31,58,13,0,0,20,1,28,26,7,0,7,8,10,3,10,4,2,14,0,0,2,0,25,0,0,9,0,0,0,3,5,19,0,0,3,2,0,2,2,4,1,1,1,1,1,4,12,0,7,4,10,2,32,241,1,0,0,0,35,0,4,0,1,0,7,25,3,2
GUF,0,0,0,0,0,0,0,0,2,0,0,7,7,0,0,13,1,0,1,0,0,0,0,0,0,0,1,0,2,19,2,1,0,0,2,9,11,5,2,8,1,2,2,0,5,0,0,1,1,0,0,0,3,12,0,0,1,1,0,3,0,0,11,0,2,4,0,0,89,0,0,1,22,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,1,5,3,0,2,0,0,5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,24,0,0,0,0,4,0,1,0,0,0,0,1,0,0
GUY,0,0,0,4,0,0,0,8,4,0,0,15,3,5,0,5,1,0,0,9,1,3,0,0,0,0,2,0,2,15,1,3,0,4,1,18,7,5,12,1,6,2,2,0,10,0,0,2,0,0,1,1,8,13,0,1,5,0,0,3,9,0,13,3,11,8,2,0,10,0,3,1,48,1,10,0,0,4,0,0,5,1,0,1,4,0,0,9,1,3,10,15,5,10,8,1,2,13,1,5,11,3,8,3,3,0,1,9,4,2,2,1,3,0,0,8,0,0,0,0,0,5,0,0,0,0,11,0,1,0,0,0,0,2,2,0,0,0,0,13,0,0,0,12,1,14,10,7,8,5,9,7,11,6,0,0,9,0,10,0,2,0,9,8,9,1,9,1,0,7,0,0,0,1,0,0,0,9,0,0,0,0,1,11,0,1,0,0,0,0,0,3,0,0,0,0,3,2,6,0,10,4,7,6,0,52,4,0,0,1,4,0,9,0,0,0,5,9,3,1
HND,2,0,0,0,0,0,0,1,33,0,0,6,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,44,0,0,0,1,0,10,8,33,7,0,1,1,0,0,35,0,0,15,16,0,0,0,0,7,0,0,1,24,1,21,2,0,28,0,2,1,0,0,3,0,0,0,22,0,2,0,0,1,0,0,3,0,0,29,0,0,0,0,8,0,0,2,3,0,0,0,1,10,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,20,5,2,0,1,0,0,22,29,2,0,0,1,0,1,14,0,0,0,1,2,0,1,1,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,1,20,82,0,0,0,0,22,0,3,0,0,0,0,5,1,1
HRV,0,0,2,5,68,0,0,47,75,140,0,323,553,54,1,410,6,0,1,37,249,8,1,245,0,98,0,0,2,280,6,6,0,8,1,242,454,86,434,6,14,3,1,0,122,0,2,10,43,0,0,145,422,905,0,0,287,9,35,87,154,0,651,164,23,285,2,2,693,0,4,3,974,113,23,0,0,4,0,0,423,0,1,8,0,9,0,0,2,378,72,298,231,169,21,26,185,996,4,26,218,32,16,15,2,0,0,209,66,1,36,0,14,0,3,76,0,200,27,130,0,34,0,11,5,0,174,0,111,1,47,4,118,2,9,1,0,3,4,130,9,1,5,48,0,428,229,20,122,24,174,18,63,38,0,0,575,1,380,7,13,0,105,279,391,4,89,12,5,54,1,0,2,0,1,7,0,550,0,0,1,178,506,338,1,0,2,5,0,1,1,146,8,8,0,1,0,36,371,0,124,12,22,188,16,791,37,0,0,0,9,0,58,0,1,33,11,133,1,3
HTI,0,1,1,0,1,0,0,2,4,2,0,7,2,0,0,5,2,0,0,9,2,0,2,2,0,2,0,0,1,15,4,2,0,3,0,20,8,7,7,2,5,4,0,0,7,0,2,4,7,0,1,2,2,2,0,0,2,7,2,7,4,0,7,2,5,3,3,0,24,0,0,0,26,2,4,0,0,0,0,0,3,0,0,7,0,1,8,2,0,2,6,11,2,3,0,2,4,4,3,2,3,3,8,3,1,0,0,3,2,0,4,1,0,0,0,0,2,2,2,2,0,2,0,1,2,0,9,0,1,1,2,3,1,1,3,0,1,2,7,2,0,0,1,6,1,6,4,5,2,1,6,8,8,4,0,1,2,1,3,3,2,0,2,3,2,6,2,1,1,2,0,0,2,1,4,0,0,2,0,0,0,4,2,5,1,0,2,0,0,0,2,5,1,1,0,1,4,2,2,0,2,7,9,1,3,105,0,0,0,0,2,0,4,1,0,0,4,14,3,7
HUN,0,1,3,1,48,1,0,106,229,156,0,649,920,133,3,697,6,0,2,40,327,5,0,43,0,186,0,0,5,532,5,5,0,9,1,609,828,224,903,8,13,2,1,0,243,0,2,21,41,0,1,144,804,2044,0,0,553,9,42,93,271,0,1094,231,31,452,6,0,1241,0,3,4,2101,192,22,20,2,3,0,0,544,2,0,8,0,3,0,378,2,0,91,471,299,292,85,32,357,1413,2,51,602,40,40,16,3,0,2,384,79,3,31,1,8,0,3,72,0,236,33,167,0,115,22,14,6,0,235,0,65,1,46,3,72,9,9,1,0,10,3,158,4,0,3,56,0,881,436,19,172,19,241,14,64,76,0,4,987,2,540,9,64,0,93,694,690,5,149,11,8,89,0,0,2,1,0,4,2,425,0,0,1,429,350,775,2,0,2,14,0,1,2,187,6,5,0,1,1,38,513,0,341,11,17,297,19,2052,41,0,3,0,10,0,120,1,2,19,13,288,3,7
IDN,0,2,3,5,5,0,0,100,55,47,0,731,125,48,2,111,10,0,4,163,24,12,0,7,0,13,2,0,3,187,5,70,5,12,1,206,201,53,592,13,23,25,10,0,65,0,2,10,42,0,0,12,116,503,0,0,109,7,23,23,163,0,149,24,50,105,8,0,290,0,6,7,883,8,54,0,3,7,0,0,92,0,0,16,2,10,0,72,6,91,0,461,61,177,79,9,41,235,5,50,1133,24,48,15,18,0,0,406,37,11,15,6,17,0,0,50,1,19,12,15,0,30,0,1,8,4,122,0,12,4,4,36,3,17,10,0,0,4,12,1120,2,3,1,126,2,476,114,73,115,28,256,20,92,178,0,9,120,1,73,6,20,0,37,87,195,7,263,6,3,264,0,0,2,3,1,0,0,45,2,0,1,52,18,142,1,0,5,7,0,2,9,430,4,1,0,2,2,30,146,0,608,26,31,61,16,788,11,0,0,0,9,0,242,1,2,9,23,152,9,9
IND,2,51,4,5,26,0,2,1047,356,156,1,3858,745,90,3,915,28,0,21,816,215,75,17,46,0,139,5,2,26,1523,11,48,29,75,6,2597,1467,572,5380,21,132,32,28,0,361,0,2,23,59,3,1,169,911,3444,2,2,774,26,238,180,1620,5,1887,217,797,661,29,0,2393,5,6,10,6578,140,138,0,8,22,1,1,626,5,0,36,2,15,2,298,11,471,461,0,609,1379,333,41,797,2591,30,364,2237,166,243,35,44,0,11,3942,216,21,105,5,39,0,1,261,5,155,53,124,1,278,20,13,12,19,846,0,42,31,53,78,59,90,48,1,0,45,72,2113,15,2,13,609,3,1364,816,345,425,412,1465,47,207,314,0,29,1344,1,853,19,62,0,435,580,1785,51,6248,65,25,1265,1,0,2,11,4,1,6,326,3,0,0,218,214,1219,5,3,4,68,0,1,7,1114,10,1,2,1,50,260,1521,0,2002,118,126,290,55,11748,76,0,1,1,31,0,1023,2,2,16,179,1484,62,51
IRL,0,2,2,4,30,2,0,112,167,105,0,1422,604,14,1,958,8,0,5,69,206,30,4,39,0,99,0,2,2,592,5,7,0,15,1,1207,1054,213,1478,6,13,5,3,0,237,0,3,20,10,0,0,170,415,2121,0,0,688,9,40,107,256,1,1640,188,55,510,5,4,1673,2,5,4,5638,113,38,0,1,6,0,0,500,1,8,12,0,5,3,231,2,299,61,609,0,331,31,67,270,1755,3,38,455,27,55,22,4,0,1,266,75,2,44,1,18,0,4,89,0,175,60,137,0,33,4,9,7,0,256,1,48,3,57,5,72,4,16,2,1,6,36,270,26,1,4,74,0,1476,461,30,383,41,268,24,58,94,0,4,652,1,583,8,19,0,167,245,495,10,297,23,8,210,0,0,2,1,1,7,1,242,0,0,1,95,161,841,1,0,4,25,0,1,1,169,8,8,0,1,3,44,391,0,210,28,39,200,34,3390,34,0,1,0,14,0,135,0,1,9,30,281,20,14
IRN,0,45,2,5,19,1,0,256,122,93,0,2036,500,109,1,527,9,0,3,155,139,28,0,22,0,117,1,0,4,637,4,20,5,11,3,2646,623,250,3027,8,44,3,1,0,243,0,2,24,9,0,0,153,581,1822,0,1,679,10,167,153,591,0,1226,167,96,539,10,0,1037,1,7,5,2360,150,46,0,0,9,0,0,374,1,0,10,0,10,0,169,3,292,177,1379,331,0,667,30,71,1856,3,179,539,181,51,23,4,0,3,964,233,1,83,2,27,0,0,90,0,166,36,90,0,95,2,6,7,2,356,0,30,2,12,6,62,15,12,0,0,9,5,889,7,1,3,187,1,789,383,45,263,193,691,32,76,81,0,4,822,5,637,10,65,0,307,307,931,4,818,68,5,298,0,0,2,1,3,0,3,207,1,0,0,146,79,695,0,0,5,49,0,0,4,385,19,2,3,1,19,174,1678,0,724,22,23,156,22,4633,41,0,0,0,14,0,768,0,1,10,38,541,6,19
IRQ,0,11,1,5,21,0,0,135,22,4,0,325,24,28,2,40,1,0,0,61,33,19,0,8,0,19,0,0,1,75,1,5,0,12,1,140,37,17,387,0,15,3,1,0,39,0,0,3,0,0,0,20,69,169,0,0,33,3,50,10,305,0,126,16,37,33,3,0,95,1,4,3,684,19,17,0,0,7,0,0,38,0,0,4,0,8,0,21,0,85,79,333,31,667,0,13,15,171,0,97,76,48,25,10,2,0,0,111,57,0,32,0,32,0,0,18,0,17,2,1,0,47,0,0,0,0,39,0,7,0,4,3,0,2,3,0,0,6,5,722,5,0,1,95,0,55,43,16,24,81,222,12,17,25,0,1,100,0,71,2,28,0,66,91,182,3,606,35,1,30,0,0,0,1,0,0,1,48,0,0,0,13,11,98,4,1,0,10,0,0,1,79,2,0,0,0,0,60,349,0,152,11,15,27,4,467,6,0,0,1,6,0,146,0,0,5,42,102,9,5
ISL,0,0,1,2,8,0,0,26,22,1,0,142,88,2,0,92,6,0,1,14,22,3,2,11,0,4,0,1,0,39,2,2,1,5,0,151,122,35,133,4,8,1,2,0,16,0,3,9,3,0,0,16,59,278,0,0,314,2,6,5,10,0,181,58,8,209,4,2,203,11,5,0,507,5,7,0,0,2,3,0,59,1,18,2,0,1,0,26,2,32,9,41,67,30,13,0,40,187,4,7,60,6,16,8,0,0,3,35,9,0,6,0,0,0,2,9,0,36,15,18,0,10,0,1,0,0,38,0,5,1,15,2,5,5,6,0,1,2,12,15,0,2,1,11,0,208,316,9,32,2,14,8,11,12,0,0,136,1,74,3,6,0,10,34,94,3,28,3,1,38,0,1,2,0,0,0,0,18,0,0,1,11,37,399,0,0,4,0,0,0,0,15,2,1,0,1,4,8,55,0,28,4,9,11,4,462,1,0,0,0,2,0,10,0,1,2,6,45,2,1
ISR,0,2,3,3,26,0,0,135,267,51,0,1085,641,84,2,716,6,0,3,37,162,6,9,28,0,115,0,6,4,588,2,3,0,7,1,1518,1101,321,1491,5,17,2,4,0,193,0,4,25,8,0,2,112,506,2610,0,0,667,12,24,26,86,0,1549,95,29,337,4,1,1793,0,3,5,2853,109,19,1,2,8,0,1,539,2,1,9,0,2,1,185,4,357,41,797,270,71,15,40,0,2023,3,33,722,38,31,10,4,0,0,404,20,0,59,1,13,0,6,23,1,68,50,62,0,115,33,9,6,1,199,0,50,7,44,2,7,4,9,1,0,3,8,81,6,0,4,54,0,1241,414,14,149,27,60,20,41,60,0,4,745,1,485,12,93,0,33,283,829,7,159,11,8,218,1,0,2,2,2,1,0,229,2,0,0,156,269,725,3,0,3,5,0,1,2,93,3,2,0,1,2,34,430,0,280,18,26,126,33,6303,14,0,0,0,15,0,46,1,0,6,9,332,4,7
ITA,0,7,10,5,194,3,0,569,1119,254,0,4741,3882,216,6,5387,19,0,25,209,673,50,17,107,0,230,8,9,26,3447,8,19,1,25,6,5195,7509,1263,5722,29,112,29,13,0,730,5,6,84,121,1,3,525,2382,14049,4,1,3157,24,319,276,1008,3,11932,484,134,1866,23,0,12626,1,6,13,18670,302,99,5,6,14,2,1,3086,5,1,27,3,13,10,996,4,1413,235,2591,1755,1856,171,187,2023,0,7,250,3363,125,174,26,24,1,6,1820,149,6,293,6,44,0,8,128,4,496,294,298,1,368,43,37,41,21,1276,1,150,10,282,31,102,94,54,6,0,53,35,567,39,13,17,307,10,7430,2303,87,750,107,893,65,263,217,1,8,3831,2,2927,50,102,1,372,1463,3088,33,1309,71,32,855,1,2,3,19,9,36,3,1035,4,0,2,574,1116,4285,7,3,10,38,0,1,32,587,17,8,0,1,7,436,2251,0,1022,73,90,572,129,20127,69,0,23,2,64,1,304,0,1,36,63,1199,21,34
JAM,0,0,1,0,2,0,0,5,3,0,0,18,10,0,0,3,7,0,0,3,2,0,8,2,0,0,3,0,0,21,20,2,0,1,0,38,35,5,9,2,8,0,0,0,7,0,2,2,6,0,2,2,2,29,0,0,9,4,6,4,4,0,15,4,4,10,4,0,21,0,0,1,90,2,21,0,0,0,0,0,6,2,0,2,0,1,0,4,3,2,5,30,3,3,0,4,3,7,0,3,7,2,18,4,0,0,1,11,2,0,3,0,0,1,0,5,0,3,2,2,0,8,0,1,0,0,11,0,2,8,4,2,1,1,4,0,1,7,3,9,2,0,1,9,0,21,10,3,8,0,11,2,4,8,0,0,9,1,4,1,2,0,2,7,5,5,13,2,1,4,0,0,2,0,0,0,0,3,0,0,1,4,2,11,0,1,6,0,0,0,0,2,1,1,0,1,20,4,14,0,4,4,5,3,4,122,0,0,0,1,3,0,6,0,0,0,2,32,0,0
JOR,0,7,2,3,9,0,0,557,23,6,0,221,168,14,1,52,4,0,1,54,18,24,0,6,0,13,0,0,3,81,5,6,1,5,0,265,111,35,262,4,10,3,3,0,21,0,2,5,6,0,0,26,153,314,3,0,30,8,87,10,410,0,144,13,35,48,1,0,150,0,5,3,504,11,20,0,0,5,0,0,52,1,0,12,0,5,0,26,2,51,50,364,38,179,97,7,33,250,3,0,161,23,24,11,2,0,0,71,87,2,81,0,47,0,0,18,0,14,5,3,0,58,0,4,3,1,56,0,13,0,6,5,2,5,7,0,0,3,4,292,1,1,4,62,0,125,32,21,33,80,239,14,19,39,0,3,78,1,60,4,100,0,127,41,270,6,888,38,2,44,0,0,2,1,2,0,2,28,0,0,0,9,15,73,0,4,2,15,0,0,0,46,2,1,0,1,0,65,200,0,79,10,14,22,11,811,7,0,0,0,2,0,50,0,1,2,73,68,5,3
JPN,0,28,2,5,16,0,0,266,503,105,0,3599,1255,129,3,1385,15,0,16,762,216,21,5,26,0,113,2,3,13,1464,5,17,9,20,3,3093,2119,644,10878,20,60,29,15,0,292,0,6,39,60,2,2,54,926,5864,2,0,1078,8,50,45,1046,0,2752,132,111,792,30,2,4312,0,7,11,6528,123,89,1,8,16,0,1,619,28,6,16,1,11,1,218,3,602,1133,2237,455,539,76,60,722,3363,7,161,0,71,141,18,76,0,6,3058,53,42,53,4,25,0,1,159,2,84,54,45,1,168,28,10,28,8,567,0,25,7,31,157,3,126,21,3,0,21,41,1066,30,3,4,178,6,2117,814,166,557,59,386,48,143,433,7,7,1204,3,598,14,68,0,111,408,1550,15,775,59,23,1012,0,1,6,7,7,0,0,243,1,0,0,233,300,1835,3,12,7,18,0,1,4,1479,10,1,4,2,8,81,696,0,2262,48,59,231,55,14848,32,0,1,2,41,0,1070,2,3,9,19,692,69,10
KAZ,0,2,1,2,13,0,0,53,18,15,0,92,43,22,0,67,4,0,0,29,30,10,0,10,0,47,0,0,0,43,3,7,2,5,0,69,49,50,341,3,8,2,1,0,27,0,2,5,6,0,0,15,76,159,0,0,45,4,14,7,78,0,75,32,12,59,1,0,137,0,4,0,224,21,14,0,0,2,1,0,57,0,0,7,0,3,0,32,3,40,24,166,27,181,48,6,38,125,2,23,71,0,10,51,2,0,0,89,42,1,12,0,8,0,0,9,2,23,9,21,0,9,1,8,1,0,43,0,12,1,11,4,7,11,8,0,0,4,3,64,1,0,2,35,0,38,45,13,20,16,101,8,21,19,0,0,145,1,51,2,11,0,14,60,633,2,186,16,1,42,0,0,2,0,1,6,0,39,1,0,0,22,18,52,1,0,2,2,0,0,1,47,19,9,1,1,2,29,141,0,34,8,12,109,6,261,33,0,0,0,5,0,48,0,1,1,9,45,2,1
KEN,0,4,8,5,9,0,0,36,63,5,0,345,76,4,22,191,40,0,61,98,17,4,5,10,0,4,1,1,6,203,4,6,3,65,2,336,327,43,361,63,116,66,41,0,85,2,2,17,6,0,0,4,41,398,2,0,128,3,19,25,78,1,137,20,244,75,15,2,238,0,3,13,1300,6,202,0,9,43,4,2,32,4,0,14,2,8,2,16,8,40,48,243,55,51,25,16,31,174,18,24,141,10,0,8,14,0,2,49,8,8,20,8,12,0,0,32,11,10,11,7,0,49,2,2,24,0,97,0,7,51,3,12,1,9,71,1,0,16,137,64,36,1,26,337,0,313,90,34,79,20,91,20,65,51,1,8,38,1,56,5,6,0,13,27,42,109,56,52,68,51,1,0,2,26,2,0,8,29,14,0,0,13,12,204,16,0,10,4,0,5,6,81,5,1,1,1,6,17,46,0,26,281,360,14,13,1683,5,0,0,1,12,0,51,1,1,1,9,682,101,116
KGZ,0,5,1,2,10,0,0,12,13,16,0,25,19,11,0,19,4,0,0,14,14,6,0,7,0,11,0,0,0,22,2,2,2,2,0,29,39,9,39,3,8,2,1,0,10,0,2,6,3,0,0,6,23,49,0,0,23,2,4,5,14,0,30,22,11,26,1,0,32,0,5,0,77,19,10,0,0,2,0,0,18,0,0,4,0,3,0,15,3,16,15,35,22,23,10,8,10,26,4,11,18,51,8,0,1,0,0,23,13,2,7,0,5,0,0,9,1,14,4,10,0,10,1,10,0,0,16,0,9,0,13,4,7,10,6,0,0,2,4,29,0,0,1,16,0,22,24,11,12,7,33,7,11,17,0,0,27,1,22,3,6,0,11,20,82,3,25,4,1,11,0,0,2,0,0,6,0,22,0,0,0,10,9,27,0,0,2,0,0,0,0,10,21,8,0,1,2,7,117,0,12,5,10,24,3,61,19,0,0,0,6,0,13,0,0,1,8,24,0,1
KHM,0,0,0,1,1,0,0,7,4,1,0,64,0,0,1,16,1,0,9,16,1,0,0,0,0,1,0,1,1,12,0,0,2,1,1,32,29,3,36,4,4,4,2,0,4,0,0,1,0,0,0,0,6,25,0,0,6,1,1,3,3,0,11,2,7,4,1,0,87,0,0,0,120,1,5,0,0,2,0,0,2,0,0,1,0,3,0,2,1,3,18,44,4,4,2,0,4,24,0,2,76,2,14,1,0,0,0,36,0,37,1,0,1,0,0,2,0,1,1,0,0,3,0,1,15,0,7,0,1,1,0,13,0,2,7,0,0,1,4,36,1,2,0,6,0,20,7,6,16,4,8,3,4,16,0,0,3,0,7,3,0,0,1,2,6,4,15,1,7,38,0,0,2,1,2,0,0,2,1,0,0,1,1,19,0,0,0,0,0,2,0,93,0,0,0,1,0,1,3,0,7,8,9,0,0,151,2,0,0,0,1,0,50,1,0,0,3,13,4,1
KIR,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0
KNA,0,0,0,1,0,0,0,0,1,0,2,10,4,0,0,15,0,0,0,0,1,0,1,0,0,0,4,0,0,19,3,0,0,0,0,18,2,11,11,0,0,0,0,0,6,0,0,0,1,0,1,0,0,8,0,2,7,2,0,0,7,0,6,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,2,0,11,1,3,0,3,0,6,1,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,4,0,0,1,1,0,0,0,7,0,2,2,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,2,70,0,0,0,3,0,0,1,0,0,0,0,19,1,3
