,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
CHL,0,0,0,0,0,172,2,58,30,0,0,48,0,2,4,0,0,0,0,0,0,0,4,168,0,0,0,0,0,116,46,0,38,0,0,0,0,28,0,0,4,18,0,0,20,334,0,0,32,6,0,4,6,0,348,0,0,20,0,356,0,0,240,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,14,6,24,4,0,0,2,40,138,0,0,56,2,0,0,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,42,8,2,4,0,0,4,18,0,0,0,28,0,24,6,0,0,2,56,0,0,0,0,2,0,0,2,0,0,0,6,0,72,0,0,0,0,0,12,0,0,0,0,0,2,4,2,0,18,34,876,0,0,22,0,0,0,0,20,0,0
CHN,0,2,0,0,6,68,2,972,124,2,0,202,0,0,10,40,0,0,0,14,0,0,2,166,0,4,0,2,0,1024,222,38,0,2,0,0,6,42,0,0,0,6,0,34,84,1708,0,0,184,4,0,34,26,0,210,2,2,102,0,758,0,0,1736,8,4,0,0,0,0,2,70,0,0,2,0,0,0,8,0,82,26,250,34,4,0,4,144,466,0,0,2782,10,4,2,0,0,584,0,0,2,0,0,0,0,18,2,6,2,6,6,0,0,0,0,94,0,2,0,2,2,6,0,0,0,4,2,152,0,2,0,10,0,398,110,4,118,0,22,0,4,28,0,2,134,2,70,0,0,0,60,412,0,12,2,0,638,0,6,0,2,0,0,28,8,366,2,0,2,0,0,104,2,0,0,0,0,32,544,2,0,32,2,5984,8,0,0,18,0,0,28,62,2,6
CIV,0,0,0,0,0,2,0,0,0,0,0,12,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,2,0,6,0,2,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,80,0,0,14,0,6,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,4,0,0,36,0,0,0,0,0,0,0,4,0,0
CMR,0,0,0,0,0,0,0,0,4,0,0,26,18,2,2,0,0,0,0,0,0,0,0,6,0,0,0,4,0,2,14,0,0,6,0,0,0,2,0,0,0,2,0,0,0,26,0,0,2,2,0,0,0,0,8,0,0,0,0,158,0,16,62,0,2,0,0,0,0,0,2,0,0,2,6,0,2,0,0,0,2,0,0,0,0,0,4,8,6,0,8,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,4,0,0,0,0,4,0,2,0,0,0,2,0,0,2,0,0,0,4,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,6,6,0,0,38,0,0,2,0,0,0,0,6,6,0
COD,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,2,0,80,0,8,6,0,0,24,0,2,4,2,0,2,0,0,0,2,2,116,4,0,0,0,0,28,26,28,42,0,2,0,0,0,0,0,8,34,2,0,42,74,0,0,0,4,0,40,4,0,158,0,0,8,0,88,0,0,138,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,4,42,6,0,0,2,10,20,2,0,20,0,6,0,0,0,46,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,100,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,64,6,0,0,0,0,4,28,4,0,0,48,0,4,2,0,0,0,46,0,0,2,2,2,0,0,2,0,0,0,0,0,22,2,0,0,0,0,12,0,0,0,2,0,10,2,4,4,0,10,370,0,0,38,0,0,0,0,8,0,2
COM,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,4,0,0,2,0,0,6,0,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0,22,4,4,0,0,0,0,0,8,0,0,0,2,0,0,0,34,0,0,2,0,0,2,0,0,24,0,0,6,0,44,0,0,26,0,0,0,0,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0,6,12,0,0,4,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,138,0,0,2,0,0,0,2,0,0,0
CUB,0,0,0,2,0,26,0,4,4,0,0,28,0,2,0,2,0,2,0,2,0,2,2,96,2,0,0,0,0,20,20,18,6,0,2,0,0,34,0,0,2,0,2,0,2,52,0,0,4,4,0,2,2,0,200,0,0,6,0,44,0,0,58,2,2,0,0,0,0,0,0,0,0,4,0,0,2,2,0,8,0,10,0,0,0,0,2,44,2,0,10,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,2,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,2,2,0,4,0,0,0,0,0,0,8,2,0,0,2,4,0,4,2,2,2,0,0,0,0,0,0,4,4,6,0,0,0,0,0,12,0,0,0,2,0,0,4,2,2,4,4,76,0,0,18,0,0,0,0,2,2,0
CYM,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,0,34,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,2,0,36,0,0,2,0,52,0,0,70,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,34,0,38,0,0,0,0,8,50,0,2,6,0,0,0,0,0,32,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,2,0,0,0,2,0,0,0,0,0,2,0,4,0,2,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,4,6,32,0,0,0,0,76,0,0,0,0,0,0,0,6,0,0
CZE,0,0,0,0,0,56,30,54,282,0,0,202,0,0,0,78,0,0,2,20,0,0,0,126,0,0,0,0,0,208,244,20,84,0,0,0,0,42,0,0,0,2,0,0,0,1152,0,0,90,0,2,34,22,0,226,14,0,112,0,780,0,0,716,8,0,0,0,0,0,0,128,0,0,0,0,0,0,10,0,140,4,74,12,2,0,6,86,436,0,0,326,10,0,0,0,0,60,0,0,0,0,2,0,0,0,0,10,2,4,8,0,4,0,0,100,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,4,334,124,0,4,0,0,2,0,0,0,0,308,0,68,0,0,0,50,446,0,14,0,0,2,0,0,0,0,0,0,388,90,256,0,0,0,0,0,2,0,0,0,0,0,22,30,0,0,120,0,930,0,0,0,0,0,0,16,28,0,0
DEU,0,2,0,0,24,374,134,1574,2850,14,0,2122,16,12,36,452,0,0,14,288,0,0,6,878,4,6,0,2,0,2348,4508,334,1708,14,26,0,0,74,0,0,34,52,0,54,1152,0,0,0,1462,0,36,18,196,0,2428,106,20,1128,0,6326,0,38,8094,100,26,0,4,14,0,2,784,0,0,10,0,0,0,252,0,1104,56,992,306,56,0,66,1294,4538,2,28,2798,26,72,14,2,0,472,8,0,12,0,4,0,8,16,2,98,50,120,66,6,62,6,2,368,0,18,16,2,2,4,2,8,0,6,2,26,10,4,6,40,0,3920,678,14,258,10,60,28,24,38,0,12,2210,0,494,6,8,0,462,4836,2,26,2,6,106,0,6,2,2,0,0,422,266,2392,0,0,20,2,2,58,2,2,0,0,20,340,276,28,22,810,22,17638,20,0,54,40,0,18,132,472,8,20
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,0,4,36,12,344,232,0,0,388,4,2,0,36,0,0,0,10,0,0,0,78,0,0,0,0,0,456,466,32,184,0,2,0,0,0,0,0,2,4,0,0,90,1462,0,0,0,0,4,4,18,0,422,16,6,500,0,922,0,0,1758,6,30,0,0,10,18,0,178,0,24,0,0,0,0,16,0,162,2,72,92,6,0,108,106,662,0,0,288,0,30,0,0,0,46,2,2,2,0,0,0,0,4,0,44,12,24,4,0,4,0,0,30,0,6,0,0,2,0,0,0,0,2,2,2,0,0,0,2,2,698,662,0,48,2,2,2,22,10,0,0,256,0,126,0,0,0,42,320,0,6,6,6,30,0,0,0,0,0,0,50,48,1314,0,0,2,0,0,22,0,0,0,0,2,30,16,48,12,42,0,2516,0,0,0,8,0,4,4,74,2,14
DOM,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,0,6,2,0,0,0,0,4,4,6,4,0,2,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,6,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,30,0,0,4,0,0,0,0,0,0,0
DZA,0,0,0,0,0,2,0,2,2,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,4,0,0,0,0,0,14,0,2,6,0,436,0,0,16,0,0,0,0,0,0,0,18,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,2,42,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,4,0,4,0,0,0,2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,6,4,2,0,0,2,0,16,0,0,0,4,0,0,0,2,0,0
ECU,0,0,0,0,0,38,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,2,44,0,0,0,0,0,2,6,4,34,0,0,0,0,40,0,0,2,2,0,0,34,18,0,0,4,0,0,0,0,0,4,0,0,0,2,54,0,0,54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,6,0,0,6,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,34,0,0,0,0,0,4,12,0,0,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,4,0,0,0,0,0,0,0
EGY,0,0,0,0,58,2,0,10,34,0,0,24,0,0,4,0,6,0,0,0,0,0,0,8,0,2,0,0,0,36,36,6,26,0,0,0,0,4,0,0,0,2,0,2,22,196,0,0,18,0,0,0,0,0,46,0,4,6,0,44,0,0,140,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22,6,8,8,0,0,2,10,56,0,6,140,0,0,0,0,0,24,50,0,2,0,6,0,0,4,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,2,2,6,4,0,0,2,0,0,14,0,4,0,2,14,2,4,0,94,0,0,8,0,0,0,0,0,0,2,2,14,0,0,14,0,0,12,0,0,0,0,0,8,0,0,2,0,0,414,0,0,0,2,0,6,0,6,0,0
ERI,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
ESP,2,4,6,0,2,686,26,342,450,4,0,756,0,2,0,120,0,0,2,18,0,0,18,534,0,0,0,0,0,648,896,348,210,2,8,2,2,158,0,0,24,200,0,36,226,2428,0,0,422,4,14,4,46,0,0,12,6,340,0,2926,0,2,3364,8,2,0,2,0,0,0,322,0,0,6,0,0,4,26,2,190,4,186,118,8,2,22,214,2208,2,4,468,16,4,0,0,0,152,2,0,0,0,2,0,0,0,2,10,16,14,104,2,12,2,0,542,0,6,0,0,0,0,10,0,0,0,2,10,2,2,0,0,2,1036,224,2,40,0,6,8,48,6,0,0,414,0,638,14,2,0,154,638,0,16,4,10,16,0,2,2,0,0,0,102,76,658,2,0,6,0,0,8,0,0,0,0,12,46,102,20,2,114,78,4692,4,0,142,2,0,0,18,94,0,0
EST,0,0,0,0,0,0,0,6,8,0,0,6,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,0,26,12,0,2,0,0,0,0,0,0,0,0,0,0,0,14,106,0,0,16,0,0,0,0,0,12,0,0,168,0,48,0,0,62,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,4,0,8,2,0,0,0,0,40,0,0,18,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,26,0,34,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,0,2,0,0,0,0,0,0,0,22,0,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,124,0,0,2,0,0,0,0,0,0,0
ETH,0,0,0,0,2,0,0,4,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,2,0,4,0,6,0,0,0,0,14,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2,0,0,0,4,8,0,0,2,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,20,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,2,0,4
FIN,0,2,0,0,0,16,6,176,236,0,0,292,0,0,2,34,0,0,0,10,0,0,0,64,0,0,0,0,0,392,388,20,102,0,0,0,0,8,0,0,6,6,0,2,112,1128,0,0,500,4,6,0,6,0,340,168,0,0,0,668,0,0,1150,22,0,0,0,0,0,0,116,0,0,2,0,0,0,10,0,192,6,42,82,0,2,80,104,526,0,6,302,2,0,0,0,0,48,10,0,2,0,0,0,0,0,0,32,4,32,0,0,6,2,0,12,0,4,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,574,404,2,24,0,2,0,4,0,0,0,216,0,108,0,0,0,30,540,0,4,0,0,26,0,0,0,0,0,0,90,76,1370,0,0,0,0,0,4,0,2,0,0,2,30,20,2,0,74,6,2042,2,0,6,0,0,0,10,48,0,0
FJI,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4
FRA,6,8,4,0,4,374,112,1054,792,6,2,2720,18,64,4,252,2,0,2,56,0,4,30,1048,0,8,2,4,12,2332,2676,356,758,80,158,4,18,88,0,2,44,44,0,52,780,6326,2,0,922,6,436,54,44,0,2926,48,14,668,2,0,0,46,6300,22,8,0,6,6,2,2,724,0,2,2,48,2,0,92,2,580,64,562,260,48,8,50,828,4612,10,10,1732,6,32,0,4,0,310,12,2,98,0,4,0,0,6,0,76,64,34,894,32,24,54,0,540,0,14,14,4,4,4,0,6,2,10,8,20,6,52,14,8,4,2160,582,6,130,4,26,4,26,18,0,4,1386,0,694,12,2,0,432,2212,0,30,8,150,62,2,2,0,0,0,2,266,150,1608,0,2,24,16,8,72,0,0,0,4,500,162,210,8,12,352,40,10970,16,0,140,106,2,2,66,310,4,8
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,46,0,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0
GBR,4,8,0,0,68,374,52,3370,1004,4,0,2114,18,18,102,164,10,0,4,90,0,18,14,1036,14,10,0,12,2,3272,2462,240,1736,14,62,0,4,138,0,0,26,58,2,70,716,8094,0,0,1758,2,16,54,140,6,3364,62,38,1150,0,6300,0,26,15840,30,82,2,0,108,2,0,1132,2,0,20,2,2,4,86,0,648,70,764,1226,164,4,118,838,5124,44,54,2700,60,254,4,4,0,610,66,6,34,0,16,2,0,44,0,62,32,24,18,8,18,8,2,502,0,36,8,26,4,10,12,2,4,28,110,194,10,10,0,122,4,3998,1236,28,708,54,124,30,38,20,0,16,1126,0,1004,0,2,8,226,1862,6,90,28,42,366,0,2,0,0,0,0,314,164,2772,4,0,12,0,4,226,2,6,0,48,14,532,320,98,80,284,30,17844,12,0,100,52,0,12,86,830,64,92
GEO,0,0,0,0,0,0,4,8,2,0,0,10,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,4,14,4,8,0,0,0,0,0,0,0,0,2,0,0,8,100,0,0,6,0,0,0,0,0,8,2,0,22,0,22,0,0,30,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,10,0,6,0,0,8,48,0,0,16,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,18,0,10,0,0,0,0,92,0,0,0,0,2,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,4,0,38,4,0,0,0,0,0,0,0,2,0
