,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GIB,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,26,5,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,8,0,0,0,0,1,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,0,0,1,2,2,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
GIN,0,0,0,0,0,0,0,2,4,3,0,10,3,0,1,19,7,0,14,3,0,0,0,0,0,0,0,1,5,0,0,0,0,2,10,18,1,9,10,10,12,4,0,2,0,2,0,0,0,0,0,1,14,0,0,0,0,1,0,4,1,5,0,7,1,0,0,30,0,0,3,29,0,0,11,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,1,0,0,0,0,3,0,0,1,7,0,6,0,3,1,1,3,0,0,0,4,1,0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,6,0,1,0,3,5,5,0,1,2,3,0,0,7,13,0,6,1,3,0,1,1,6,0,1,2,0,1,0,0,0,2,0,0,0,1,0,0,4,1,0,1,12,1,0,0,1,4,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,4,4,0,0,1,0,0,1,2,0,0,6,7,0,0,37,0,0,0,0,0,0,0,3,1,0,0,1,7,4,2
GMB,0,2,2,0,1,0,0,11,8,1,0,44,8,5,1,19,10,0,11,19,3,6,0,0,1,0,0,2,16,0,3,0,6,2,22,30,6,23,8,13,5,5,0,12,0,0,1,0,0,0,4,12,32,0,0,11,0,3,1,11,1,23,5,21,11,0,0,31,2,2,2,171,3,0,29,0,1,0,5,0,8,0,0,4,0,0,1,0,0,10,0,7,19,0,22,0,4,16,11,2,5,14,0,0,12,22,10,31,4,7,1,0,12,6,3,1,5,9,0,0,10,1,0,0,1,0,6,1,0,0,0,14,0,0,14,0,2,0,3,9,2,0,3,7,16,2,0,1,53,0,33,15,11,0,12,9,30,6,9,8,0,3,14,0,0,10,0,1,0,13,0,13,11,2,14,9,15,12,0,0,1,4,0,0,0,10,2,1,0,0,5,15,0,0,1,0,0,1,1,17,0,0,0,0,1,1,14,0,17,13,16,4,1,59,1,0,0,0,0,0,0,17,1,0,0,5,33,7,11
GNB,0,2,2,0,0,0,0,0,0,0,0,6,3,0,1,5,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,0,3,3,2,2,0,1,0,1,0,0,0,0,0,0,4,0,0,37,0,0,0,1,1,4,0,1,1,0,0,3,0,0,2,19,0,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,5,0,0,0,2,0,5,0,1,1,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,4,0,2,0,0,6,5,0,0,3,1,0,0,2,5,0,12,1,2,0,1,0,3,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,2,0,3,8,0,0,0,1,1,0,1,0,0,1,1,0,0,0,9,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,8,0,0,13,0,0,0,0,0,0,0,2,1,0,0,1,4,3,2
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,5,0,0,44,2,0,215,185,129,0,745,671,84,1,891,3,0,2,62,292,11,3,44,120,0,0,2,504,5,10,2,9,0,728,1158,201,1021,2,15,6,2,1,172,0,0,11,34,0,1,751,519,2236,0,0,602,4,50,75,317,0,1661,175,19,503,4,0,1689,2,1,0,3389,136,0,17,0,1,8,0,0,2,0,1,6,1,0,2,0,2,347,1,380,88,0,522,0,361,281,42,42,377,2305,2,0,38,483,55,18,12,2,0,3,326,94,0,64,1,27,0,1,74,1,176,55,114,1,93,10,13,8,0,268,0,63,3,76,2,81,7,11,2,0,3,1,168,3,2,2,75,1,1197,514,26,0,161,40,226,15,76,71,0,1,839,0,0,687,8,39,0,128,0,434,553,1,319,11,11,179,1,0,0,4,1,2,0,374,1,0,0,191,245,770,0,2,1,10,1,1,1,193,2,1,0,0,1,67,663,0,260,5,11,187,21,2728,58,0,0,0,6,0,0,52,0,0,15,7,253,8,3
GRD,0,0,0,0,0,0,0,1,0,0,0,27,9,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,13,0,3,8,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,1,0,0,1,2,0,12,0,0,0,1,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,3,0,0,0,0,5,0,0,0,15,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,0,2,0,0,0,4,0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,4,0,1,0,0,2,0,126,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,90,0,0,0,0,0,3,1,0,10,0,2,9,3,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,11,0,4,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,6,0,0,2,0,2,0,0,3,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
GTM,0,0,2,0,1,0,0,5,53,4,0,30,12,2,2,16,7,0,2,12,6,2,1,2,1,3,0,15,57,1,1,2,4,1,38,22,54,15,3,5,7,1,0,51,0,0,30,9,0,0,2,7,28,0,0,9,20,2,39,9,0,48,4,9,9,0,0,15,1,1,1,65,4,0,11,0,0,4,0,0,6,0,0,0,0,0,0,0,28,6,11,4,5,0,34,0,8,8,5,1,7,13,3,0,9,13,3,17,3,3,0,0,9,2,2,10,0,3,0,0,9,0,3,1,6,0,6,0,1,1,0,82,0,2,2,1,2,0,5,6,1,0,1,5,8,2,0,1,15,11,18,9,8,0,10,4,20,23,40,12,0,2,10,0,0,16,23,0,0,4,0,10,6,5,5,3,1,6,0,0,0,0,27,0,0,4,1,0,0,5,2,10,1,0,0,0,0,1,2,9,0,0,1,0,1,4,9,0,5,6,16,4,19,184,3,0,0,0,18,0,0,9,0,0,0,2,21,11,3
GUF,0,0,0,0,0,0,0,0,6,0,0,11,5,0,1,11,2,0,1,0,0,0,0,0,0,0,0,4,19,0,2,0,0,0,12,8,5,4,6,5,4,1,0,9,0,0,2,0,0,0,0,5,8,0,0,4,0,0,4,0,0,13,3,0,1,0,0,73,0,0,4,23,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5,0,3,0,0,2,0,0,1,9,0,0,0,4,0,5,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,0,13,3,1,0,5,0,1,6,4,0,0,0,2,0,0,3,0,0,0,1,0,2,3,0,1,0,1,3,0,0,0,0,0,0,0,2,0,0,6,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,24,0,0,0,0,6,0,0,2,0,0,0,0,5,0,0
GUM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,1,0,0,4,3,2,0,7,2,2,0,3,0,0,0,4,0,2,1,1,0,0,0,2,11,1,1,0,1,0,14,5,1,9,0,2,2,0,0,7,0,0,0,0,0,0,1,1,12,0,0,4,0,1,4,4,0,8,0,5,4,0,0,7,0,0,0,20,0,0,4,0,0,1,0,0,2,0,0,0,2,0,0,0,0,5,1,0,7,0,10,0,5,4,3,0,1,5,0,0,2,5,0,2,2,2,0,0,4,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,5,0,0,2,0,1,1,1,1,1,0,1,0,5,1,1,0,6,0,9,6,4,0,6,1,7,2,9,4,0,0,5,0,0,5,0,1,0,4,0,4,5,2,8,0,0,4,0,0,0,1,0,0,0,4,0,0,2,1,0,6,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,2,1,1,2,1,36,1,0,0,0,3,0,0,4,0,0,0,2,4,2,1
HKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,1,0,1,0,0,1,21,1,0,14,6,2,1,8,2,0,2,3,4,0,0,0,2,1,0,13,27,0,0,0,1,1,15,6,31,8,1,2,1,0,0,25,0,0,20,10,1,0,2,3,12,0,0,2,11,0,25,3,0,27,1,3,3,0,0,9,0,0,1,22,3,0,4,0,0,0,0,0,2,0,0,28,0,0,0,0,0,2,11,2,4,0,8,0,2,1,1,0,5,9,3,0,1,4,1,4,2,2,0,0,1,0,1,2,0,1,0,0,5,0,2,0,2,0,3,0,0,2,0,44,0,1,1,0,2,0,1,2,1,0,0,4,3,0,0,0,6,11,4,5,1,0,5,0,3,16,23,9,0,1,3,0,0,3,10,0,0,1,0,2,4,1,2,1,1,2,1,0,0,0,16,0,0,2,0,0,0,1,1,7,0,0,1,0,0,1,1,7,0,0,1,0,0,2,3,0,6,4,4,3,13,76,1,0,0,0,5,0,0,2,1,0,0,1,4,2,1
HRV,0,0,2,0,35,2,0,58,58,123,0,264,435,47,2,351,6,0,2,32,196,10,2,177,75,0,0,4,225,3,5,2,13,1,255,403,62,367,2,10,7,1,1,104,0,0,5,33,1,0,120,362,794,0,0,224,3,25,72,145,0,573,126,27,249,1,0,579,1,3,1,804,87,1,16,0,0,10,0,0,347,0,0,6,0,0,5,0,2,0,1,307,72,0,311,0,169,164,20,25,141,830,2,0,27,176,37,24,16,5,0,1,181,68,1,36,1,12,1,0,73,1,146,25,104,0,26,4,13,4,0,155,0,84,3,36,2,116,7,9,2,0,2,2,116,4,2,0,54,1,382,225,26,0,111,21,147,11,54,29,0,4,497,0,0,317,2,6,0,96,0,236,309,4,88,5,5,60,1,0,0,2,1,1,0,415,1,1,1,142,391,263,0,0,2,6,0,2,1,120,1,0,1,0,3,34,316,0,112,4,8,168,12,699,58,0,1,1,5,0,0,41,1,0,31,10,106,5,4
HTI,0,0,2,0,1,0,0,0,9,5,0,4,1,1,2,8,3,0,2,7,1,0,1,0,4,0,0,7,13,0,0,0,6,1,17,11,10,6,5,4,6,2,0,9,0,0,6,3,0,0,0,1,4,0,0,2,9,1,10,1,0,6,1,6,1,1,0,25,0,0,1,17,5,0,6,0,0,0,0,0,1,0,0,11,0,0,1,0,11,1,0,1,9,0,12,0,2,1,1,0,2,3,2,0,1,4,4,7,4,2,0,0,2,0,2,2,2,1,0,0,2,7,1,0,1,0,3,0,0,3,0,13,0,1,5,0,3,0,4,2,1,1,0,8,1,1,1,0,2,4,7,2,5,0,2,0,7,7,19,5,0,2,2,0,0,4,7,0,0,1,0,2,2,2,0,1,3,5,0,0,0,2,9,0,1,1,1,0,0,1,1,5,2,0,0,0,0,1,1,7,1,0,1,0,1,2,1,0,3,6,6,4,6,99,1,0,0,0,2,0,0,3,0,0,0,2,20,5,6
HUN,0,1,1,0,17,2,0,90,116,103,0,488,651,78,3,528,5,0,1,40,235,8,1,35,114,0,0,6,393,1,7,2,8,1,448,620,128,712,2,10,4,3,0,165,0,0,8,35,0,0,104,570,1577,0,0,328,5,13,72,233,1,863,138,32,371,0,0,949,1,2,2,1571,119,0,27,46,0,7,0,0,380,2,1,4,1,0,0,0,2,307,1,0,88,0,451,0,222,242,114,25,247,1105,4,0,46,384,39,28,9,6,0,0,289,84,1,33,0,15,0,0,70,0,169,31,115,0,62,7,17,5,0,202,0,47,1,19,1,68,13,5,2,0,4,1,147,3,0,2,50,1,695,275,17,0,130,30,223,13,58,78,0,2,782,0,0,373,3,37,0,75,0,521,475,3,153,11,5,67,2,0,0,2,1,1,0,268,0,1,1,352,194,563,1,0,1,14,0,1,1,159,1,0,1,0,1,25,365,0,223,9,12,277,7,1587,61,0,3,0,10,0,0,66,0,0,13,21,182,6,3
IDN,0,9,3,0,7,0,0,94,56,43,0,716,115,42,5,110,10,0,9,146,30,15,1,5,14,0,0,10,165,2,93,3,14,3,179,189,46,509,10,22,17,7,0,71,0,0,9,44,1,0,15,92,390,0,0,99,4,29,22,183,0,134,25,49,103,6,0,267,1,3,7,808,13,1,42,2,5,19,2,0,88,0,0,5,5,0,7,0,4,72,9,88,0,0,496,0,49,173,171,9,39,220,4,0,48,901,23,62,14,38,0,0,327,21,13,16,6,12,0,0,49,2,14,13,6,0,17,1,1,12,0,129,0,13,11,2,36,3,20,9,2,0,2,10,1124,3,7,1,110,1,435,113,53,0,90,33,249,15,76,180,1,13,134,0,0,77,3,10,0,46,0,80,184,11,373,16,10,239,2,0,0,4,1,0,1,37,2,1,2,60,21,136,0,0,2,5,0,2,4,447,2,0,7,0,2,28,148,0,597,25,27,51,12,710,32,0,0,0,8,0,0,173,0,0,5,19,154,16,12
IMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,1,79,24,2,22,0,0,1208,302,143,4,3309,602,87,4,771,29,0,16,1044,191,79,6,39,109,2,0,20,1247,9,72,40,76,5,2426,1197,575,5041,28,138,29,26,0,309,0,0,20,52,1,1,127,866,3096,1,1,637,19,250,178,2128,5,1816,194,1708,582,31,0,2019,6,3,16,5646,119,0,283,0,8,22,2,0,522,13,1,34,3,0,10,0,8,311,12,451,496,0,20,0,549,1269,760,32,708,2320,24,0,311,2023,116,230,29,85,0,6,3983,256,12,223,12,31,0,1,264,2,137,43,97,1,271,7,7,17,26,844,0,37,12,39,53,61,76,34,3,0,43,61,2249,9,3,10,668,4,1116,724,418,0,361,474,1670,29,206,272,1,25,1289,0,2,734,17,81,0,393,0,621,1519,63,7936,109,35,1048,2,0,0,24,4,0,2,286,5,1,1,208,169,1081,5,0,3,108,1,6,9,1250,2,0,6,0,28,310,1526,0,1838,103,104,248,50,10597,180,0,2,3,24,1,0,712,1,0,24,205,1389,80,45
IOT,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IRL,1,5,8,0,16,3,0,108,145,80,0,1091,395,7,1,745,3,0,3,45,139,21,5,31,69,2,4,8,473,2,5,1,13,2,937,738,185,1211,2,8,7,2,1,182,0,0,11,4,0,1,128,300,1543,0,0,513,5,21,81,209,1,1247,121,42,393,3,1,1264,3,1,4,4269,80,0,26,2,1,4,0,0,361,3,3,8,0,0,5,0,2,169,2,222,49,0,549,1,2,234,35,48,226,1351,2,1,30,328,23,40,7,3,0,3,247,78,1,26,1,15,0,0,80,1,125,50,90,1,27,7,5,3,0,182,0,23,3,43,1,62,3,8,2,0,5,15,205,10,8,1,55,3,1090,338,17,0,273,24,268,12,33,74,0,2,440,0,0,425,4,8,0,101,0,171,280,7,287,28,7,165,2,0,0,4,1,1,0,149,1,0,1,65,106,593,2,0,1,5,2,2,2,118,1,0,1,0,1,20,278,0,175,15,26,144,15,2617,55,0,0,0,9,0,0,78,0,1,7,19,234,8,7
IRN,0,44,3,0,15,0,1,266,97,93,0,1848,379,76,3,420,13,0,6,139,102,44,1,19,91,0,0,4,551,4,33,3,18,1,2133,554,169,2499,7,28,9,3,0,154,0,0,12,7,0,0,145,430,1650,0,0,441,3,140,88,503,0,1083,129,65,444,8,0,811,4,3,5,1913,120,0,44,2,0,16,0,0,281,0,0,8,2,0,4,0,1,164,1,242,173,0,1269,0,234,136,904,30,60,1552,6,0,126,411,79,53,17,7,0,3,760,200,2,54,4,17,0,0,90,1,126,30,77,0,62,3,3,5,0,282,0,16,9,11,7,60,13,9,2,0,8,6,715,5,2,2,165,1,617,337,50,0,193,193,551,19,64,51,0,2,741,0,0,543,12,32,0,213,0,308,724,7,688,31,12,211,0,0,0,4,1,0,2,134,1,1,1,130,58,611,1,1,3,35,0,2,4,336,4,0,3,0,13,153,1598,0,595,17,25,115,8,3818,114,0,1,0,7,0,0,226,0,0,23,24,451,12,13
IRQ,0,14,1,0,12,0,0,227,18,10,0,393,46,38,1,27,2,0,1,103,28,27,0,2,28,0,0,3,78,0,12,0,10,1,155,32,15,544,1,20,4,1,0,46,0,1,0,2,0,0,11,82,211,0,0,31,1,84,18,599,0,99,13,73,34,3,0,90,1,2,1,586,7,0,25,0,0,11,0,0,42,0,0,5,0,0,3,0,1,20,1,114,171,0,760,0,35,904,0,15,8,188,2,0,155,54,25,34,9,7,0,0,113,76,1,51,0,33,0,0,16,0,8,5,3,0,46,0,3,1,0,38,0,7,1,3,4,3,4,4,1,0,2,6,750,3,0,0,98,1,49,46,28,0,25,79,359,6,34,23,0,1,142,0,0,70,3,54,0,63,0,100,284,7,1074,52,3,32,0,0,0,3,1,0,1,40,0,1,0,18,8,82,1,2,0,14,0,1,1,149,0,0,1,0,2,114,368,0,167,6,8,19,3,402,75,0,0,0,7,0,0,82,0,0,4,79,99,7,4
ISL,0,0,0,0,5,1,0,18,22,9,0,114,78,2,2,83,3,0,2,8,13,3,0,5,1,0,1,2,40,0,0,2,3,0,114,107,20,118,1,4,2,1,0,12,0,1,1,0,0,0,16,54,237,0,0,232,1,4,3,6,0,159,48,9,172,0,3,147,11,0,0,342,7,0,4,0,0,2,1,0,42,0,11,1,0,0,0,0,0,25,0,25,9,0,32,0,48,30,15,0,33,172,1,0,5,53,4,6,2,2,0,1,30,3,0,7,1,3,0,0,6,1,26,13,16,0,1,1,0,0,0,20,0,5,1,7,0,3,2,2,0,0,1,2,14,0,0,0,9,0,171,261,11,0,34,2,11,1,6,9,0,2,105,0,0,69,0,2,0,10,0,34,60,1,24,0,3,23,0,0,0,1,0,0,0,17,1,0,0,10,38,326,0,0,0,0,0,0,0,16,0,0,0,0,0,1,35,0,23,5,4,9,3,382,4,0,0,0,1,0,0,7,0,0,1,1,36,0,1
ISR,0,1,1,0,11,2,1,109,203,27,0,775,429,50,3,586,5,0,2,29,104,6,6,19,62,0,1,7,403,2,5,3,7,1,1221,808,244,1243,7,11,4,1,0,118,0,1,19,14,0,3,81,339,2062,1,1,482,9,16,16,94,0,1119,63,24,242,0,0,1332,1,2,1,2180,68,1,15,2,0,5,1,0,377,0,0,7,1,0,1,0,5,141,2,247,39,0,708,0,226,60,8,33,0,1521,4,0,33,543,38,28,6,4,0,1,327,17,4,42,2,14,0,2,20,1,59,25,47,0,76,10,8,7,0,146,0,33,4,49,2,5,6,7,2,0,2,4,60,7,1,1,56,1,916,315,16,0,152,18,48,11,32,65,0,4,548,0,0,367,5,67,0,27,0,183,560,4,113,15,12,160,1,0,0,3,3,1,0,142,1,0,0,101,203,538,4,0,1,9,0,2,1,72,0,0,1,0,2,24,336,0,212,15,16,102,21,4889,11,0,0,0,9,0,0,42,0,0,7,4,200,4,2
ITA,1,14,8,0,166,4,3,522,846,196,0,3792,3120,181,5,4223,23,1,27,166,477,60,7,84,145,0,3,30,2732,6,23,5,32,5,4349,6001,1050,5064,29,84,26,22,1,545,0,3,70,79,0,3,394,1820,11366,2,1,2466,21,236,188,933,2,9445,345,120,1581,19,2,9779,4,3,15,14651,231,0,78,7,3,14,5,1,2305,5,4,13,9,0,5,0,9,830,3,1105,220,0,2320,1,1351,1552,188,172,1521,8,16,0,259,2679,137,158,27,41,0,2,1380,173,7,282,4,38,0,8,126,4,339,238,229,0,361,32,28,28,18,1022,0,149,12,220,15,99,71,43,5,1,26,22,433,29,11,10,246,7,6052,1783,84,0,595,97,819,47,205,191,1,4,3069,0,0,2439,42,81,0,295,0,1235,2076,33,1269,58,38,711,4,0,0,7,10,28,1,747,5,2,3,448,829,3333,5,1,8,37,2,3,18,479,4,0,1,1,7,372,1883,0,872,65,60,471,89,15605,93,0,9,0,47,0,0,251,1,1,40,51,988,29,30
JAM,0,0,1,1,2,0,0,4,4,2,1,16,8,2,2,3,3,0,1,3,4,1,0,2,2,2,1,2,22,14,1,1,2,1,24,20,6,15,1,6,1,1,0,12,0,0,3,3,0,1,0,2,14,0,0,4,3,0,3,3,0,9,2,3,7,1,0,8,0,0,1,69,5,0,8,0,0,0,0,0,2,0,0,3,0,0,0,0,3,2,2,4,4,0,24,0,2,6,2,1,4,16,0,0,5,10,4,12,2,1,1,1,7,1,1,4,0,2,0,0,5,0,2,1,2,0,4,1,0,1,0,12,0,2,2,2,0,0,2,2,1,1,2,1,8,1,0,1,13,1,14,4,5,0,5,2,5,3,4,10,0,2,5,0,0,6,4,2,0,1,0,6,5,3,3,2,4,6,0,0,0,0,2,0,0,2,0,0,0,3,4,4,0,0,1,0,1,1,1,3,0,0,1,0,10,3,6,0,3,3,7,2,4,91,2,0,0,0,3,1,0,5,0,0,0,1,28,5,1
