,AGO,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIS,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
GIN,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,14,0,0,0,2,0,2,0,0,2,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,2,0
GNB,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,2,0,0,10,2,12,106,0,0,144,0,0,0,24,0,0,0,0,0,0,66,0,0,0,0,0,70,182,4,48,0,0,0,0,0,0,0,0,0,0,0,0,68,296,0,0,158,0,0,0,2,0,174,2,2,92,0,306,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,4,14,0,0,0,14,236,0,0,44,0,0,0,0,32,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,80,0,8,0,0,0,2,2,0,0,104,0,42,0,0,12,94,0,2,0,0,2,0,0,0,0,0,44,68,124,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,6,2,534,0,0,0,2,0,0,0,0,16,12,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HKG,0,0,0,0,0,0,60,10,0,0,4,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,84,12,4,266,0,0,0,0,0,0,4,0,0,0,2,0,0,36,0,0,10,0,0,0,4,0,6,0,0,6,0,32,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,16,4,0,0,0,4,24,4,0,34,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,14,2,0,12,0,2,0,0,4,0,0,6,0,0,0,0,0,6,0,6,0,2,24,0,0,0,0,0,0,6,22,0,0,0,0,0,14,0,0,0,0,0,2,30,2,0,0,4,334,0,0,0,2,4,0,0,2,4,14,4,4
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,2,0,20,34,0,0,16,0,0,0,4,0,6,0,0,0,0,4,0,0,0,0,0,18,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,8,0,0,0,0,0,8,2,0,18,0,52,0,0,30,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,34,2,2,8,0,0,0,10,70,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,32,0,8,0,0,22,22,0,0,0,0,0,0,0,0,0,0,2,26,10,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,126,0,0,0,0,0,0,0,0,10,2,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,8,4,24,58,0,0,70,0,0,0,42,0,0,6,0,0,0,16,0,0,0,0,0,86,152,14,46,0,0,0,0,0,0,4,0,0,0,4,26,16,390,0,0,32,0,2,0,2,0,58,0,0,98,0,262,0,0,240,8,0,0,0,0,0,20,0,0,0,0,12,0,34,0,0,4,48,16,2,0,2,32,182,4,0,80,0,4,0,0,30,2,0,0,0,0,0,0,0,0,2,6,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,112,14,0,4,0,0,0,0,2,0,0,46,0,16,2,0,62,92,0,2,0,0,6,0,0,0,0,0,26,18,66,0,0,0,0,0,14,0,0,0,0,2,2,22,0,0,8,2,646,2,0,0,2,2,0,0,0,18,8,4,4
IDN,0,0,0,0,2,0,48,0,0,0,6,2,0,6,0,0,0,0,0,0,2,8,0,0,0,0,0,8,10,8,8,0,0,0,0,0,0,6,0,0,2,2,0,2,22,0,0,8,0,2,0,0,0,4,0,0,2,0,24,0,0,46,0,2,0,0,2,0,0,0,0,0,0,8,0,2,0,4,0,6,0,0,0,0,2,2,4,0,64,0,2,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,6,0,0,2,0,2,0,0,0,0,0,14,0,0,0,4,0,56,4,2,4,2,2,2,2,14,0,0,4,0,0,2,0,0,2,0,0,0,0,8,0,2,0,0,0,0,4,2,0,0,0,0,0,28,0,0,0,0,0,0,4,4,2,0,0,116,0,0,0,0,6,0,0,0,4,0,4,4
IND,0,0,0,4,6,14,72,12,0,0,24,0,0,18,30,0,0,0,0,0,0,62,0,0,0,0,0,144,64,2,76,0,0,0,0,2,0,28,0,0,2,0,26,12,236,0,0,26,0,0,2,8,0,68,0,2,42,0,202,0,0,274,0,0,0,2,0,0,4,0,0,0,0,16,0,2,0,48,6,0,0,0,0,0,18,132,0,0,136,4,2,0,0,62,10,0,0,0,2,0,0,4,0,2,0,2,2,2,0,0,44,0,0,0,0,0,0,0,0,0,0,22,2,0,2,6,0,62,14,10,16,4,4,0,2,6,0,0,22,0,0,0,0,32,116,0,6,0,0,28,0,2,0,0,0,18,2,50,0,0,4,0,0,12,0,0,0,0,0,0,32,2,2,0,0,862,12,0,0,0,2,0,0,0,0,10,2,2
IRL,0,0,0,4,4,0,20,16,0,0,40,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,48,62,2,6,0,0,0,2,0,0,0,0,0,0,0,0,8,104,0,0,28,0,0,0,0,0,56,2,0,22,0,106,0,0,482,0,0,0,0,0,0,14,0,0,0,0,4,0,8,0,16,0,0,0,0,0,0,8,76,0,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,62,12,0,4,0,2,0,0,2,0,0,12,0,24,0,0,6,36,2,4,0,2,0,0,0,0,0,0,0,4,34,0,0,2,0,0,4,0,0,0,0,2,4,0,6,2,2,0,254,0,0,0,0,0,0,0,2,2,4,0,0
IRN,0,0,0,0,0,2,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,2,0,6,0,0,0,0,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,2,0,2,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,32,2,0,0,0,0,2,0,0,10,0,24,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,2,14,2,112,40,2,0,74,0,0,2,12,0,0,2,0,0,0,40,0,0,0,0,0,290,194,12,14,0,0,0,0,0,0,4,0,0,12,0,2,24,574,0,0,56,0,0,2,8,0,114,2,0,32,0,400,0,0,430,4,2,0,2,0,0,14,0,2,0,0,4,0,10,0,32,2,18,8,0,0,4,0,312,0,2,216,2,2,0,0,42,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,42,0,26,0,2,0,0,2,0,2,88,0,18,0,0,14,172,2,0,0,0,4,0,0,0,0,0,8,10,68,0,0,0,0,0,2,0,0,0,0,2,18,10,0,0,10,2,2436,0,0,0,4,0,0,0,0,6,42,0,0
ITA,4,14,2,2,62,8,206,306,6,2,582,0,4,2,100,0,0,32,0,0,6,300,0,0,0,0,0,618,1210,54,202,0,0,4,2,0,0,10,0,0,4,12,30,220,1830,0,0,344,0,12,2,34,0,830,6,2,246,0,2078,0,0,2266,18,0,0,0,0,0,236,0,0,0,0,24,0,70,0,182,2,132,76,6,0,6,312,0,4,0,554,2,12,0,0,152,2,0,0,0,2,0,0,0,0,14,16,6,26,4,10,6,58,0,6,2,4,0,0,2,0,0,0,6,0,10,0,8,0,846,164,6,24,2,10,0,8,4,0,2,446,0,140,2,0,140,668,2,4,0,16,6,0,0,0,2,0,140,114,532,0,0,2,0,0,10,0,0,0,0,4,44,82,2,6,76,10,4494,2,0,0,16,4,0,0,0,18,56,0,2
JAM,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,18,4,4,4,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,4,0,4,4
JOR,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
JPN,0,0,0,2,26,6,350,92,0,0,156,0,0,20,12,0,0,10,0,0,6,124,0,0,0,0,0,832,414,12,550,0,2,4,2,0,0,36,0,0,2,2,0,66,1048,0,0,138,0,4,2,52,0,146,4,2,138,2,746,0,0,1254,2,6,0,0,0,0,44,0,0,0,0,34,0,16,0,80,64,136,30,8,0,4,216,554,2,4,0,0,16,0,2,478,4,0,0,0,2,0,2,12,0,4,0,2,4,0,0,2,20,0,0,0,0,4,6,0,0,0,0,46,0,4,0,2,0,398,82,2,70,0,6,2,8,56,0,4,172,0,22,2,0,12,368,0,12,0,10,22,0,0,0,0,0,26,2,312,0,0,4,0,0,124,0,0,0,0,12,28,150,0,0,30,4,6490,8,0,0,4,22,0,0,2,24,30,4,0
KAZ,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,4,0,0,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,0,8,2,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,56,22,2,2,0,4,0,2,0,0,2,0,0,0,0,0,2,14,0,0,14,0,0,0,0,0,6,0,8,2,0,8,0,0,128,0,6,0,2,0,0,0,0,0,2,0,2,0,0,0,4,2,2,0,0,0,0,2,12,2,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,6,0,0,0,2,2,4,0,0,0,0,0,0,0,6,4,0,0,146,0,0,0,0,0,0,0,0,2,2,2,10
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,2,0,36,44,0,0,12,0,0,2,28,2,0,4,0,0,2,34,0,0,0,0,0,88,78,2,116,0,0,0,0,0,0,26,0,0,0,0,26,6,178,0,0,38,0,0,2,2,0,106,0,0,26,0,130,0,0,210,0,0,0,0,0,0,32,0,0,0,0,10,0,0,0,30,6,62,0,4,0,0,42,152,0,2,478,0,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,86,6,0,6,0,0,0,2,4,0,0,54,0,0,0,0,28,142,0,0,0,0,10,0,0,0,0,0,2,0,26,0,0,0,0,0,12,0,0,0,0,0,4,34,0,0,8,0,1256,0,0,0,0,4,0,0,0,0,4,0,0
KWT,0,0,0,12,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,12,0,2,0,0,2,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,2,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0,0,0,2,4,2,0,0
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
