,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BRN,0,0,0,2,0,0,4,2,4,0,48,4,0,0,6,0,2,28,4,0,0,2,2,0,0,2,8,0,0,0,0,0,20,12,4,58,2,6,4,2,0,6,0,0,2,0,0,0,2,12,34,0,0,10,0,0,4,8,0,6,6,0,4,0,0,26,0,0,4,90,4,2,0,0,0,0,0,10,0,0,0,0,0,0,4,0,4,18,42,2,8,4,0,2,6,2,2,22,6,4,2,0,0,0,38,0,2,0,0,0,0,0,26,0,0,0,2,0,0,0,2,0,4,0,0,0,0,4,0,4,0,0,0,0,0,110,0,0,0,2,0,8,8,0,0,12,4,10,4,2,8,0,4,6,0,2,2,0,2,6,14,0,26,0,0,50,0,0,0,0,0,2,0,0,0,2,2,4,0,0,0,0,0,0,26,0,0,0,0,0,0,10,0,18,2,2,2,0,32,2,0,0,0,8,0,0,0,0,6,0,0
BTN,0,0,0,0,0,0,0,4,0,0,34,2,0,0,0,0,0,6,2,0,0,0,2,0,0,0,2,0,0,0,0,0,8,2,2,14,2,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,2,0,0,2,0,0,6,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,20,0,2,0,0,0,6,0,0,8,0,2,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,10,0,6,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,0,0,2,2,0,0,0,0,2,0,28,0,0,0,0,8,0,0,0,0,2,0,0
BWA,4,4,0,0,0,0,6,6,0,0,42,16,2,0,18,6,0,4,4,4,0,0,0,4,0,2,16,4,0,0,0,0,24,32,20,16,8,26,6,0,0,6,0,2,4,2,0,2,4,2,40,0,2,10,0,0,6,6,2,18,6,18,6,4,0,18,0,0,0,102,4,6,0,0,6,0,0,6,2,0,0,0,0,0,0,6,6,6,28,8,6,4,4,4,34,4,4,12,0,24,0,0,0,0,10,0,0,6,0,4,2,0,4,2,0,0,0,8,0,0,0,0,10,0,0,4,0,0,0,6,4,0,0,0,16,8,20,2,2,36,0,14,14,0,0,6,6,6,2,6,6,0,4,8,0,8,0,0,4,2,12,6,18,6,0,10,0,4,0,0,2,6,0,0,0,4,4,26,8,0,4,0,0,0,12,0,0,0,0,2,8,12,0,8,12,18,4,6,224,0,0,2,4,6,0,0,0,2,160,16,26
CAF,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,6,0,0,10,16,8,16,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,56,0,0,8,28,0,2,0,4,2,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,0,0,14,0,2,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0
CAN,30,0,0,36,0,0,650,1070,264,6,7848,1920,242,2,2950,46,76,248,184,26,36,16,292,20,6,38,3460,32,20,8,24,4,0,4300,1220,13120,66,82,44,8,0,702,0,20,90,94,0,2,100,1252,10022,6,8,2698,34,226,114,978,0,4570,162,84,1374,32,0,9742,2,0,10,16076,274,126,0,10,16,4,0,1120,14,64,42,2,14,12,216,16,806,160,2318,1160,1902,36,232,1756,6008,54,156,3888,50,298,10,40,0,10,2134,178,18,238,2,40,4,0,98,6,92,128,36,412,16,22,16,6,1288,0,38,22,62,8,24,40,12,2,0,16,60,844,16,34,22,142,10,5292,1848,60,0,1422,106,632,114,170,134,2,20,1858,0,1106,14,4,446,620,1586,58,2014,24,58,1056,0,26,18,0,4,428,0,0,4,446,446,3230,4,4,32,4,6,2,490,2,0,0,0,42,332,1134,0,1324,88,200,182,118,43282,4,10,6,88,168,16,0,0,6,1654,44,46
CHE,12,4,0,24,2,0,106,664,502,0,3724,3634,242,6,3964,50,98,84,598,14,0,42,452,14,2,44,2040,4,12,2,32,6,4300,0,722,3266,136,114,66,40,2,696,0,2,46,134,0,2,270,1872,17430,0,2,2606,12,66,70,408,2,5920,486,108,1792,16,2,10742,0,2,34,14190,484,202,0,40,56,6,2,1798,10,14,18,8,6,0,564,12,1422,156,1664,1226,512,20,158,1324,9506,26,64,2776,26,270,32,72,0,12,1350,20,68,88,22,10,2,58,206,8,408,196,184,300,28,16,64,0,690,0,68,88,74,20,16,30,66,6,0,4,56,502,16,14,38,132,6,5918,1734,80,0,762,60,388,50,210,110,0,64,2530,0,1562,18,8,284,1060,2202,50,550,38,78,628,8,28,6,2,6,678,0,0,4,716,750,3520,20,22,14,0,30,6,542,10,2,0,2,8,80,1200,0,944,270,142,538,62,19044,14,4,2,36,230,10,0,0,8,1276,80,44
CHL,6,8,0,2,2,0,30,1184,250,0,1220,476,228,0,440,6,4,18,44,10,0,4,234,6,0,66,1456,6,4,2,20,0,1220,722,0,706,12,16,6,0,0,746,0,2,98,80,0,2,16,394,1982,0,2,608,12,8,128,58,0,2938,20,20,252,10,0,1964,0,0,0,2740,246,10,0,0,6,0,0,382,2,4,52,2,0,44,38,10,306,24,362,114,108,6,34,420,1414,12,18,712,8,30,4,0,0,4,272,6,2,32,0,10,2,4,14,0,24,8,10,252,0,0,6,0,724,0,4,2,0,0,0,8,4,0,0,2,0,276,2,6,2,50,8,854,438,4,0,216,16,40,48,336,16,0,6,534,0,472,46,4,42,288,552,8,122,2,6,60,2,0,44,0,0,266,0,0,0,282,264,594,0,2,6,0,0,0,58,0,0,0,2,4,26,342,0,378,6,12,52,168,4384,2,22,2,140,36,0,0,2,2,526,6,8
CHN,14,0,0,4,0,0,306,622,470,2,16322,1670,240,6,2304,20,8,220,388,26,0,8,474,10,4,6,2110,6,58,14,16,0,13120,3266,706,0,26,60,14,6,0,770,2,2,32,122,0,2,232,1326,11804,0,2,2668,8,110,104,866,6,3798,420,60,1904,14,0,8102,0,0,12,20070,444,180,0,14,12,4,6,1294,8,6,14,0,0,0,436,2,1036,268,2808,1324,920,134,136,1296,4892,16,62,12482,98,230,24,30,0,16,6460,44,18,88,2,14,2,2,282,2,298,144,110,288,4,12,34,2,896,0,34,18,10,36,4,92,8,0,4,18,26,1488,18,8,10,276,6,4292,1610,128,0,1376,120,2092,54,148,314,0,22,1966,72,1370,8,4,654,874,2956,34,2966,128,8,8456,4,26,2,0,0,734,0,0,2,518,578,4010,0,6,14,0,2,8,1342,16,0,0,0,18,114,1266,0,5762,54,52,648,72,82208,44,2,2,54,648,2,0,2,32,1168,26,14
CIV,8,2,0,0,0,0,10,14,0,0,28,10,2,6,48,44,50,10,8,8,0,2,0,6,0,2,20,2,2,2,8,10,66,136,12,26,0,60,24,18,0,16,0,0,2,2,0,0,8,8,94,0,0,18,0,2,6,12,0,24,12,18,12,8,0,240,0,0,18,122,8,46,0,24,16,4,2,10,0,2,2,0,0,0,0,2,4,22,26,8,10,8,8,10,40,0,10,32,0,50,0,4,0,0,12,0,4,10,6,6,2,0,10,0,0,14,0,20,0,0,16,0,14,0,0,50,0,4,0,0,12,2,0,0,8,14,6,8,20,34,0,36,12,4,0,16,8,10,4,6,16,0,12,2,0,18,0,2,8,10,8,22,8,12,48,12,2,4,2,0,0,10,0,0,0,16,2,26,2,2,6,0,8,28,20,0,0,0,0,0,26,12,0,12,24,34,10,8,116,0,0,0,2,14,2,0,0,2,54,20,6
CMR,4,4,0,2,0,0,4,16,0,0,58,16,4,6,140,42,52,8,8,6,0,4,2,4,0,12,94,2,6,2,26,16,82,114,16,60,60,0,46,26,0,16,0,0,4,2,0,0,4,22,228,0,0,30,0,6,10,16,0,56,10,28,12,6,0,464,0,0,44,224,8,66,0,16,16,4,2,22,0,2,4,4,2,0,2,2,18,30,84,8,10,4,4,12,112,6,8,46,0,70,0,6,0,0,16,0,6,12,4,4,2,0,10,0,2,12,2,16,0,0,18,0,18,0,0,28,0,6,0,0,20,0,0,2,16,24,2,8,20,96,0,72,20,2,0,14,6,18,10,16,14,0,10,8,0,20,0,0,6,26,28,18,20,18,46,16,2,4,0,0,0,8,0,0,2,10,4,42,2,2,6,0,12,12,34,0,0,0,0,6,16,18,0,12,26,38,6,8,336,0,0,0,4,14,2,0,2,2,240,18,6
COD,16,0,0,0,0,0,4,16,0,0,24,8,2,2,312,20,24,12,8,4,0,0,0,4,0,2,18,2,4,0,6,8,44,66,6,14,24,46,0,14,0,8,0,0,0,0,0,0,6,16,64,0,0,20,0,2,6,6,0,18,4,14,8,6,0,104,0,0,22,118,6,22,0,10,12,0,2,8,0,0,4,0,0,0,4,4,4,12,34,4,6,4,6,10,24,0,4,28,2,46,2,12,0,0,8,0,8,6,2,4,2,0,6,0,2,8,2,8,0,0,6,0,10,0,2,14,0,6,0,2,8,0,0,0,8,6,2,2,6,24,0,40,14,4,0,6,4,16,6,10,10,0,8,2,0,8,2,0,4,8,6,12,8,6,6,10,2,12,2,0,0,6,0,0,0,8,2,16,2,0,8,0,2,12,18,0,0,0,0,0,6,6,0,6,18,32,6,6,254,0,0,0,2,18,0,0,0,2,44,16,4
COG,0,0,0,0,0,0,0,0,0,0,6,2,0,0,16,14,14,2,0,0,0,0,0,0,0,0,4,2,2,0,0,16,8,40,0,6,18,26,14,0,0,6,0,0,2,0,0,0,0,0,54,0,0,20,0,0,2,10,2,14,0,10,2,0,0,78,0,0,12,72,0,16,0,6,12,2,0,0,0,0,0,0,2,0,0,0,0,8,36,4,0,0,0,0,24,0,0,4,0,18,0,4,0,0,0,0,2,0,2,0,0,0,2,0,0,4,0,4,0,0,10,0,4,0,0,10,0,2,0,0,12,2,0,0,6,4,4,0,8,18,0,10,12,0,0,2,0,2,2,0,10,0,4,0,0,2,0,0,0,0,0,8,0,2,14,0,2,8,0,0,0,0,0,0,0,0,0,16,2,0,0,0,2,2,10,0,0,0,0,0,0,0,0,2,14,22,0,0,86,0,0,0,0,6,2,0,0,0,28,22,6
COK,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
COL,8,0,0,18,0,0,32,724,382,0,556,492,228,0,400,10,12,30,214,12,2,6,400,14,2,48,1558,8,6,2,6,0,702,696,746,770,16,16,8,6,0,0,0,0,124,108,0,2,174,488,1090,0,2,374,28,8,192,210,26,1868,180,18,278,8,0,1126,0,0,4,1660,414,18,0,0,12,0,0,456,2,2,58,12,6,24,182,0,420,32,478,350,226,18,14,310,926,20,22,402,4,66,2,2,0,0,324,18,4,26,0,6,2,0,172,0,170,12,16,244,0,0,8,0,974,0,4,10,2,4,0,4,4,0,0,6,16,438,4,6,10,40,16,702,322,4,0,232,52,194,96,198,70,0,18,616,0,542,26,4,180,400,622,12,184,4,10,84,2,2,32,0,2,414,0,0,4,254,252,426,0,2,10,0,0,0,248,0,0,0,0,30,22,514,0,464,20,38,334,108,2946,2,2,2,206,166,0,0,2,2,366,16,8
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,18,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,20,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,38,0,0,0,0,0,22,0,0,0,38,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,2,94,4,0,84,28,0,0,32,2,0,2,2,0,0,0,0,8,0,22,182,2,2,0,4,0,90,46,98,32,2,4,0,2,0,124,0,0,0,14,0,2,2,8,144,0,2,36,18,2,42,8,0,204,2,0,18,0,0,116,0,0,0,130,0,6,0,0,2,0,0,6,2,0,48,4,0,24,2,0,0,10,26,10,12,0,0,12,70,8,0,42,0,8,0,0,2,0,12,2,2,8,0,0,0,0,4,0,2,0,2,2,0,2,2,0,144,0,2,0,2,2,0,2,0,0,0,0,0,14,0,0,0,4,26,68,10,0,0,16,2,2,84,46,18,0,6,14,0,28,10,0,2,6,26,0,12,2,0,12,0,0,28,0,0,6,0,0,0,2,6,26,2,0,2,0,0,0,18,0,0,0,0,6,4,6,0,30,4,4,2,48,530,0,0,2,20,4,0,0,0,0,16,0,0
CUB,0,2,0,0,0,0,4,118,50,0,36,26,2,0,126,0,0,2,2,0,2,2,0,0,0,30,426,4,0,0,2,0,94,134,80,122,2,2,0,0,0,108,0,0,14,0,0,2,4,72,150,0,2,70,18,4,68,12,0,470,2,0,62,0,0,146,0,0,0,170,0,2,0,0,4,0,0,70,2,2,30,0,0,18,62,4,62,6,74,20,10,0,0,16,174,8,4,76,0,10,0,2,0,0,58,12,0,2,0,0,0,0,0,0,0,4,0,6,2,0,0,0,390,0,2,0,4,0,0,2,2,0,0,0,2,6,0,2,0,8,2,104,70,0,0,4,2,56,4,96,6,0,0,72,0,38,30,0,0,60,74,0,16,2,2,10,0,0,30,0,0,46,0,0,2,62,6,74,0,2,0,2,0,0,52,0,0,0,0,2,2,72,0,8,0,2,50,30,240,0,0,2,40,8,0,0,0,2,64,2,0
CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,2,2,2,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,2,2,0,0,2,2,0,2,0,0,2,0,0,2,0,0,0,4,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,2,2,0,0,2,2,0,0,0,0,0,2,0,0
CYP,8,0,0,8,0,0,40,18,162,0,84,230,8,0,306,8,6,12,202,8,0,2,168,6,0,0,198,2,2,0,4,0,100,270,16,232,8,4,6,0,0,174,0,0,2,4,0,0,0,248,502,0,0,110,0,6,0,190,0,390,228,8,266,8,0,374,0,0,0,784,174,6,0,0,6,0,0,840,0,0,0,0,0,0,206,0,236,12,200,228,188,14,18,84,484,0,18,48,8,14,2,0,0,0,186,4,0,28,0,6,2,0,176,0,186,24,16,12,2,4,0,0,182,0,4,2,28,2,6,2,2,0,0,2,2,178,0,6,2,8,0,146,64,0,0,180,48,190,4,6,12,0,8,258,0,264,2,4,174,104,242,8,130,4,0,40,0,0,2,0,0,202,0,0,0,50,64,152,0,0,8,0,0,0,170,0,0,0,0,0,16,378,0,184,8,8,190,12,618,2,0,0,2,12,2,0,0,4,38,8,0
CZE,2,0,0,22,0,0,46,432,472,0,1088,1866,232,0,1472,0,12,14,486,2,0,40,444,4,0,10,1074,0,12,0,2,8,1252,1872,394,1326,8,22,16,0,0,488,0,0,8,72,0,0,248,0,4636,0,0,1098,12,52,60,342,0,2450,408,24,952,0,0,3272,0,0,6,4264,412,10,0,0,0,0,0,1124,0,4,10,0,0,2,568,0,1202,20,1016,564,332,4,42,662,3016,8,20,1286,38,12,6,0,0,0,720,34,0,28,0,2,0,0,166,0,452,56,196,244,2,18,8,0,456,0,42,2,20,4,16,16,4,0,0,10,4,602,24,0,0,10,0,1698,816,0,0,348,54,304,22,86,28,0,18,2476,0,1030,6,4,192,748,1846,4,318,14,8,232,0,0,4,2,0,666,0,2,0,2320,702,1466,0,2,6,0,4,0,312,0,0,0,0,2,30,866,0,616,26,12,576,12,4660,18,2,0,30,42,0,0,2,6,516,2,2
DEU,14,8,0,52,0,2,286,1606,576,0,9096,11432,292,8,8446,94,104,156,1054,14,4,104,684,16,12,60,4718,8,34,4,40,6,10022,17430,1982,11804,94,228,64,54,0,1090,0,2,144,150,2,2,502,4636,0,0,6,6614,24,172,194,1578,4,14322,884,192,4500,14,0,21886,0,0,134,33458,586,256,2,20,40,10,2,3772,14,20,46,14,4,0,1194,2,3024,374,3864,2588,1492,112,390,3642,18932,20,240,7602,142,436,58,20,0,8,3442,78,32,158,14,20,4,68,242,0,742,618,398,448,24,140,112,0,1588,0,116,62,98,22,32,56,50,0,2,22,54,878,106,28,30,234,8,15920,3972,90,0,1650,184,872,134,244,222,2,18,6694,8,3450,30,18,466,2172,7838,44,1640,76,66,1428,2,24,4,0,2,1206,0,0,6,1248,1370,9284,10,14,50,0,2,32,840,24,10,0,0,22,220,2594,0,1660,264,126,1592,134,46852,84,18,2,108,608,2,0,6,18,2314,54,20
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,2,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,8,2,2,2,0,0,0,0,0,2,0,0,2,2,0,2,0,0,6,0,0,2,0,0,2,2,0,8,0,0,2,0,0,2,0,0,0,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,2,8,2,0,0,0,2,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,2,26,0,0,2,2,0,0,0,0,0,2,0,0
DNK,10,6,0,30,0,0,108,512,306,0,2848,1644,236,0,2094,34,46,68,222,10,0,16,308,6,8,26,1176,4,10,0,10,0,2698,2606,608,2668,18,30,20,20,0,374,0,2,36,70,0,2,110,1098,6614,0,2,0,6,28,50,130,0,3464,358,54,1882,14,0,4040,2,0,22,9272,260,108,0,0,26,76,0,1186,2,206,10,2,2,4,304,0,842,68,800,756,278,20,436,900,4154,8,28,1482,22,112,14,10,0,6,698,24,12,36,2,10,2,0,40,0,236,130,210,254,20,24,24,0,342,0,38,34,72,4,14,12,24,0,0,4,16,460,16,6,10,52,2,4082,3108,38,0,466,16,158,22,102,56,0,10,1456,2,1238,2,6,120,700,1018,20,262,14,36,406,0,8,2,0,0,460,0,0,2,528,588,5146,0,6,10,0,0,2,218,4,2,0,0,6,44,672,0,438,138,96,188,54,9616,4,2,2,22,114,2,0,4,2,784,50,20
DOM,0,0,0,0,0,0,0,22,0,0,6,4,0,0,8,0,0,2,6,0,0,0,2,0,0,4,34,0,0,4,0,0,34,12,12,8,0,0,0,0,0,28,0,0,18,18,0,0,0,12,24,0,0,6,0,0,8,2,0,56,2,0,6,0,0,22,0,0,0,30,0,0,0,0,0,0,0,0,0,0,16,0,0,10,0,6,6,0,6,0,0,0,4,2,18,4,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,12,6,4,0,4,0,4,6,14,4,0,0,6,0,8,4,0,0,6,6,0,0,0,0,4,0,0,12,0,0,2,0,0,0,2,2,18,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,4,0,0,0,6,164,0,0,0,12,0,0,0,0,0,6,0,0
DZA,0,0,0,4,0,0,86,8,2,0,24,38,0,0,134,2,6,10,12,18,0,2,6,0,0,0,20,0,0,0,0,0,226,66,8,110,2,6,2,0,0,8,0,0,2,4,0,0,6,52,172,2,0,28,0,0,4,94,0,242,12,0,28,0,0,2682,0,0,0,228,2,0,0,2,0,0,0,36,0,2,0,0,0,0,20,0,16,2,84,20,30,12,0,34,254,0,40,40,2,4,2,0,0,0,34,6,0,34,0,0,0,0,2,0,14,12,8,130,0,2,2,0,40,0,8,0,6,2,4,2,2,2,0,0,0,102,0,0,2,6,0,30,32,4,0,2,18,108,0,4,4,0,0,30,0,82,2,0,16,34,52,0,324,4,10,6,0,0,0,0,0,12,0,0,0,10,20,28,0,2,6,0,0,0,10,0,0,0,0,0,182,146,0,12,2,2,18,0,206,0,0,0,6,6,0,0,0,4,74,0,4
ECU,0,0,0,0,0,0,6,140,0,0,88,38,0,0,108,2,0,2,2,0,0,2,0,0,0,54,250,2,4,0,6,0,114,70,128,104,6,10,6,2,0,192,0,0,42,68,0,2,0,60,194,2,2,50,8,4,0,24,0,720,2,2,28,0,0,184,0,0,2,242,0,4,0,0,2,0,0,14,2,2,24,10,6,16,0,6,8,8,82,38,6,0,4,14,160,4,2,44,10,14,2,2,0,2,46,0,4,2,2,0,0,0,6,0,4,4,2,8,0,0,2,0,206,0,2,2,0,0,0,10,2,0,0,2,8,16,2,0,4,18,12,134,12,4,0,28,0,12,50,116,8,0,6,50,0,54,16,0,2,20,42,0,26,2,0,18,0,6,16,0,4,0,0,0,4,10,2,68,0,2,0,0,0,0,12,0,0,0,0,4,6,16,0,24,6,10,34,34,686,0,0,2,222,14,0,0,0,2,58,2,0
EGY,12,0,0,12,0,0,346,72,170,0,352,354,20,0,434,8,12,48,220,52,0,6,168,8,2,6,366,8,8,0,6,0,978,408,58,866,12,16,6,10,0,210,0,0,8,12,0,2,190,342,1578,0,2,130,2,94,24,0,0,636,194,40,304,12,0,810,0,0,4,1416,186,28,0,0,8,0,0,360,4,4,2,0,2,0,228,0,240,38,632,248,328,86,12,112,812,8,110,1022,22,52,2,0,0,6,676,180,0,152,16,84,2,0,176,0,178,6,8,68,2,0,8,0,300,0,6,6,8,0,2,6,4,0,0,6,8,510,10,6,2,60,0,246,92,4,0,260,148,358,4,24,42,0,8,342,0,276,4,10,528,156,392,10,5784,74,8,68,0,0,2,0,4,220,0,0,0,28,52,216,2,2,38,0,4,2,264,2,0,0,0,4,198,500,0,298,14,16,204,14,3088,14,0,2,12,32,0,0,4,94,198,14,4
