,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GNQ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,1,4,37,1,0,130,170,255,0,588,849,110,4,1016,9,0,4,16,426,8,0,20,237,0,0,6,580,3,4,5,2,0,582,1217,195,785,4,18,7,0,0,256,0,0,11,59,0,0,538,709,2241,0,0,690,3,30,133,214,0,1725,275,14,656,3,0,1837,1,6,0,3708,232,13,1,1,3,0,0,0,1,3,3,4,2,0,329,0,576,49,476,526,255,19,44,369,2229,6,24,538,39,17,9,1,0,0,426,22,0,39,0,10,0,2,129,0,324,46,274,0,118,0,14,0,0,270,0,43,2,57,6,14,4,8,0,0,4,0,304,4,4,0,27,0,0,1230,440,14,185,21,202,11,59,25,0,3,910,0,778,4,88,189,565,698,8,199,6,2,132,0,0,1,3,1,1,0,398,0,3,2,335,364,874,0,0,3,4,0,0,0,215,0,0,0,1,4,39,606,0,291,15,21,291,18,2807,7,0,1,0,12,0,52,0,0,8,7,242,8,0
GRD,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,8,2,1,5,0,0,0,0,0,7,1,0,1,1,0,1,1,3,8,0,0,1,0,0,1,2,0,3,0,1,2,0,0,2,0,1,0,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,2,0,1,3,10,2,0,23,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,1,2,0,1,0,0,0,2,0,0,1,14,0,2,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,2,0,3,0,2,0,0,0,1,158,0,0,0,0,1,0,0,0,0,0,0,3,0,0
GRL,0,0,0,0,0,0,0,1,1,0,0,5,2,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,28,3,1,10,1,1,0,0,0,1,0,0,1,1,0,0,1,5,10,0,0,85,0,1,1,1,0,9,3,0,5,0,0,5,0,0,0,18,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,1,1,3,1,0,3,2,3,1,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9,26,1,1,0,1,1,1,1,0,0,5,0,2,0,1,1,2,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,14,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1,1,1,0,2,23,0,0,0,0,1,0,1,0,0,0,0,2,0,0
GTM,0,0,0,0,0,0,0,1,30,0,0,18,10,0,0,12,0,0,0,5,4,0,1,0,0,3,0,6,34,1,0,0,1,0,20,19,36,8,0,0,8,0,0,36,0,0,23,14,0,0,0,4,19,0,0,6,6,0,23,0,0,37,3,0,4,0,0,19,0,0,0,36,0,2,0,0,1,0,0,3,0,0,0,1,1,21,3,1,3,1,16,1,1,0,0,7,17,1,2,11,0,11,0,2,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,61,0,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,1,11,0,13,10,2,10,0,9,13,33,5,0,2,7,0,4,17,0,1,4,4,0,1,1,0,3,0,0,0,0,19,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,1,5,0,0,0,0,1,0,4,0,4,2,4,4,10,181,0,0,0,0,11,0,3,0,0,0,0,11,7,0
GUF,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,8,0,0,0,0,1,0,0,0,0,0,0,5,16,0,1,0,0,3,5,6,1,1,1,6,1,0,0,4,0,0,1,0,0,0,0,1,9,0,0,2,0,1,5,1,0,7,1,0,1,0,0,83,0,0,2,26,0,2,0,1,0,0,0,4,0,0,1,0,3,0,0,0,1,3,7,2,2,0,0,2,3,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,1,1,0,5,2,0,2,0,0,6,6,1,0,1,0,0,4,0,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,1,1,0,0,1,2,0,1,20,0,0,0,0,4,0,1,0,0,0,0,2,0,0
GUY,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,2,0,0,0,0,1,0,1,0,0,0,1,2,4,2,0,0,0,0,7,2,2,1,1,1,0,0,0,3,0,0,2,1,0,0,0,1,4,0,0,2,0,0,3,0,0,2,1,1,1,0,0,5,0,0,0,15,0,1,0,0,0,0,0,2,0,0,1,3,0,1,0,1,1,1,2,1,0,0,0,1,4,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,3,2,0,1,0,0,3,2,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,2,24,0,0,0,0,2,0,1,0,0,0,0,2,0,0
HND,0,0,0,0,0,0,0,1,13,0,0,5,2,0,0,2,0,0,1,1,0,0,1,0,0,4,0,1,25,1,0,0,0,0,8,3,18,1,0,0,0,0,0,13,0,0,12,15,0,0,0,0,6,0,0,1,6,1,18,3,0,29,0,0,2,0,0,4,0,0,0,15,0,1,0,0,0,0,0,0,0,0,21,0,1,0,0,2,0,0,3,0,1,0,0,1,10,4,0,4,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,5,1,1,1,0,0,8,15,3,0,0,0,0,2,15,0,2,0,3,0,2,0,0,2,0,0,0,0,7,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0,3,75,0,0,1,0,2,0,2,0,0,0,0,3,0,0
HRV,0,0,2,2,28,1,0,11,34,158,0,139,439,24,2,332,6,0,3,10,210,7,0,179,136,0,0,2,227,2,4,2,1,0,158,404,40,305,3,12,4,1,0,137,0,0,3,33,0,0,157,372,760,0,0,203,5,14,117,148,1,473,193,7,284,1,0,551,1,2,0,742,133,10,1,0,1,0,0,329,0,2,3,0,0,0,0,0,320,46,252,208,160,3,32,130,720,5,12,186,12,6,6,1,0,0,205,16,1,15,0,2,0,2,121,0,191,20,158,0,15,2,11,0,0,186,0,70,0,28,4,39,4,6,0,0,4,0,136,1,2,0,17,1,0,266,151,9,148,10,185,6,44,20,0,0,394,0,283,4,6,134,203,308,2,49,4,1,39,0,0,1,2,1,1,0,406,0,0,1,129,333,215,0,0,2,2,0,0,0,170,1,0,0,1,3,26,272,0,151,6,8,207,5,691,6,0,0,0,6,0,13,0,0,22,2,70,4,0
HTI,0,2,3,0,0,0,0,0,2,0,0,2,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,0,10,6,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,9,1,0,0,0,3,5,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,5,0,0,0,5,0,1,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,5,0,0,120,0,0,0,0,0,0,1,0,0,0,0,10,3,5
HUN,0,0,1,0,15,1,0,27,180,244,0,454,951,114,3,778,4,0,2,8,392,2,0,19,225,0,0,5,561,3,5,0,7,0,505,877,160,723,5,10,3,0,0,234,1,1,8,37,0,1,153,792,1890,0,1,520,2,14,127,185,0,1129,286,4,564,1,0,1291,1,0,2,2149,226,8,1,3,2,1,0,576,1,2,3,1,1,0,320,0,0,41,445,377,189,5,27,289,1274,6,12,632,17,7,6,3,0,2,474,8,1,10,0,1,0,1,123,0,326,25,280,0,109,12,20,5,0,230,0,23,0,22,2,7,9,4,0,0,5,0,252,4,0,0,9,0,0,816,370,6,160,6,178,8,52,18,0,1,846,0,541,5,84,131,633,733,0,62,5,2,54,0,0,1,2,1,1,0,374,0,1,3,433,362,709,0,0,3,2,0,0,0,179,0,0,0,1,4,15,434,0,347,4,7,318,15,1991,6,0,2,0,13,0,49,0,0,8,1,224,2,0
IDN,0,2,0,7,4,0,0,21,22,37,0,502,78,15,4,78,14,0,7,48,16,10,0,4,3,1,0,6,89,3,19,11,1,0,99,128,22,245,6,27,12,2,0,39,0,0,17,33,1,0,8,57,328,1,0,74,2,16,13,47,0,94,20,21,78,4,0,218,0,8,4,425,6,24,1,2,4,0,0,49,0,1,1,3,1,0,46,1,41,0,170,27,36,17,12,27,110,5,23,859,10,37,12,26,0,0,216,8,10,18,2,0,0,0,22,0,3,14,7,0,13,1,1,6,0,73,0,2,1,1,22,2,8,16,0,0,2,7,621,2,9,0,40,2,0,346,86,30,88,7,84,16,65,111,0,7,61,0,38,3,11,12,49,69,8,84,4,4,190,0,0,4,5,5,0,0,23,0,1,3,44,9,104,0,0,2,1,0,0,1,217,0,0,7,1,2,11,69,0,208,23,18,39,8,478,2,0,0,0,9,0,104,1,0,0,9,90,11,4
IND,0,14,1,8,12,2,2,261,201,167,1,1748,693,22,8,726,22,0,11,209,268,37,0,9,153,4,0,10,1004,4,19,20,26,1,1353,1133,209,2264,12,62,21,8,0,240,1,0,29,49,3,4,152,587,2326,1,3,462,5,81,145,504,5,1208,232,166,585,20,0,1780,0,9,4,3643,154,68,0,1,11,0,0,476,6,1,16,7,2,3,252,9,445,170,0,421,451,37,26,456,1656,17,81,1668,39,121,17,18,1,7,2074,59,9,48,1,8,0,0,211,0,258,39,252,0,77,11,9,10,6,461,0,15,15,13,34,2,21,25,2,0,29,42,976,10,8,10,186,2,0,908,338,184,338,163,501,33,114,156,0,9,776,0,640,14,24,249,361,1006,18,1441,19,19,734,0,0,3,6,4,0,0,264,0,1,4,227,225,799,2,0,3,5,0,0,3,530,5,0,1,2,27,83,507,0,897,54,53,287,30,7979,18,0,1,1,22,0,189,3,1,3,18,934,31,28
IRL,0,1,0,6,9,1,0,27,60,134,0,794,529,2,4,745,11,0,3,24,256,14,1,20,131,0,1,4,537,2,6,7,1,0,796,900,75,965,4,13,8,0,0,224,0,0,11,5,0,1,165,412,1612,0,0,529,2,25,130,186,0,1152,260,18,512,1,0,1283,1,8,0,4349,137,19,1,1,4,0,0,526,1,3,1,2,1,0,208,1,377,27,421,0,201,30,68,187,1290,7,22,397,19,23,11,1,0,2,350,15,2,29,0,7,0,2,129,0,294,42,265,0,16,2,7,1,0,213,0,23,0,23,10,4,7,13,0,0,2,13,207,13,9,0,39,0,0,1031,299,11,277,13,189,13,21,83,0,4,597,0,510,6,8,162,316,523,11,101,11,4,131,0,0,1,4,1,1,1,196,0,1,2,177,198,643,0,0,3,2,0,1,0,156,0,0,0,1,4,29,254,0,180,19,30,313,9,2465,5,0,2,0,11,0,103,0,0,1,5,138,15,2
IRN,0,12,1,8,5,0,0,83,47,130,0,900,282,24,4,365,18,0,4,36,143,13,0,7,130,1,0,3,336,4,6,9,3,0,1223,364,101,755,2,24,7,1,0,183,1,0,14,9,0,1,149,278,923,0,0,244,1,58,126,283,0,648,155,41,251,3,0,614,0,9,0,1105,153,22,0,1,4,0,0,255,2,1,1,2,0,1,160,0,189,36,451,201,0,94,29,44,962,7,46,282,38,26,14,4,0,0,449,51,0,48,0,2,0,0,139,0,149,21,120,0,32,1,3,1,0,237,0,6,5,3,8,18,6,12,0,0,5,7,780,3,6,2,59,1,0,412,172,23,259,56,335,14,22,28,0,3,396,0,334,7,30,190,150,283,8,263,9,6,136,0,0,1,1,2,0,1,188,0,0,2,52,45,359,0,0,3,11,0,0,1,221,6,0,0,1,3,37,730,0,213,13,17,152,8,2840,7,0,0,0,7,0,73,0,0,6,7,225,12,7
IRQ,0,1,0,8,0,0,0,26,5,0,0,168,30,0,4,28,10,0,0,23,11,12,0,1,1,0,0,1,32,0,0,7,0,0,49,23,8,107,0,8,6,0,0,25,0,0,7,0,0,0,0,5,105,0,0,14,0,22,9,42,0,50,9,14,20,1,0,69,0,9,0,551,2,11,0,0,2,0,0,19,0,0,0,0,0,0,3,0,5,17,37,30,94,0,13,15,73,1,30,37,9,13,7,0,0,0,29,7,0,22,0,6,0,0,10,0,2,8,1,0,4,0,0,0,0,29,0,0,0,0,5,0,0,7,0,0,0,2,478,2,6,1,40,0,0,39,15,9,26,24,47,7,19,9,0,2,63,0,33,1,14,11,56,48,9,94,4,1,15,0,0,0,0,0,0,0,16,0,0,0,10,2,43,0,0,0,3,0,0,0,3,1,0,0,0,0,8,86,0,19,6,10,19,2,220,0,0,0,0,0,0,21,0,0,0,10,34,7,0
ISL,0,0,0,6,6,1,0,14,10,8,0,109,89,2,4,85,9,0,0,15,15,8,0,8,8,0,1,1,31,3,1,6,1,0,117,105,30,106,2,9,5,0,0,19,1,0,8,3,0,1,6,33,272,0,0,257,0,9,8,15,0,154,52,12,164,1,1,186,1,7,0,444,9,11,0,0,3,1,0,44,1,3,0,0,0,0,32,0,27,12,26,68,29,13,0,45,166,4,11,59,10,14,8,1,0,2,39,11,0,11,0,0,0,2,8,0,27,18,13,0,9,1,3,0,0,26,0,7,0,10,6,3,3,8,0,0,2,1,17,3,5,0,15,0,0,157,247,9,32,5,20,9,13,12,0,3,88,0,63,2,8,9,42,72,6,30,0,0,41,0,0,1,0,0,1,0,27,0,0,2,20,27,342,0,0,3,0,0,0,0,16,2,0,0,1,1,6,33,0,31,7,11,14,5,468,2,0,0,0,3,0,13,1,0,1,5,37,6,0
ISR,0,3,1,7,13,0,0,53,201,107,0,713,426,106,3,482,11,0,3,15,157,12,1,17,120,2,1,5,375,3,4,7,2,0,1091,852,221,792,4,21,9,0,0,151,1,0,15,10,0,2,60,344,2085,0,1,478,3,22,19,57,0,983,79,25,280,3,0,1377,0,9,0,2021,113,14,1,0,6,1,0,369,3,2,7,2,1,1,130,3,289,27,456,187,44,15,45,0,1501,10,31,460,24,21,11,2,0,0,276,23,0,34,1,3,0,3,18,0,46,27,40,0,110,12,19,1,1,134,0,19,6,26,8,4,8,13,0,0,3,3,142,7,5,1,36,1,0,869,303,14,112,8,37,18,25,31,0,2,478,0,346,11,136,24,232,604,9,98,4,4,203,0,0,1,2,2,2,1,192,0,1,3,140,217,567,1,0,3,1,0,0,0,47,0,1,0,1,5,21,356,0,228,14,18,103,15,5254,3,0,1,0,11,0,34,0,0,1,5,256,9,1
ITA,2,4,8,8,100,1,0,222,721,323,0,3265,2918,122,8,3917,29,0,27,64,616,17,1,56,275,4,2,22,2486,4,13,10,15,2,3519,5761,827,3222,20,76,17,5,0,587,2,0,62,120,1,3,364,1785,10474,5,0,2353,11,188,200,519,2,8250,453,75,1648,13,0,10101,1,8,11,14106,280,49,2,7,8,6,0,2229,10,3,17,3,4,10,720,5,1274,110,1656,1290,962,73,166,1501,0,15,91,2520,87,106,18,12,0,2,1355,71,4,166,1,12,0,7,158,0,478,206,346,0,244,35,31,28,8,899,1,63,8,144,15,37,36,28,1,0,22,22,497,16,14,8,136,5,0,5351,1530,43,592,56,446,28,141,134,1,7,2735,1,2055,18,116,296,1237,2168,9,606,20,25,499,0,0,3,12,9,20,1,717,1,3,5,545,830,3295,2,0,8,6,0,2,6,405,6,0,0,1,6,274,1268,0,801,53,52,578,83,15983,20,0,18,0,60,0,229,2,0,22,10,785,22,12
JAM,0,0,0,1,5,0,0,10,10,0,0,16,10,0,0,12,5,0,2,4,7,1,5,4,5,1,3,2,19,19,3,1,2,0,39,16,13,9,4,9,2,0,0,16,1,0,7,4,0,2,3,8,11,0,0,6,3,7,6,11,0,12,6,3,9,1,0,14,0,2,0,43,5,11,0,0,1,0,0,6,2,1,1,0,2,4,5,0,6,5,17,7,7,1,4,10,15,0,8,14,2,7,2,2,0,0,11,3,0,6,0,0,1,0,1,0,2,3,7,0,6,0,1,0,0,15,0,1,0,1,2,1,4,3,0,0,3,1,9,2,3,0,16,0,0,13,11,7,6,3,5,9,8,3,0,1,8,0,10,7,3,4,9,10,1,9,5,1,9,0,0,1,2,4,0,0,8,0,0,3,3,5,6,0,0,6,0,2,0,0,6,0,0,0,1,15,5,10,0,10,5,10,3,4,100,0,0,0,2,7,0,6,0,0,0,1,22,4,0
JOR,0,2,0,7,5,0,0,132,12,0,0,95,30,0,4,36,13,0,2,16,18,19,0,5,10,0,0,4,35,2,3,8,2,0,109,41,23,71,4,23,6,0,0,24,0,0,12,3,0,0,11,20,166,0,0,27,4,47,9,98,0,63,17,25,42,4,0,65,0,9,0,227,7,22,0,0,3,0,0,24,0,1,2,1,1,0,12,0,12,23,81,22,46,30,11,31,91,8,0,59,15,19,10,3,0,0,38,35,0,49,0,11,0,0,15,0,4,13,11,0,29,1,3,1,0,28,0,1,1,3,8,1,6,12,0,0,3,3,104,3,6,0,33,3,0,51,32,17,22,41,61,15,19,22,0,4,38,0,32,6,30,53,23,38,9,284,8,2,28,0,0,2,2,2,0,0,25,1,1,2,14,5,42,0,0,2,3,0,0,3,11,0,0,0,1,3,30,49,0,40,12,13,20,4,428,1,0,0,0,5,0,27,0,0,0,16,38,10,1
JPN,2,15,0,8,15,1,0,93,312,145,0,2583,960,119,7,1129,22,0,9,434,270,17,0,9,127,4,1,14,982,5,20,12,6,2,2379,1738,382,7587,8,51,21,1,2,241,2,0,34,44,0,2,39,786,4575,0,1,912,5,47,37,668,0,1954,122,60,761,18,0,3523,0,10,9,5502,116,60,0,12,8,1,0,538,23,2,11,4,2,4,186,1,632,859,1668,397,282,37,59,460,2520,14,59,0,49,93,17,41,0,9,2777,33,39,70,5,3,1,4,122,1,169,51,137,0,133,16,4,13,0,370,0,25,5,17,80,2,90,17,0,0,13,15,979,15,16,3,118,6,0,1733,573,107,397,25,215,36,111,296,4,13,1044,0,553,18,97,68,477,1407,14,465,26,8,855,0,0,3,4,2,0,1,173,1,1,5,365,342,1360,0,0,4,7,0,2,2,1178,0,1,4,2,6,58,508,1,1694,42,37,250,34,12819,20,0,3,0,26,0,666,6,1,0,6,502,35,5
KAZ,0,1,0,4,2,0,0,12,8,11,0,51,20,16,3,21,7,0,1,10,26,9,0,4,32,0,0,1,22,1,1,6,1,0,41,28,12,110,1,11,5,0,0,12,0,0,7,1,0,0,11,24,91,0,0,18,3,12,7,20,0,28,13,12,26,1,0,52,0,6,0,140,12,9,0,0,2,0,0,39,0,0,0,0,0,0,12,1,17,10,39,19,38,9,10,24,87,2,15,49,0,7,33,0,0,0,46,6,0,9,0,3,0,0,6,0,9,9,18,0,9,1,2,0,0,28,0,4,0,3,5,1,7,8,0,0,2,1,25,2,4,0,16,0,0,23,24,6,16,13,27,6,9,10,0,2,117,0,19,1,7,8,21,449,5,22,0,0,19,0,0,1,0,0,1,0,20,0,0,1,19,10,27,0,0,1,3,0,0,0,8,2,1,0,1,0,6,68,0,16,8,6,119,3,240,19,0,0,0,2,0,12,0,0,3,4,19,5,0
KEN,0,2,4,8,3,0,0,12,29,0,0,170,40,1,8,146,34,0,36,48,8,9,1,5,0,0,1,3,86,4,1,8,25,1,186,165,27,170,15,59,50,10,0,49,0,0,20,9,0,0,2,13,254,0,0,73,0,16,14,47,1,83,14,124,46,4,0,174,0,8,10,773,2,78,0,11,42,2,0,17,3,1,11,1,2,2,6,4,7,37,121,23,26,13,14,21,106,7,19,93,7,0,9,10,0,3,38,6,3,20,4,1,0,0,14,0,3,13,4,0,10,1,1,12,1,63,0,1,49,1,8,1,3,52,1,0,6,65,38,11,6,8,119,3,0,201,55,30,60,8,47,15,46,23,0,5,24,0,44,2,11,10,19,31,51,28,33,34,31,0,0,1,6,3,0,1,15,4,1,3,15,5,120,7,0,4,0,0,4,4,68,0,0,0,1,0,13,25,0,28,183,188,9,8,1221,1,0,1,0,7,0,40,0,1,0,6,350,78,55
KGZ,0,1,0,6,2,0,0,11,7,2,0,19,15,2,4,15,8,0,1,10,7,7,0,2,1,0,0,1,14,1,1,7,0,0,19,31,12,38,1,10,7,1,0,12,0,0,7,1,0,0,5,7,50,0,0,15,0,13,7,13,0,18,13,12,16,1,0,16,0,7,0,54,7,9,0,0,2,0,0,9,0,0,0,0,0,0,6,0,6,12,17,11,14,7,8,11,18,2,10,17,33,9,0,1,0,0,13,2,0,12,0,0,0,0,10,0,7,13,3,0,4,0,1,0,0,14,0,4,0,3,6,1,2,10,0,0,1,1,15,1,6,1,17,0,0,16,17,10,13,4,16,7,9,12,0,2,18,0,16,1,6,5,11,50,7,12,1,0,10,0,0,1,0,0,1,0,15,0,0,1,11,4,18,0,0,1,1,0,0,0,3,2,0,0,1,0,8,35,0,8,10,7,12,1,40,2,0,0,0,2,0,8,0,0,1,5,15,8,0
KHM,0,0,0,0,0,0,0,3,2,0,0,87,4,0,0,34,0,0,6,15,0,2,0,0,0,0,0,0,7,0,1,2,0,0,26,36,3,33,3,4,1,1,0,2,0,0,1,1,0,0,0,3,17,0,0,6,0,0,0,4,0,16,1,4,1,1,0,78,0,0,2,84,0,1,0,0,1,0,0,1,0,0,2,1,0,0,1,1,3,26,18,1,4,0,1,2,12,2,3,41,0,10,1,0,0,0,21,2,29,2,0,0,0,0,1,0,1,2,1,0,2,0,0,7,0,3,0,0,4,0,11,0,4,7,0,0,1,1,25,0,1,0,6,1,0,23,8,8,6,1,5,1,2,16,0,2,4,0,2,2,1,2,1,3,0,4,1,6,28,0,0,1,5,3,0,0,2,1,0,0,3,0,13,0,0,0,0,0,0,1,96,0,0,0,0,0,1,2,0,3,0,11,0,0,146,1,0,0,0,3,0,34,1,0,0,0,10,5,5
KIR,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,14,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,2,0,2,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,1,0,0,5,0,5,0,0,0,1,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,42,0,0,0,1,0,0,1,0,0,0,0,8,3,1
KOR,0,3,1,8,6,0,0,129,87,182,0,1236,527,18,4,676,14,0,10,164,218,11,0,15,155,2,0,5,649,3,15,11,6,0,1257,865,186,4176,5,24,12,0,0,198,1,0,16,40,0,2,146,526,2096,0,0,459,1,43,134,436,1,1116,220,69,507,9,0,1461,0,10,2,2591,147,32,0,1,3,2,0,426,1,1,4,0,1,0,205,0,474,216,2074,350,449,29,39,276,1355,11,38,2777,46,38,13,21,0,0,0,27,8,30,0,4,0,0,175,0,260,45,246,0,21,13,10,5,0,359,0,5,1,1,26,2,70,11,0,0,10,10,448,3,6,0,53,0,0,750,240,70,319,61,771,15,81,177,0,6,674,6,419,14,12,186,268,948,13,609,13,3,688,0,0,3,2,2,0,0,191,1,0,2,191,189,629,1,1,3,6,0,0,0,492,3,0,0,1,5,39,457,0,864,31,20,307,20,10563,18,0,4,0,14,0,558,1,0,3,7,188,12,3
