,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BTN,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,2,0,0,0,8,4,0,0,6,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,24,6,2,2,2,8,2,0,0,0,0,0,0,0,0,0,2,14,0,0,8,0,0,0,4,0,2,0,10,2,0,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,4,0,0,0,0,16,0,0,4,0,24,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,24,0,10,0,0,10,0,6,18,0,0,2,0,8,0,4,0,0,0,0,0,4,0,0,0,0,2,0,10,2,2,2,0,0,0,0,0,0,0,0,0,6,8,2,0,0,0,0,6,0,0,0,0,0,0,0,0,4,4,0,0,164,0,0,0,0,0,0,0,0,0,0,98,8,22
CAF,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,8,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,34,0,8,8,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0
CAN,0,2,0,2,0,0,224,834,156,2,5168,1272,120,0,1928,28,28,126,104,0,18,12,162,2,8,24,1960,74,2,4,24,4,0,2942,674,7106,14,44,16,0,0,400,2,4,58,56,2,44,718,7424,2,4,1686,10,78,132,374,2,3186,110,24,966,10,7252,4,6,11852,138,48,0,2,4,2,0,806,6,16,22,0,12,8,114,6,512,100,1614,882,1222,4,180,1280,4266,44,112,2976,10,158,0,4,0,4,1624,66,6,154,0,18,2,2,34,0,50,54,24,184,8,6,10,0,868,0,10,12,14,0,6,16,4,0,0,2,36,272,10,4,4,60,8,3918,1374,22,0,956,54,196,88,114,82,0,10,1238,2,702,6,0,70,354,1216,10,766,10,20,666,2,0,10,0,0,246,0,4,376,282,2206,2,6,18,2,2,302,0,0,0,0,46,198,584,876,42,120,170,54,34498,8,10,2,58,0,70,2,0,0,4,810,18,22
CHE,2,4,0,12,0,0,44,468,332,0,2224,2602,122,2,2638,28,52,54,364,6,0,14,286,0,0,36,1142,26,0,0,6,2,2942,0,380,1688,56,54,26,20,0,390,0,0,32,52,0,172,1064,13556,0,2,1478,2,24,24,300,2,3762,262,66,1142,2,7578,0,18,9082,314,58,0,2,14,0,0,1176,2,2,12,6,0,4,356,6,744,98,964,510,406,2,118,906,6104,6,36,1762,6,124,6,22,0,2,834,6,20,58,2,4,0,50,28,2,212,138,50,140,8,12,24,0,418,0,22,42,16,8,22,26,34,4,0,6,36,134,8,2,10,86,6,3812,1002,38,0,562,18,224,50,68,94,0,18,1440,2,1006,10,0,30,486,1442,16,108,18,48,340,6,2,4,0,0,416,0,0,404,392,2108,10,20,22,12,18,214,8,0,0,0,0,62,644,696,110,104,306,16,13356,12,0,0,50,2,62,4,0,0,8,772,50,30
CHL,2,4,0,0,0,0,14,700,128,0,518,226,120,0,250,2,0,4,14,0,0,0,112,0,0,24,748,2,0,0,2,0,674,380,0,300,0,2,0,0,0,306,0,0,42,64,0,4,184,1344,0,0,314,4,2,24,18,0,1586,24,2,122,2,1250,0,0,1580,112,0,0,0,0,0,0,182,0,0,4,2,0,10,22,4,132,2,134,120,34,0,16,242,742,2,2,360,0,8,2,0,0,0,126,0,0,6,0,0,0,0,0,0,6,2,2,116,2,2,4,0,336,0,0,2,0,0,0,0,2,0,0,0,0,18,0,0,2,6,2,448,250,0,0,122,0,6,18,114,10,0,0,320,2,270,8,0,12,148,264,0,28,0,2,30,0,0,6,0,0,126,0,0,136,138,324,0,0,0,2,0,12,0,0,0,0,0,10,146,220,2,6,32,114,2756,4,22,0,70,2,0,2,0,0,0,238,0,0
CHN,2,0,0,2,0,0,72,386,302,0,7544,966,116,8,1266,0,6,112,206,4,4,6,286,2,0,2,1058,2,10,2,2,2,7106,1688,300,0,6,16,4,0,0,430,0,0,12,68,0,158,720,6858,0,2,1224,18,34,90,340,4,1682,210,8,896,2,4446,0,0,9776,260,28,0,2,2,0,0,644,0,20,4,0,0,4,272,2,570,192,1410,484,420,34,64,632,2158,0,22,9540,12,100,0,22,0,0,4066,48,16,50,0,2,0,0,42,2,200,50,18,144,0,4,12,0,604,0,20,10,6,8,4,36,6,0,0,10,10,550,12,6,2,144,0,2286,834,42,0,848,14,734,20,72,176,0,0,800,32,702,0,0,76,336,1460,2,648,24,6,4158,0,4,6,0,0,372,0,0,228,282,2160,0,0,12,0,12,516,0,4,0,0,2,68,586,3264,10,18,304,40,42186,38,0,0,30,0,172,6,0,0,6,588,12,22
CIV,0,0,0,0,0,0,0,0,0,0,8,4,0,0,28,14,30,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,14,56,0,6,0,20,2,4,0,4,0,0,4,4,0,0,0,34,0,0,6,0,0,2,4,0,2,0,2,0,0,198,0,8,34,0,8,0,6,2,0,0,2,0,0,0,0,0,0,0,0,4,2,6,0,2,0,0,0,8,0,0,8,0,12,2,6,0,0,2,0,0,0,0,0,0,0,4,0,0,4,0,2,0,0,2,0,2,0,0,14,0,0,0,0,2,2,0,0,4,0,0,0,2,6,0,6,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2,4,2,0,2,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,4,2,0,0,0,0,8,2,0,2,14,0,0,56,0,0,0,2,0,0,0,0,0,0,20,2,6
CMR,0,0,0,0,0,0,0,0,0,0,28,18,2,0,72,16,40,2,0,2,0,0,0,0,0,2,20,0,2,0,8,8,44,54,2,16,20,0,22,8,0,2,0,0,0,0,0,0,2,132,0,0,6,0,0,0,12,0,8,2,8,4,0,350,0,32,136,0,20,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,32,26,2,0,0,0,4,60,2,0,40,0,40,0,4,0,0,4,0,2,2,0,0,0,0,0,0,0,2,0,8,0,0,12,0,4,0,0,26,0,0,0,0,4,2,0,2,12,14,0,0,6,56,0,28,2,4,0,6,0,22,6,8,2,0,0,2,0,4,0,0,0,10,6,0,0,10,28,2,0,4,0,0,0,0,0,0,0,0,24,0,0,0,6,2,14,0,0,0,0,0,8,0,4,24,26,0,0,192,0,0,0,2,0,6,0,0,0,0,126,4,10
COD,0,0,0,0,0,0,0,4,0,0,6,4,0,2,138,6,10,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,16,26,0,4,2,22,0,6,0,0,0,0,0,2,0,0,0,18,0,0,4,0,0,0,0,0,6,0,4,0,0,50,0,8,38,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,6,0,0,0,0,0,6,0,0,2,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,20,0,18,4,2,0,0,0,12,0,2,0,0,0,2,0,0,0,0,0,0,2,6,2,0,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,24,0,0,112,0,0,0,0,0,2,0,0,0,0,38,18,2
COG,0,0,0,0,0,0,0,0,0,0,4,2,0,0,8,2,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,20,0,0,4,8,6,0,0,2,0,0,0,0,0,0,2,18,0,0,0,0,0,0,8,0,6,0,6,0,0,50,0,14,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,6,0,0,0,0,2,2,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,46,0,0,0,0,0,0,0,0,0,0,8,0,4
COK,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,4,464,262,0,254,318,112,0,264,2,0,6,156,0,0,0,256,2,0,28,910,6,2,0,0,0,400,390,306,430,4,2,0,2,0,0,0,0,70,48,0,144,370,610,0,2,160,10,2,136,150,0,1196,148,4,168,2,664,2,2,790,254,6,0,0,0,0,0,274,2,0,12,6,2,10,146,0,246,12,308,92,160,2,8,174,424,22,6,194,0,12,0,2,0,0,280,4,6,26,0,0,4,0,2,0,150,2,4,120,0,0,2,0,630,0,0,2,0,0,0,0,4,0,0,2,0,32,0,2,2,16,12,330,138,0,0,174,0,150,56,98,14,0,4,294,2,310,10,0,0,166,398,2,16,0,2,8,0,2,22,0,0,260,0,2,116,116,272,0,2,0,0,0,18,0,0,0,0,8,10,308,292,2,8,152,42,1742,0,0,4,162,0,2,0,0,0,0,156,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,4,60,0,0,36,20,0,0,22,2,0,0,2,0,0,0,0,6,0,8,112,6,0,0,0,0,58,32,42,12,4,0,0,0,0,70,0,0,0,10,0,0,20,80,0,0,28,26,2,28,4,0,118,6,2,8,2,90,2,0,100,0,0,0,0,0,0,0,6,0,0,26,2,2,28,4,2,8,10,12,8,6,0,4,6,46,4,0,22,0,10,0,0,0,0,10,0,2,2,0,0,2,0,2,0,0,0,2,0,0,0,2,0,98,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,36,54,18,0,0,10,0,0,48,26,2,0,6,16,0,16,2,0,2,6,12,0,2,0,6,4,0,0,32,0,0,0,0,2,6,0,34,0,0,0,0,0,6,0,0,0,0,2,2,4,8,4,6,2,12,478,0,0,2,34,0,0,2,0,0,0,16,0,0
CUB,0,2,0,0,0,0,0,66,18,0,18,40,0,0,154,0,0,0,6,0,0,2,0,2,0,6,248,2,0,0,0,0,56,52,64,68,4,0,2,0,0,48,0,0,10,0,0,2,34,148,0,0,24,20,0,14,0,0,440,6,2,30,2,128,0,0,132,2,0,0,0,2,0,0,22,0,0,0,0,2,4,24,2,30,2,46,4,10,0,0,4,110,0,0,38,0,2,0,2,0,0,18,0,0,0,0,0,0,0,4,0,2,0,0,4,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,6,52,32,2,0,4,0,2,8,46,6,0,0,28,0,42,4,0,0,26,38,0,2,2,0,2,0,0,10,0,0,14,0,0,30,4,32,0,0,0,0,0,6,0,0,0,0,2,2,6,2,0,0,20,10,134,0,0,2,56,0,4,0,0,0,0,18,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,2,0,0,0,2,144,0,16,162,2,0,202,0,0,0,154,0,0,0,144,0,0,0,156,0,2,0,0,0,44,172,4,158,0,0,0,0,0,144,0,0,0,2,0,0,130,310,0,0,46,0,8,0,152,0,286,192,0,158,0,244,0,0,512,146,2,0,0,0,0,0,510,0,0,0,0,0,0,152,0,200,0,162,20,146,0,6,36,314,0,4,16,0,4,0,0,0,0,158,0,0,8,0,0,0,0,0,0,156,2,6,0,0,2,0,0,150,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,36,14,0,0,142,0,142,0,2,0,0,0,178,0,170,0,4,0,54,162,0,10,0,0,12,0,0,0,0,0,150,0,0,14,20,68,0,0,0,0,0,0,0,0,0,0,0,0,234,150,0,0,152,0,474,0,0,0,0,0,0,0,0,0,0,8,0,0
CZE,0,0,0,4,0,0,16,310,292,0,606,1044,116,0,856,2,8,4,296,0,0,10,244,0,0,6,590,0,0,0,2,0,718,1064,184,720,0,2,0,2,0,370,0,0,20,34,0,130,0,2976,0,0,538,0,20,86,152,0,1340,190,0,530,2,2180,0,0,2406,238,2,0,0,0,0,0,602,2,0,2,0,0,0,304,0,654,16,512,274,184,2,22,370,1602,0,10,820,6,10,0,0,0,0,440,0,4,4,0,4,0,0,0,0,206,24,34,136,2,4,2,0,348,0,12,4,8,0,22,16,2,0,0,0,0,60,28,6,0,4,2,982,484,8,0,218,0,116,10,20,12,0,2,1430,0,602,0,0,8,354,1080,0,32,6,0,64,0,0,2,0,0,404,0,0,1328,364,854,0,0,0,2,2,40,4,0,0,0,0,8,446,370,6,2,334,16,2894,16,2,0,8,0,26,0,0,0,6,258,2,6
DEU,12,2,0,28,0,2,150,1190,454,0,5726,8654,136,0,6108,34,58,96,930,6,2,52,512,0,2,36,2928,32,2,2,14,2,7424,13556,1344,6858,34,132,18,18,0,610,2,0,80,148,0,310,2976,0,0,0,4226,6,92,150,998,4,9724,524,112,2906,4,16126,0,86,22946,386,114,0,4,12,0,0,2866,2,6,16,2,0,8,834,2,2394,246,2976,1760,950,14,300,2866,12956,10,192,5784,58,248,16,8,2,0,2336,28,30,62,0,10,0,54,30,0,514,328,172,240,30,106,64,0,1204,0,74,22,44,6,30,50,16,0,0,0,26,248,48,2,14,188,4,11678,2688,44,0,1060,80,532,128,120,120,0,8,4478,4,2092,10,6,82,1348,6106,30,566,60,42,744,0,0,10,0,0,798,2,0,962,862,6176,2,0,40,6,14,504,4,0,0,0,10,112,1622,1244,86,66,1320,58,36776,100,16,0,116,4,244,8,0,0,34,1348,28,18
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,8,0,0,22,252,140,0,1644,946,112,0,1306,20,24,14,116,2,0,6,138,0,0,4,520,0,4,2,8,2,1686,1478,314,1224,6,6,4,0,0,160,0,0,28,24,0,46,538,4226,0,0,0,0,2,14,54,0,2144,142,8,1198,6,2648,0,2,5584,124,34,0,0,12,36,0,640,0,134,0,0,0,0,136,0,502,80,294,388,204,0,268,500,2396,2,4,810,8,40,0,2,0,2,242,6,0,28,0,2,0,0,10,0,110,44,52,132,8,4,4,0,142,0,14,12,6,0,2,2,14,0,0,0,8,66,12,0,10,16,4,2402,2060,14,0,294,8,34,16,40,24,0,0,840,0,638,0,0,10,264,510,4,80,14,16,186,0,0,0,0,0,200,0,0,254,262,3368,8,2,2,0,0,88,0,0,0,2,0,14,316,244,102,46,78,48,6116,6,0,0,30,0,66,0,0,0,0,368,18,14
DOM,0,0,0,0,0,0,2,4,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,2,14,6,0,0,0,0,10,2,4,18,0,0,0,0,0,10,0,0,26,20,0,0,0,6,0,0,0,0,0,2,0,0,14,0,0,0,0,10,2,0,26,0,0,0,0,0,0,0,0,0,0,8,0,4,22,0,2,2,0,20,0,0,0,2,0,6,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,18,0,0,0,0,0,0,0,10,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,4,2,0,0,0,0,92,0,0,2,18,0,0,0,0,0,0,0,0,0
DZA,0,0,0,2,0,0,18,2,4,0,14,10,2,0,74,2,2,0,6,2,0,0,0,0,0,0,4,0,0,0,0,0,78,24,2,34,0,0,0,0,0,2,0,0,2,0,0,8,20,92,0,0,2,0,0,0,26,0,146,0,2,2,0,1814,0,0,72,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,4,2,50,4,16,0,0,6,114,0,14,16,0,0,2,0,0,0,14,0,0,28,0,8,0,0,0,0,6,4,0,88,0,0,2,0,10,0,2,2,0,0,2,0,2,0,0,0,0,26,0,0,0,2,0,20,6,0,0,0,10,16,0,0,2,0,0,20,0,26,0,0,20,34,26,0,200,2,2,0,0,0,0,0,0,6,0,0,4,4,12,0,0,8,2,0,2,0,0,0,0,0,90,40,6,2,2,8,0,118,0,0,0,0,0,0,0,0,0,0,26,0,0
ECU,0,0,0,0,0,0,2,124,0,0,22,12,0,0,38,0,0,2,0,0,0,0,0,0,0,14,154,0,0,0,0,0,132,24,24,90,2,0,0,0,0,136,0,0,28,14,0,0,86,150,0,0,14,2,0,0,0,0,144,0,0,4,2,154,0,0,168,0,2,0,0,0,0,0,2,0,0,6,0,0,2,0,0,2,4,92,84,4,0,0,4,26,0,0,14,0,6,0,0,0,0,86,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,124,0,0,0,0,0,0,0,2,0,0,0,0,8,0,2,0,0,6,94,6,0,0,8,0,0,12,56,4,0,2,8,0,12,2,0,0,2,86,0,6,0,0,2,0,0,8,0,0,0,0,0,2,0,102,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,0,2,6,306,0,0,0,22,0,2,0,0,0,0,2,2,0
EGY,12,0,0,2,0,0,130,18,154,0,130,244,16,0,252,4,4,22,170,44,0,4,144,0,0,4,206,0,0,0,4,0,374,300,18,340,4,12,0,8,0,150,0,0,4,0,0,152,152,998,0,0,54,0,26,0,0,0,336,154,10,176,0,452,0,0,926,144,8,0,0,2,0,0,216,0,0,2,0,0,0,162,0,176,22,288,36,190,10,2,56,372,2,52,634,12,40,0,4,0,0,322,106,0,72,0,38,0,0,6,0,146,4,4,32,0,2,0,0,194,0,0,0,2,0,0,2,0,0,0,0,2,76,0,0,4,20,0,150,18,4,0,194,62,196,0,20,24,0,0,202,0,198,0,4,50,78,174,0,2130,18,0,28,0,0,0,0,2,152,0,0,16,8,116,0,0,24,0,0,38,2,0,0,0,2,48,272,208,10,18,150,6,1854,4,0,0,8,0,14,0,0,0,54,54,0,12
ERI,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,4,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,0
ESP,0,6,0,18,6,2,48,1900,300,0,2178,2186,118,0,3498,10,10,8,454,2,0,10,308,0,4,54,2510,2,0,0,2,2,3186,3762,1586,1682,2,8,6,6,0,1196,2,0,118,440,0,286,1340,9724,0,2,2144,14,146,144,336,2,0,410,32,1584,4,9960,0,6,12534,314,8,0,4,8,2,8,2028,0,10,20,4,2,18,426,0,1152,28,1108,964,480,2,178,1162,9568,2,44,1916,18,60,0,2,0,0,904,6,2,60,0,4,0,2,8,0,296,88,64,480,30,32,14,0,2530,0,24,12,26,0,2,2,134,4,0,8,14,106,6,4,6,60,28,4646,1492,2,0,498,14,190,70,270,38,0,40,2094,2,3694,52,2,50,724,1754,4,230,12,32,230,0,4,14,0,0,472,0,0,504,454,2948,0,2,12,4,2,116,0,0,0,0,2,344,932,684,32,26,428,256,15494,32,2,0,338,0,32,0,0,0,2,612,10,0
EST,0,0,0,4,0,0,2,14,146,0,78,224,2,0,314,0,0,0,176,0,0,4,158,0,0,0,162,0,0,0,0,0,110,262,24,210,0,2,0,0,0,148,0,0,6,6,0,192,190,524,0,0,142,0,0,0,154,0,410,0,2,520,0,378,0,0,622,150,0,0,0,0,0,0,214,0,2,0,0,0,0,178,0,286,8,170,62,154,0,28,42,422,2,2,76,6,2,2,0,0,0,166,0,0,0,0,0,0,0,0,0,226,8,94,0,0,4,2,0,160,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,164,140,0,0,168,0,148,6,4,6,0,0,328,0,188,2,0,0,86,304,0,2,0,0,6,0,0,0,0,0,162,0,0,40,50,432,0,0,0,0,0,10,2,0,0,0,0,4,186,152,0,0,172,0,488,2,0,0,0,0,0,0,0,0,0,24,4,0
