,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
ISL,0,0,0,0,0,0,2,0,10,18,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,30,24,2,6,0,0,0,0,0,0,0,0,0,0,6,64,0,0,146,0,0,0,0,0,26,10,0,92,0,0,56,0,0,174,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,6,0,0,28,0,0,0,8,34,0,0,28,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,140,0,14,0,0,0,0,0,0,0,8,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,164,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,176,0,0,0,0,0,0,0,0,0,0,0
ISR,2,0,0,0,0,8,36,6,262,146,0,0,298,0,0,4,28,0,0,2,12,0,0,0,114,4,2,0,2,0,708,380,76,218,0,0,0,0,4,0,2,4,4,8,106,1494,0,0,150,0,0,0,12,0,368,10,4,102,0,0,948,0,0,1090,16,4,0,0,0,0,0,158,0,0,0,0,0,0,28,0,160,2,140,42,0,0,8,0,714,2,16,352,38,24,2,0,0,0,140,2,0,6,0,0,0,4,0,10,10,18,4,2,10,0,50,0,2,0,0,2,0,2,0,0,0,0,0,4,4,0,0,4,0,472,74,0,50,0,6,2,0,6,0,0,254,0,102,0,4,0,52,382,0,8,2,0,32,0,0,0,0,0,16,0,0,22,36,222,0,0,0,0,0,28,0,2,0,0,2,114,68,4,0,76,8,5362,12,0,14,0,0,0,0,0,76,2,0
ITA,0,2,32,0,4,16,352,120,1012,1138,14,0,1668,4,22,10,258,2,0,8,62,0,0,12,900,4,0,0,2,0,1682,2912,210,710,6,16,0,2,44,0,2,10,60,68,602,6212,0,0,918,4,54,22,68,14,3494,70,10,688,0,0,6218,0,2,6906,40,12,0,2,4,0,0,824,0,2,4,2,0,4,132,0,566,16,446,304,78,4,34,714,0,2,12,1404,42,32,0,2,0,0,330,10,0,16,0,8,0,6,0,64,30,26,82,16,18,2,316,0,8,4,6,0,0,0,6,8,0,0,0,20,2,4,2,24,2,2608,638,4,178,10,42,12,36,12,0,2,1094,0,624,6,0,2,352,1650,0,40,2,4,68,0,0,4,0,0,84,0,0,236,232,1560,0,0,6,0,0,54,0,0,0,2,48,316,162,8,6,206,18,11654,34,4,70,12,0,0,0,2,136,4,6
JAM,0,0,0,0,0,0,2,0,6,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,6,0,0,0,0,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,74,0,0,0,0,0,0,0,0,0,0,0
JOR,0,0,0,0,0,26,0,0,14,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,2,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,16,0,4,0,0,6,0,0,4,0,0,62,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,2,4,12,0,16,12,0,0,4,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,2,16,0,0,0,0,0,0,12,0,4,0,0,8,0,8,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,0,0,0,0,0,16,0,0,0,0,0,152,0,0,0,0,0,0,4,0,2,0,0
JPN,0,0,2,0,0,14,118,36,1330,392,2,0,550,2,2,162,106,0,0,2,42,0,2,6,438,0,0,2,6,2,1940,904,96,4440,2,8,4,2,34,0,0,12,24,6,374,3570,0,0,366,6,16,12,208,2,694,28,12,340,2,0,2154,2,4,3342,14,18,0,0,0,0,0,188,0,0,4,0,2,4,26,0,338,290,1000,110,66,0,28,352,1404,10,4,0,58,36,0,6,0,0,2760,12,4,4,0,2,0,54,2,34,2,26,16,8,4,10,194,0,14,4,0,22,0,40,0,0,0,2,6,226,2,8,2,28,0,882,172,46,208,16,46,10,24,230,2,6,788,0,108,4,0,4,194,1602,0,14,18,2,274,0,0,4,0,0,48,0,0,106,132,814,0,0,6,0,0,642,0,0,0,2,12,236,760,16,4,192,8,15166,38,0,22,170,0,0,0,0,156,6,0
KAZ,0,0,0,0,0,0,0,0,0,4,0,0,38,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,36,6,0,4,0,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,0,0,2,2,42,0,0,8,0,0,14,0,0,108,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,38,42,0,0,58,0,0,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,2,0,0,0,0,0,42,0,0,0,0,0,4,114,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,6,0,80,6,0,0,0,0,0,0,0,0,0,0
KEN,0,0,2,0,0,0,2,0,38,20,0,0,56,8,12,0,2,0,0,0,0,0,0,0,20,0,0,0,6,0,50,64,8,18,4,6,2,0,6,0,0,2,6,0,4,116,0,0,56,0,0,4,4,2,6,0,20,2,0,0,44,0,4,314,2,6,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,14,18,4,4,0,0,24,32,0,0,36,0,0,0,0,0,0,0,2,0,0,2,0,0,10,0,0,0,0,2,0,0,0,8,0,0,10,0,0,0,0,10,0,0,0,4,2,0,0,0,12,0,82,2,0,2,0,2,2,4,2,0,0,0,0,2,2,0,0,2,2,2,4,8,8,2,0,0,0,0,0,4,0,0,2,0,34,0,0,0,0,2,22,0,0,0,0,2,4,0,42,46,0,0,392,0,0,4,2,0,0,0,0,68,8,16
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,6,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,20,0,0,0,10,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,2,0,24,2,0,0,10,0,0,0,0,0,2,2
KIR,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,0,8,16,28,400,92,0,0,136,0,0,16,48,0,0,0,14,0,0,0,86,0,0,0,0,0,664,266,40,1182,0,4,0,0,10,0,0,4,0,34,30,684,0,0,46,0,4,6,48,0,206,0,0,70,2,0,424,2,0,736,2,2,0,0,0,0,0,56,0,0,2,0,0,0,20,0,102,34,468,62,8,0,2,140,330,0,0,2760,42,0,0,0,0,0,0,4,0,0,0,0,0,14,0,10,0,0,6,2,0,0,104,0,0,0,0,4,0,6,2,0,0,0,0,42,0,4,0,0,0,220,54,4,74,0,24,6,2,38,0,2,266,0,14,0,0,0,66,634,0,2,0,0,92,0,0,0,0,0,6,0,0,24,64,146,0,0,0,0,0,92,0,0,0,0,0,28,352,0,0,130,0,6684,20,0,4,102,0,0,0,0,24,0,0
KWT,0,0,2,0,0,22,0,0,14,2,0,0,6,0,0,6,0,2,0,0,2,0,0,0,2,0,0,0,0,0,38,10,0,2,0,2,0,0,0,0,0,0,0,0,2,18,0,0,2,0,2,0,32,0,2,2,0,12,0,0,10,0,0,98,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,10,0,42,0,10,0,4,2,10,0,2,12,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,2,6,0,0,0,8,0,0,0,0,0,2,0,0,0,0,8,4,6,0,22,2,0,4,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,2,0,0,0,0,0,12,6,0,0,4,0,132,0,0,0,2,0,0,2,0,4,0,0
LAO,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,12,0,0,0,0,0,0,0
LBN,0,0,0,0,0,4,2,0,16,2,0,0,16,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,48,12,0,6,0,0,0,0,2,0,0,0,0,4,6,16,0,0,0,0,0,0,16,0,4,0,0,0,0,0,190,0,0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,6,16,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,0,0,0,2,0,0,0,0,0,8,0,0,0,0,2,0,6,0,12,0,0,2,0,0,0,0,0,0,0,0,2,0,8,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,170,0,0,0,0,0,0,0,0,4,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,14,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,4,2,6,0,0,8,0,8,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,2,0,0,0,2,0,30,2,0,0,6,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,18,2,28,2,2,0,0,2,0,0,0,2,0,6,32,0,0,16,0,0,2,4,0,2,0,0,2,0,0,6,0,0,96,2,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,28,2,6,0,0,4,6,0,0,54,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,10,0,14,0,10,2,0,14,2,2,12,0,0,4,0,0,2,0,0,2,4,0,4,0,0,14,0,0,0,0,0,2,0,0,4,0,18,0,0,0,0,0,16,0,0,0,0,4,4,6,0,2,0,0,62,4,0,0,8,0,0,0,0,12,0,0
LSO,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
LTU,0,0,0,0,0,0,0,0,8,18,0,0,34,0,0,0,8,0,0,0,6,0,0,0,2,0,0,0,0,0,12,36,2,6,0,0,0,0,0,0,0,0,0,0,20,134,0,0,44,0,0,0,0,0,42,34,0,58,0,0,116,0,0,102,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,22,0,6,4,0,0,0,10,64,0,0,34,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,26,2,0,2,0,12,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,0,4,0,0,0,0,0,0,0,74,0,12,0,0,0,10,50,0,2,0,0,0,0,0,0,0,0,2,0,0,16,26,146,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,16,0,160,0,0,0,0,0,0,0,0,4,0,0
LUX,0,0,0,0,0,0,2,0,4,16,0,0,76,2,2,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,4,34,0,2,0,2,2,0,0,0,0,0,0,0,4,76,0,0,14,0,0,0,0,0,16,0,0,10,0,0,78,0,0,32,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,8,0,0,12,0,0,2,10,30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,30,12,0,0,0,0,0,2,0,0,0,28,0,10,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,2,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,2,0
LVA,0,0,4,0,0,0,0,4,4,22,0,0,4,0,0,0,6,0,0,4,6,0,0,0,2,0,0,0,0,0,16,18,0,4,0,0,0,0,0,0,0,0,0,0,20,118,0,0,28,0,0,0,0,0,8,40,0,32,0,0,32,0,0,34,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,10,0,0,8,0,0,2,18,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,8,0,2,0,0,0,2,2,0,0,28,0,10,0,0,0,6,78,0,0,0,0,2,0,0,0,0,0,2,0,0,12,18,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,60,0,0,0,0,0,0,0,0,6,0,0
MAR,0,0,0,0,0,2,4,0,8,8,0,0,42,4,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,2,72,28,4,10,4,0,0,0,0,0,0,0,2,0,4,58,0,0,8,0,18,0,6,0,132,0,2,4,0,0,764,0,0,54,0,6,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,2,4,0,12,0,0,4,82,0,0,16,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,2,0,30,0,0,0,18,10,0,2,0,4,0,0,0,0,0,0,2,0,0,0,2,4,0,0,4,0,0,0,0,0,0,0,16,2,8,0,0,2,0,106,2,0,2,2,0,0,0,0,8,0,0
MCO,0,0,0,0,0,0,0,0,2,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,52,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,16,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0,0,2,6,0,0,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,2,52,0,0,2,0,0,0,0,0,36,0,0,10,0,0,28,0,0,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,18,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,44,0,4,0,0,0,24,38,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,20,0,40,2,0,0,0,0,0,0,0,0,0,0
MDG,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,54,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,10,0,0
MEX,0,0,2,0,0,2,186,26,142,34,0,0,140,0,2,8,10,0,0,0,8,0,0,10,266,0,0,0,0,0,430,146,134,130,2,2,0,4,72,0,0,34,136,8,88,486,0,0,42,0,0,46,6,0,908,2,6,26,0,0,664,0,0,582,10,4,0,0,0,0,0,76,2,0,28,0,0,14,2,0,24,4,104,32,8,0,0,50,316,2,0,194,0,8,0,0,0,0,104,2,0,2,0,0,0,2,0,12,0,0,8,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,4,134,42,0,22,0,12,6,16,8,0,0,106,0,34,4,0,0,24,258,0,6,0,2,16,0,0,8,0,0,6,0,0,56,14,98,0,0,2,0,0,26,0,0,0,0,6,24,26,2,6,72,26,2730,2,0,88,2,0,0,0,0,52,0,0
MHL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
MKD,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,10,0,0,4,2,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,8,0,0,0,0,0,6,4,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,2,0,8,0,0,2,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,16,0,0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,22,0,0,0,0,0,0,0,2,2,0,0
MLI,0,0,0,0,0,0,0,0,0,2,0,0,6,4,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,2,2,4,4,2,2,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,2,0,0,0,42,0,4,8,0,6,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,2,0,0,52,0,0,0,0,0,0,0,0,8,0,0
MLT,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
