,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
LKA,0,4,0,0,0,0,2,5,76,0,123,79,0,0,86,4,1,12,76,3,0,0,76,3,0,0,88,1,4,1,4,0,34,84,4,135,2,6,4,0,0,83,0,0,1,0,0,0,80,76,106,0,0,11,0,0,2,85,0,86,82,8,85,2,85,0,0,183,80,7,0,0,0,0,0,83,0,0,0,1,0,0,76,0,78,11,121,81,85,2,4,3,91,1,7,65,0,6,0,1,0,1,108,0,3,4,0,0,2,0,0,0,76,2,0,3,0,1,0,2,83,0,0,1,0,4,0,0,0,0,0,1,0,79,1,3,0,4,0,0,25,15,7,0,98,4,93,6,4,17,0,3,78,0,80,0,3,74,3,81,3,51,0,0,28,0,1,0,0,0,78,0,0,0,2,0,30,0,1,2,0,0,97,0,0,0,0,1,1,82,0,88,1,6,77,3,173,3,0,0,0,0,9,1,0,0,0,17,2,1
LSO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,1,0
LTU,0,0,0,3,0,0,3,12,79,0,51,131,0,0,159,0,1,2,121,0,0,7,119,0,0,5,87,0,0,0,0,0,34,138,11,103,0,0,0,1,0,83,0,0,3,2,0,0,96,159,310,0,0,95,1,4,4,83,0,208,161,1,180,0,233,0,0,295,80,0,0,0,0,0,0,144,0,6,1,0,0,1,123,0,131,0,90,118,94,0,16,32,243,0,2,20,7,2,2,0,0,0,85,1,0,3,0,0,0,1,76,0,0,11,108,4,1,10,0,0,86,0,11,0,3,0,3,4,0,0,0,0,0,55,1,0,0,1,1,0,90,76,0,0,81,2,79,1,1,3,0,0,244,0,146,0,0,70,51,181,0,46,1,1,4,0,0,1,0,0,111,0,0,0,30,47,163,0,0,1,0,0,78,0,0,0,0,0,1,130,0,92,1,0,149,2,271,4,0,1,0,2,3,0,0,2,0,11,0,0
LUX,0,0,0,0,0,0,2,5,1,0,43,56,1,0,156,1,9,6,13,0,0,4,5,0,0,9,23,0,0,0,0,1,44,74,3,44,7,2,5,0,0,5,0,0,1,1,0,0,13,24,257,0,0,39,0,4,0,4,0,95,9,8,43,0,314,0,0,180,1,8,0,0,5,0,0,24,0,0,1,0,0,0,8,0,22,3,23,25,2,0,7,17,121,0,5,26,1,12,1,0,0,0,39,0,3,1,0,0,0,1,2,0,11,0,6,8,1,0,1,0,9,0,4,0,3,0,0,0,1,0,0,0,4,1,0,0,0,2,0,0,101,66,2,0,7,1,8,1,3,0,0,0,43,0,43,0,0,1,10,8,1,8,2,7,12,0,1,0,0,2,6,0,0,0,11,15,56,0,0,0,0,1,6,0,0,0,0,0,5,8,0,4,2,0,2,4,166,1,0,0,0,1,9,0,0,0,1,18,1,1
LVA,0,0,0,3,0,0,2,7,1,0,18,29,1,0,41,0,0,0,28,0,0,5,11,0,0,0,19,0,0,0,0,0,21,40,2,19,0,2,0,0,0,0,0,0,0,0,0,0,10,45,127,0,0,51,0,4,0,3,0,78,85,0,58,0,87,0,0,104,4,0,0,0,1,0,0,33,0,0,0,0,0,0,23,0,41,0,10,25,4,0,6,15,94,0,0,23,7,0,0,0,0,0,17,0,0,0,0,1,0,1,0,0,108,6,0,0,0,1,2,0,9,0,8,0,3,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,74,37,0,0,1,0,2,0,2,2,0,0,77,0,38,0,0,0,28,88,0,2,0,0,5,0,0,0,0,0,21,0,0,0,18,28,86,0,0,0,0,0,1,0,0,0,0,0,0,36,0,5,0,0,36,0,77,0,0,0,0,0,0,0,0,0,0,7,0,0
MAR,0,3,0,1,0,0,18,97,87,0,114,114,84,0,64,3,5,3,7,8,1,2,84,3,0,2,96,1,0,0,5,0,182,124,95,125,6,12,2,1,0,94,0,2,5,2,0,1,3,95,195,2,1,110,1,62,4,39,0,289,5,5,13,1,900,0,1,262,87,2,0,0,1,0,0,109,0,0,1,0,0,1,8,0,95,6,124,4,14,7,3,104,197,1,28,113,1,8,0,0,0,0,19,7,0,18,0,7,2,0,3,0,4,8,0,0,1,1,2,0,20,0,2,7,3,0,1,3,0,4,0,0,0,49,2,3,9,7,0,0,122,101,0,0,4,10,29,3,9,6,0,2,106,0,150,0,3,9,99,106,3,83,5,9,10,0,1,1,0,0,89,0,0,0,91,88,109,0,0,6,3,0,4,0,0,0,0,2,100,120,0,98,3,5,10,4,212,1,0,0,0,5,4,0,0,0,16,108,3,1
MCO,0,0,0,0,0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,11,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,18,0,0,2,0,1,0,0,0,11,0,0,3,0,69,0,0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,3,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,1,0,0
MDA,0,1,0,3,0,0,0,1,6,0,5,10,4,0,8,0,0,1,7,1,0,2,12,1,0,0,3,0,0,0,1,0,9,9,1,6,0,1,1,0,0,1,0,0,0,1,0,0,5,11,60,0,0,11,0,0,0,1,0,34,9,1,14,0,26,0,0,25,9,0,0,0,1,0,0,11,0,6,0,0,0,0,8,0,8,1,6,7,1,1,5,12,23,0,1,1,0,0,1,1,0,0,5,0,0,1,0,0,0,0,1,0,10,0,1,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,3,1,1,0,1,0,0,6,3,1,0,2,0,3,1,2,3,0,0,16,0,10,0,0,1,70,43,1,2,0,0,1,0,0,0,0,0,3,0,0,0,3,1,8,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,1,18,0,48,1,0,0,0,0,2,0,0,1,0,5,0,0
MDG,0,0,0,0,0,0,0,2,1,0,9,4,0,0,16,2,1,0,0,0,1,0,0,0,0,0,6,2,0,0,1,4,15,13,0,7,2,7,2,0,0,2,0,0,1,1,0,1,0,0,28,0,1,6,0,1,1,2,0,2,0,4,3,1,112,0,2,46,0,2,0,1,2,1,0,3,0,0,0,2,0,0,0,1,1,0,4,1,1,0,0,2,18,1,0,3,0,7,0,3,0,0,2,0,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,2,0,0,0,2,1,0,0,3,1,7,0,1,0,3,0,0,4,4,0,0,1,0,3,1,1,1,0,0,1,0,10,1,0,0,3,3,1,0,2,11,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,1,1,3,0,1,5,0,0,2,69,0,0,0,0,1,1,0,0,0,0,15,1,1
MDV,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0
MEX,0,6,1,1,0,0,16,308,111,0,296,183,2,0,262,5,3,15,120,5,2,1,84,5,1,17,665,5,1,1,9,0,512,303,255,383,6,9,3,0,0,421,0,2,69,159,0,1,81,226,682,0,2,142,4,6,77,137,0,1565,89,11,172,2,847,0,2,866,90,11,0,0,1,0,0,178,0,0,19,0,1,13,125,0,160,18,327,138,116,11,13,77,581,4,13,260,8,30,0,1,0,1,266,4,0,23,0,1,2,0,83,0,86,9,9,20,4,2,2,0,0,0,5,0,2,1,4,6,4,0,0,1,3,86,3,9,0,25,8,0,307,88,3,0,152,6,142,27,119,20,0,3,227,0,203,9,3,83,96,328,4,110,9,5,53,0,1,6,0,0,121,0,0,0,56,26,188,0,2,1,0,1,135,1,0,0,0,4,14,180,0,138,5,7,199,72,2908,7,0,1,0,116,18,0,0,0,2,149,7,5
MHL,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0
MKD,0,0,0,18,0,0,4,9,0,0,10,33,2,0,36,0,1,1,43,0,0,17,1,0,0,1,9,0,0,0,0,0,29,18,3,18,0,0,0,0,0,3,0,0,3,3,0,0,5,17,77,0,0,31,1,3,1,4,0,34,6,0,22,0,42,0,0,64,6,0,0,0,0,0,0,32,0,0,0,0,0,1,41,0,24,3,6,9,5,1,5,7,58,1,2,8,2,0,2,0,0,0,4,4,0,2,0,0,0,0,0,0,11,4,8,2,0,1,0,0,5,0,0,0,3,0,11,1,0,0,0,0,0,2,0,0,0,1,0,0,30,11,0,0,2,1,2,3,2,3,0,0,24,0,16,0,0,0,25,21,0,3,1,1,6,0,0,1,0,0,69,0,0,0,7,38,20,0,0,1,0,0,2,0,0,0,0,0,3,30,0,2,0,0,5,2,65,0,0,0,0,2,2,0,0,6,0,3,0,0
MLI,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,5,28,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,12,12,1,8,8,9,3,0,0,2,0,0,0,0,0,0,1,0,13,0,0,10,0,2,0,1,0,6,0,3,0,0,53,0,1,31,0,8,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,1,7,0,0,0,0,18,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,7,0,0,0,6,4,0,0,4,9,0,0,0,0,2,0,2,0,0,3,1,0,3,0,0,0,1,1,2,4,1,20,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,3,6,0,0,0,0,0,4,0,0,0,4,6,0,0,65,0,0,0,0,0,3,0,0,0,1,7,1,0
MLT,0,1,0,1,0,0,1,5,0,0,10,17,1,0,25,0,0,0,5,0,0,2,0,0,0,0,11,0,0,0,0,0,13,19,1,7,0,0,0,0,0,1,0,0,0,3,0,0,9,9,35,0,0,28,0,2,0,2,0,37,4,0,11,0,43,0,0,145,1,1,0,0,0,0,0,25,0,0,0,0,0,0,8,0,9,0,1,20,2,0,6,13,66,0,0,5,2,0,1,0,0,0,1,1,0,4,0,0,0,1,0,0,3,3,3,3,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,42,17,1,0,6,1,0,0,0,0,0,0,24,0,19,0,0,0,5,2,1,3,0,0,2,0,0,0,0,0,3,0,0,0,4,9,13,0,0,2,0,0,0,0,0,0,0,0,6,10,0,0,0,0,2,1,35,0,0,0,0,0,0,0,0,0,0,5,0,1
MMR,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,1,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,1,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,1,0,0,0,0,0,1,16,0,2,0,6,0,0,8,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,3,0,4,0,2,0,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,2,0,0,0,1,25,0,0,0,0,0,11,0,0,0,0,2,0,1
MNE,0,0,0,5,0,0,1,0,4,0,4,5,1,0,9,0,1,0,5,0,0,12,1,0,0,0,3,0,0,0,0,0,7,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,4,0,1,0,1,0,8,2,0,2,0,10,0,0,12,1,0,0,0,0,0,0,9,0,0,0,0,0,0,28,0,4,0,4,1,1,0,0,1,23,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,1,0,2,0,0,4,0,11,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0,0,7,0,4,0,0,0,9,15,0,0,0,0,1,0,0,0,0,0,84,0,0,0,5,14,2,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0
MNG,0,0,0,0,0,0,1,3,5,0,10,7,2,0,8,0,0,1,4,0,1,0,1,0,0,1,5,1,0,0,0,0,11,10,0,44,1,0,0,0,0,2,0,0,2,2,0,1,1,6,27,0,1,3,1,3,2,4,0,6,1,0,3,0,18,0,0,23,0,0,0,0,1,0,0,4,0,0,1,0,0,1,3,1,1,0,8,1,4,0,0,1,9,1,2,60,3,2,0,1,0,0,24,1,0,3,0,0,0,0,0,3,4,0,0,3,0,0,2,0,6,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,0,0,3,0,2,2,2,2,0,0,13,0,1,1,0,0,4,60,0,2,1,0,4,0,0,1,0,0,3,0,0,0,4,1,5,0,0,0,0,0,3,0,0,0,0,1,1,4,0,14,1,0,4,2,50,0,0,0,0,2,1,0,0,0,0,2,0,0
MOZ,0,0,1,0,0,0,1,1,0,0,14,2,0,0,12,2,5,2,0,0,0,0,0,0,0,1,23,0,0,0,3,0,6,11,1,1,2,6,2,0,0,4,0,0,0,0,0,0,0,2,12,0,0,1,0,0,2,1,0,42,0,2,3,0,12,0,5,32,0,6,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,1,7,1,0,0,0,1,16,0,0,2,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,1,9,0,2,1,2,14,0,0,15,11,0,0,1,0,1,0,0,0,0,2,1,0,33,0,0,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,2,83,0,0,0,0,2,1,0,0,0,0,27,10,3
MRT,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,0,0,0,0,7,4,0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,1,1,3,0,0,0,1,0,0,0,1,0,1,0,0,0,1,5,0,0,2,0,0,0,1,0,3,1,0,1,0,15,0,0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,0,1,1,1,0,6,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1,0,0,6,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,1,3,0,1,1,1,0,1,26,0,0,0,0,0,0,0,0,0,0,11,0,0
MWI,0,0,0,0,0,0,0,1,0,0,21,1,0,0,8,0,14,9,0,0,0,0,0,0,0,0,8,0,0,0,10,0,22,31,1,10,7,3,3,1,0,4,0,0,0,0,0,0,0,0,25,0,0,6,0,0,0,0,0,12,0,11,8,0,15,0,1,199,0,15,0,1,10,0,0,0,0,0,0,0,0,0,0,2,0,7,15,8,1,0,0,2,17,0,0,5,0,45,0,2,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,3,0,0,7,0,0,0,0,9,0,0,0,0,1,5,0,2,9,0,0,21,11,3,0,2,0,1,1,6,1,0,5,0,0,0,0,0,0,0,0,6,3,1,10,5,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,14,0,0,0,0,0,1,0,0,2,24,25,0,0,188,0,0,0,0,0,10,0,0,0,0,87,22,31
MYS,0,7,0,0,0,0,62,60,89,0,925,127,35,0,110,4,2,221,53,22,0,0,87,3,0,1,165,0,40,1,4,0,300,155,54,546,3,7,5,0,0,111,0,0,4,11,0,0,57,197,283,0,0,97,1,50,4,186,0,201,57,7,96,3,262,1,3,1135,90,15,0,2,0,1,0,113,0,0,1,1,1,1,56,0,115,337,709,106,871,304,8,102,204,1,54,681,15,10,0,20,0,0,286,23,11,13,0,47,2,0,79,0,55,1,2,49,1,3,7,0,86,0,2,0,1,12,0,1,0,1,0,3,1,0,2,4,1,134,0,0,171,72,12,0,193,62,451,8,13,95,1,8,143,1,130,0,5,96,100,125,3,648,44,2,330,4,1,1,0,0,128,0,0,0,40,49,116,1,0,12,1,0,260,0,0,0,0,1,10,176,0,258,5,9,72,6,855,27,0,0,0,5,63,0,0,0,68,108,8,8
NAM,0,1,2,0,0,0,0,1,14,0,21,18,0,1,3,2,1,1,1,1,0,0,1,1,0,0,3,0,0,0,5,1,10,12,0,4,2,2,2,2,0,1,0,0,0,0,0,0,0,18,51,0,0,5,0,0,0,2,0,8,1,2,3,0,20,0,1,40,1,6,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,2,8,15,2,1,1,3,10,0,1,6,0,7,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,5,2,0,2,0,7,0,0,13,11,0,0,1,1,1,1,1,1,0,1,19,0,3,0,1,1,2,2,1,1,1,1,4,0,2,0,0,0,1,0,0,0,2,0,23,0,0,1,0,0,4,0,0,0,0,0,1,2,0,2,7,2,0,1,58,0,0,0,0,0,1,0,0,0,0,77,5,8
NCL,0,3,0,0,0,0,0,2,0,0,56,1,0,0,7,2,0,2,0,3,0,0,0,3,0,1,11,0,0,0,3,0,7,3,3,6,2,4,2,0,3,6,0,0,0,0,0,0,2,1,15,0,0,4,0,0,0,3,0,5,3,3,5,6,109,3,0,24,3,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,4,5,1,3,2,5,3,17,0,3,10,0,4,0,0,2,0,4,0,0,3,0,0,2,0,3,0,0,0,0,3,1,1,1,2,9,2,0,0,0,0,0,0,1,0,0,1,0,4,2,0,0,3,0,2,7,3,0,1,22,2,3,2,4,5,2,5,5,0,4,0,2,5,0,3,3,5,0,0,5,2,1,0,0,0,2,0,0,0,2,1,4,0,0,1,0,0,2,0,0,0,2,0,2,3,2,7,0,3,1,2,51,0,0,0,0,0,5,8,4,0,0,9,2,0
NER,0,0,0,0,0,0,1,1,0,0,4,1,0,0,7,6,9,1,0,0,0,0,0,0,0,1,5,0,0,0,1,1,2,8,0,5,0,4,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,4,0,1,1,1,0,4,0,4,1,0,39,0,1,17,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,2,0,0,2,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,2,1,0,0,0,23,0,0,5,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,11,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,2,3,0,1,40,0,0,0,0,0,0,0,0,0,0,8,0,1
NGA,0,6,0,0,0,0,1,13,1,0,69,15,1,3,32,8,19,9,12,4,1,0,1,3,0,0,60,2,1,0,14,2,68,54,9,149,10,47,11,14,0,21,0,0,2,2,0,1,2,6,121,0,1,17,1,3,1,22,0,34,3,24,18,1,48,0,6,276,3,49,0,5,10,1,0,13,2,0,0,0,1,0,4,1,3,15,97,10,32,10,6,22,70,2,8,64,1,53,4,6,0,0,8,3,3,11,2,0,2,0,4,1,1,2,0,7,0,1,3,0,25,0,1,4,1,1,0,1,14,0,0,1,9,134,7,3,23,0,0,0,54,18,3,0,23,3,25,2,12,7,0,4,14,0,23,1,2,4,9,11,9,29,9,17,16,0,9,0,0,0,51,0,0,0,5,1,42,1,1,1,1,6,48,0,0,0,0,3,9,29,0,7,30,38,5,4,432,1,0,0,0,5,26,0,0,0,5,262,15,11
NIC,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,4,1,0,0,0,0,0,0,7,0,0,10,1,0,0,0,1,7,0,0,2,3,0,4,0,0,7,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0
NIU,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0
