,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BOL,0,4,2,0,4,4,0,6,114,2,0,64,28,0,0,54,6,0,2,10,6,0,0,2,2,2,0,0,178,2,2,2,0,2,56,64,108,34,14,14,4,0,0,126,0,0,40,18,0,0,2,16,100,0,0,20,14,2,78,14,0,128,14,8,20,4,0,116,2,0,4,146,6,6,0,0,4,0,0,6,0,0,22,10,14,18,4,0,14,14,30,6,10,2,2,12,60,2,6,30,2,24,2,2,0,0,18,4,0,2,4,2,0,0,6,0,8,2,6,0,4,0,0,0,0,102,0,4,0,6,0,0,2,2,0,0,2,0,20,0,4,0,8,12,2,46,24,4,0,30,6,8,46,136,8,0,0,22,0,20,28,8,0,0,14,22,0,10,6,6,22,0,0,0,2,12,0,0,10,0,0,6,6,6,110,0,0,0,6,0,2,2,16,0,0,0,2,2,4,12,2,16,8,10,8,42,246,2,0,0,58,0,10,2,4,2,0,22,6,2
BRA,0,8,36,2,28,6,0,466,2836,678,2,4612,1898,392,4,2346,66,0,26,152,608,24,2,50,516,10,8,178,0,48,20,6,40,4,5614,3174,2358,3866,42,96,44,4,0,2696,0,22,374,504,2,0,340,1712,7162,0,2,2080,68,176,800,682,4,7002,466,114,1616,14,2,6956,2,4,22,10904,552,104,2,8,32,12,0,1552,12,6,128,56,24,110,814,24,1346,342,2634,1236,890,54,106,1024,6100,40,120,2580,54,176,34,28,0,8,1568,72,10,154,14,18,0,8,268,2,546,78,506,0,320,76,28,28,2,2424,0,90,20,76,4,62,20,212,4,0,26,54,642,36,10,14,314,52,2,3738,1212,80,0,948,80,890,236,1210,278,2,10,2118,2,5362,166,86,0,364,1018,2346,22,706,46,90,634,0,0,2,6,38,2,2,772,0,4,32,688,612,2306,12,0,6,20,0,6,18,920,12,0,0,4,24,170,1364,2,1120,80,104,882,778,20988,70,22,2,390,0,358,2,8,12,6,1628,46,46
BRB,0,0,0,0,4,0,0,4,16,0,0,32,12,0,4,14,4,0,0,10,2,0,8,6,2,0,4,2,48,0,8,0,4,0,50,14,18,26,2,8,0,0,0,28,0,6,6,8,6,4,2,6,34,0,2,12,6,4,16,8,0,28,8,10,16,8,0,34,0,0,4,130,6,4,0,0,2,0,0,8,0,2,4,4,0,8,4,2,12,14,20,8,14,2,10,10,24,32,6,12,2,12,6,2,0,2,12,6,0,2,0,2,4,0,2,0,12,2,2,0,10,4,6,4,0,20,0,4,0,12,2,2,0,4,0,0,4,4,14,0,2,0,10,2,0,30,12,2,0,20,4,4,8,18,14,0,0,12,0,16,8,4,0,4,10,4,2,6,4,2,18,0,0,2,0,2,2,0,8,0,0,2,6,2,18,0,0,4,2,0,0,0,10,2,0,0,2,26,2,12,0,18,2,2,0,12,122,0,0,0,14,0,4,0,4,0,2,22,2,0
BRN,0,0,0,0,6,0,0,8,12,0,0,120,22,2,2,16,6,0,2,32,2,0,0,6,2,0,0,2,20,8,0,0,2,0,52,22,14,140,4,6,0,0,0,16,0,2,6,6,0,0,2,14,50,0,0,10,4,8,14,16,0,18,8,6,14,2,0,28,0,0,2,162,6,6,0,0,0,0,0,24,0,2,4,2,2,2,6,2,10,72,46,8,14,10,6,8,30,2,6,40,4,6,2,10,0,2,50,4,10,4,2,12,0,0,18,0,8,2,4,0,6,0,6,2,2,14,0,2,2,6,14,2,2,4,0,0,2,6,152,0,2,2,22,2,0,22,16,4,0,16,10,28,8,12,28,0,2,16,0,16,8,4,0,10,14,12,4,24,2,2,56,0,0,2,0,0,2,0,14,0,0,2,10,4,22,0,0,2,0,0,0,0,30,2,0,0,2,0,6,12,0,34,10,6,0,8,68,2,0,0,8,0,22,0,0,0,6,20,2,0
BTN,0,6,0,0,0,0,0,2,4,0,0,58,6,0,0,4,6,0,6,14,0,0,0,0,0,0,0,2,6,0,0,0,0,0,6,26,4,18,4,4,0,0,0,2,4,0,8,0,0,0,0,2,12,0,0,2,0,0,4,0,0,8,0,4,2,0,0,10,0,0,0,36,4,4,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,8,62,4,2,0,2,0,10,0,0,24,6,8,0,12,0,0,8,0,2,4,4,0,0,0,10,0,0,2,0,0,2,0,0,4,0,4,0,0,2,0,16,0,8,2,0,0,0,2,12,0,0,0,4,2,0,12,6,36,0,10,2,14,4,0,8,0,0,2,2,4,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,8,6,0,4,0,0,2,4,32,0,0,6,0,6,0,0,0,2,8,4,2,2,56,0,0,0,2,0,14,0,0,0,0,12,2,0
BWA,0,0,2,2,6,0,0,14,18,0,0,90,20,4,2,24,8,0,0,10,6,4,0,4,2,0,2,0,40,4,2,0,0,0,76,60,30,48,8,36,12,8,0,20,0,0,4,0,0,0,2,12,46,0,0,22,4,4,6,22,0,34,6,82,20,4,0,70,0,4,2,332,2,36,0,2,8,0,0,14,0,0,4,2,0,2,12,12,6,18,80,14,16,14,6,10,36,4,14,28,4,96,6,8,0,2,12,4,4,2,2,2,0,2,10,8,8,4,2,0,12,2,2,4,0,26,0,4,18,4,2,0,2,14,0,0,4,34,36,52,2,4,56,4,0,38,30,16,0,20,2,28,8,18,10,0,2,34,0,20,10,4,0,8,18,22,12,30,6,6,18,0,0,0,0,2,2,0,18,2,0,0,8,8,56,10,0,4,0,0,4,2,30,0,0,0,0,2,4,18,0,16,48,54,10,2,480,0,0,0,2,0,22,0,0,4,2,440,34,82
CAF,0,2,2,0,0,0,0,0,0,0,0,6,6,0,0,16,8,0,8,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,2,6,0,6,12,20,10,12,0,0,0,0,0,0,0,0,0,12,12,0,0,4,0,0,0,2,2,4,0,2,2,0,0,44,0,0,10,28,0,4,0,4,4,4,0,2,0,0,2,2,2,0,0,0,0,4,2,4,2,2,0,0,2,0,2,2,0,4,0,4,0,0,0,0,4,0,6,0,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,8,0,2,0,0,4,2,0,0,4,2,0,0,6,6,0,0,4,0,4,0,4,0,4,2,2,2,0,2,2,0,4,2,0,0,0,0,2,6,0,4,8,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,2,8,4,0,0,0,0,0,4,0,0,0,4,6,2,0,22,0,0,0,0,0,0,2,0,0,2,4,0,4
CAN,4,10,18,2,30,8,0,1192,1518,276,6,12344,2996,246,8,4452,84,2,80,442,362,36,34,60,288,10,6,56,5614,50,52,6,76,2,0,6842,1712,22906,64,160,82,24,0,1076,0,8,168,118,18,8,174,1936,14532,0,8,3896,52,356,228,1636,4,7552,400,272,2164,52,20,13308,6,6,24,24320,342,230,12,22,34,6,0,1678,32,72,74,18,12,18,514,36,1252,266,3698,1902,3702,146,358,2808,8912,52,352,5930,80,442,40,50,4,18,3038,224,28,402,16,56,2,8,184,4,274,246,156,0,564,80,62,50,4,1910,0,104,32,112,28,16,54,68,0,0,10,152,898,58,38,10,436,24,2,8272,2774,144,0,2122,176,1000,192,318,340,2,14,2710,2,1948,82,128,0,526,920,2446,84,2072,42,90,2004,0,0,12,14,18,6,6,626,0,0,6,526,646,4990,14,2,12,32,0,10,30,782,14,0,0,8,44,398,1644,2,1924,192,310,332,178,58648,12,8,0,150,4,472,32,6,16,26,2422,112,84
CHE,2,14,16,0,64,14,0,504,1004,758,0,6160,5800,396,12,5944,68,0,128,172,824,18,8,92,564,6,8,64,3174,14,22,26,60,6,6842,0,1096,5982,146,152,126,84,0,960,4,6,102,220,0,0,504,2828,23374,0,0,4036,16,192,370,628,10,8730,788,230,2716,24,4,14466,0,2,34,21310,628,180,6,52,68,4,6,3092,6,10,42,24,8,42,1050,16,2012,348,2626,1924,1008,38,308,2054,13358,32,102,4064,66,454,72,92,2,26,2098,58,52,202,22,8,0,132,254,20,822,302,610,0,362,96,56,64,4,1172,0,126,66,170,48,68,42,122,6,0,22,152,582,44,22,40,312,4,0,9224,2722,142,0,1180,48,708,76,454,334,0,32,3628,6,2700,50,82,0,412,1572,3030,54,778,40,100,1230,0,0,4,30,4,10,4,1094,6,2,14,1004,1018,5310,28,0,20,16,0,30,32,1080,28,0,12,2,18,154,1782,0,1284,338,214,1024,94,25758,76,2,0,90,4,360,2,0,12,12,2106,94,100
CHL,0,4,14,0,24,4,0,322,1540,252,0,1900,632,220,2,658,20,0,20,68,180,6,2,32,220,8,2,108,2358,18,14,4,30,0,1712,1096,0,1520,18,36,14,4,2,1244,0,8,242,124,0,0,30,538,3004,0,0,800,22,56,376,146,0,4544,118,34,390,12,8,2646,2,0,2,4276,256,28,4,0,18,2,0,512,2,4,82,10,8,20,130,6,430,78,778,244,356,20,52,584,2026,20,32,1030,32,50,20,8,0,8,444,20,4,40,8,8,0,0,50,0,100,26,66,0,276,10,12,12,0,1326,0,56,2,30,6,10,8,24,0,0,6,16,166,20,6,4,68,28,2,1276,466,32,0,386,38,138,86,554,84,2,0,730,0,848,162,74,0,46,366,700,10,228,20,22,192,0,0,2,4,26,2,0,400,0,0,8,308,304,900,0,0,6,12,0,12,4,156,16,0,0,4,8,46,530,2,506,16,24,116,308,6180,6,62,0,236,0,94,2,8,6,2,808,16,18
CHN,0,26,8,2,44,4,0,1406,978,734,0,32122,3382,434,32,4546,52,0,26,736,660,58,12,52,710,4,6,34,3866,26,140,18,48,6,22906,5982,1520,0,42,176,62,20,2,1120,12,14,96,270,4,4,398,2636,21394,4,0,5380,30,524,456,3020,24,7282,700,410,3688,28,8,13948,4,4,16,39890,654,654,2,26,34,10,4,2334,10,12,50,6,12,42,924,4,1870,862,7262,2428,2994,434,238,2446,9046,34,274,19312,508,486,76,116,0,14,11454,258,58,180,10,48,2,8,462,4,696,264,488,0,402,68,50,28,0,1902,0,104,40,76,250,68,272,48,6,0,84,90,3054,34,26,14,816,10,2,8476,3184,398,2,3514,200,8632,104,400,770,2,12,3486,146,2528,40,118,0,1040,1522,6272,68,5282,366,48,13468,0,2,2,36,8,2,2,1014,6,4,4,908,944,7488,16,2,4,72,0,14,32,2526,64,0,0,4,10,342,2586,2,10126,242,102,1242,140,131972,226,6,2,110,0,1834,4,10,6,108,2686,72,62
CIV,0,2,6,0,6,2,0,2,10,0,0,42,22,0,4,100,88,0,130,12,8,2,0,2,0,0,0,14,42,2,4,4,8,12,64,146,18,42,0,106,62,24,0,18,0,2,8,4,0,0,2,20,158,0,0,30,6,12,14,12,2,28,6,36,12,2,0,416,0,0,34,188,4,82,0,44,24,4,0,18,0,2,6,14,10,6,6,6,14,22,36,8,12,4,4,8,44,4,4,28,8,94,2,12,0,0,12,2,10,6,16,0,0,0,8,6,8,4,6,0,38,0,4,30,0,20,0,4,74,6,4,2,2,32,16,0,20,22,14,6,4,46,66,4,0,58,10,18,0,20,2,16,18,28,20,0,6,14,0,12,4,2,0,0,24,24,26,6,8,112,12,0,0,2,16,4,0,0,8,4,0,8,20,6,26,2,0,6,0,0,16,80,28,4,0,0,2,2,12,26,0,6,58,56,6,4,232,0,0,0,8,0,30,2,0,2,4,66,16,12
CMR,0,4,0,0,8,0,0,30,46,4,0,108,48,0,16,250,116,0,96,24,16,4,0,8,12,0,2,14,96,8,6,4,36,20,160,152,36,176,106,0,82,62,0,46,0,2,20,8,0,0,8,36,352,0,0,34,4,18,22,66,2,92,16,66,32,8,0,634,2,0,50,480,18,128,0,30,38,2,2,36,0,2,10,4,6,4,22,6,24,48,152,26,78,16,6,28,218,8,28,96,8,158,10,14,4,2,40,14,2,14,18,6,0,2,18,4,12,4,6,0,48,2,8,26,0,60,0,6,70,10,10,8,6,36,12,0,6,32,52,12,6,36,184,8,2,112,22,38,0,44,6,82,32,28,38,0,4,40,0,46,12,10,0,12,48,58,18,44,22,98,40,0,0,2,18,6,2,2,28,2,0,4,10,4,56,4,0,2,12,0,12,48,22,8,0,0,4,2,42,100,2,36,82,70,16,16,578,0,0,0,8,0,58,4,6,2,4,350,28,24
COD,0,2,12,2,4,2,0,20,26,2,0,58,30,2,16,360,58,0,54,18,16,0,0,2,4,2,0,4,44,0,0,0,12,10,82,126,14,62,62,82,0,40,0,26,0,0,8,4,0,0,10,24,108,0,0,24,4,10,10,30,2,38,2,48,24,2,0,192,2,0,28,240,10,50,0,30,18,2,0,20,0,0,18,0,0,6,18,6,14,24,44,20,22,4,2,22,50,6,10,50,2,82,6,10,0,0,38,4,10,4,8,2,0,0,8,4,16,6,8,0,16,0,4,24,0,32,0,8,38,10,8,4,2,38,22,0,4,32,10,10,0,30,68,6,2,74,30,14,0,20,4,42,10,24,14,0,6,26,0,36,12,6,0,2,18,24,14,16,10,58,22,0,0,0,4,6,0,2,18,4,0,0,8,10,42,2,0,0,10,0,10,26,22,0,0,0,2,10,20,16,2,14,58,82,20,4,376,0,0,0,10,4,36,4,2,2,4,130,40,20
COG,0,4,4,0,2,0,0,2,2,2,0,24,10,0,2,58,36,0,56,4,0,0,0,2,0,0,2,0,4,0,0,0,8,12,24,84,4,20,24,62,40,0,0,2,0,0,2,0,0,0,2,6,94,0,0,26,0,0,0,12,0,16,0,14,8,0,0,108,0,0,26,170,0,34,0,24,24,2,0,4,0,0,0,0,0,0,0,0,2,8,24,2,2,0,2,0,42,0,2,8,0,36,0,6,0,0,4,2,4,2,6,0,0,2,2,0,0,2,0,0,8,2,0,8,0,6,0,0,14,0,2,0,2,18,14,0,2,12,4,8,2,28,34,0,0,26,10,2,0,2,6,4,2,2,12,0,0,2,0,16,0,0,0,2,2,2,14,2,12,26,8,0,0,0,16,0,0,0,2,4,2,0,0,0,12,2,0,4,0,0,10,24,8,0,0,0,0,0,0,6,0,2,20,30,2,2,178,0,0,0,0,4,22,0,0,0,0,48,16,42
COK,0,0,0,0,0,0,0,0,2,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,4,0,10,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,16,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0
COL,4,2,4,2,16,4,0,322,1188,482,0,1170,708,220,2,706,32,0,10,76,420,12,4,34,484,6,2,126,2696,28,16,2,20,0,1076,960,1244,1120,18,46,26,2,0,0,0,2,236,120,0,2,284,680,1666,0,0,552,50,122,714,386,0,3152,338,82,514,16,0,1702,2,4,8,2524,526,54,0,0,16,2,0,668,8,2,78,24,14,112,360,4,600,86,684,490,542,44,40,430,1392,28,52,534,28,94,28,12,0,2,504,42,2,64,10,6,0,4,214,0,334,18,304,0,266,2,18,10,0,1814,0,56,6,50,2,50,6,28,0,0,8,20,424,8,10,4,122,54,2,990,456,42,0,490,40,406,200,526,226,2,2,890,0,870,102,74,0,272,488,838,10,410,22,28,178,0,0,2,0,28,4,0,580,0,0,10,306,304,604,4,0,6,16,0,6,16,328,4,0,2,4,4,52,668,2,602,34,46,438,194,4400,62,2,0,386,0,222,2,8,4,8,536,20,26
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,4,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,4,0,0,0,0,4,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4,2,0
CPV,0,0,8,0,2,0,0,2,6,0,0,4,6,0,0,8,2,0,0,4,2,0,0,2,0,0,0,0,22,6,2,0,0,0,8,6,8,14,2,2,0,0,0,2,0,0,2,2,0,0,2,4,8,0,0,2,2,2,4,4,0,26,2,2,4,2,0,10,0,0,0,18,4,2,0,0,0,4,0,2,0,2,0,0,0,0,2,0,4,2,6,2,4,0,2,2,10,2,2,4,4,2,4,0,0,0,2,2,0,2,0,0,0,0,0,0,4,2,2,0,2,0,2,0,0,6,0,2,0,6,2,2,0,12,0,0,2,2,2,2,0,0,2,0,0,6,2,2,0,4,0,4,2,4,2,0,0,6,0,52,2,2,0,0,4,2,0,2,0,6,2,0,0,2,0,0,0,0,2,0,4,0,2,2,4,0,0,2,2,0,0,0,2,2,0,0,2,0,2,8,0,2,2,2,0,2,20,0,0,0,2,0,4,0,0,0,2,8,0,0
CRI,0,2,2,0,10,4,0,16,196,8,0,160,72,0,0,70,14,0,12,14,14,4,12,10,4,6,2,40,374,6,6,8,4,0,168,102,242,96,8,20,8,2,0,236,4,2,0,36,0,0,10,24,286,0,0,60,26,14,120,22,0,340,26,20,50,6,0,194,2,0,2,326,20,12,0,0,6,0,0,44,0,2,46,6,4,34,16,0,26,24,74,26,36,2,12,32,140,6,18,70,10,42,8,0,0,0,48,8,4,18,8,0,0,2,16,0,12,6,12,0,14,2,2,8,0,356,0,8,2,18,4,4,12,12,0,0,4,4,36,0,6,0,24,34,2,138,46,14,0,74,6,28,110,146,18,0,2,36,0,64,24,8,0,6,28,46,0,38,4,10,30,0,0,2,0,28,0,0,30,0,0,4,22,26,84,6,0,10,2,0,2,6,22,2,0,6,4,12,8,42,2,32,16,26,8,76,780,0,0,0,80,0,38,2,2,4,2,76,2,4
CUB,0,0,6,0,2,0,0,4,118,158,0,56,186,154,0,162,4,0,0,4,8,0,4,8,2,0,2,18,504,8,6,0,0,0,118,220,124,270,4,8,4,0,0,120,0,2,36,0,0,2,4,178,318,0,0,180,36,10,152,20,0,378,6,2,180,4,0,316,0,0,0,316,10,4,0,2,0,2,0,184,0,2,16,0,2,6,168,4,176,176,202,18,12,0,6,18,296,6,10,220,4,6,2,0,0,0,182,4,0,2,0,0,0,0,2,0,16,10,2,0,2,4,6,2,0,588,0,2,0,2,2,2,0,4,0,0,2,2,18,0,4,0,8,10,0,230,180,2,0,18,0,178,26,224,18,4,0,194,0,48,24,2,0,8,188,212,0,14,0,4,16,0,0,2,0,16,0,0,16,0,0,2,176,8,218,0,0,4,0,0,0,2,166,2,0,0,2,0,8,186,0,24,2,6,158,48,482,0,0,0,68,0,18,0,0,0,2,196,0,0
CUW,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,10,0,2,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,6,22,0,0,2,0,0,0,0,0,12,4,0,4,0,0,10,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,22,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,6,0,4,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,56,0,0,0,2,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,8,0,0,4,0,0,0,0,0,2,0,0,0,2,2,0,0,0,4,0,0,0,4,2,0,0,0,4,0,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0
CYP,0,2,0,0,22,4,0,36,38,260,0,426,460,12,0,496,6,0,8,22,336,0,0,38,268,0,4,2,340,2,2,0,2,0,174,504,30,398,2,8,10,2,0,284,0,2,10,4,0,0,0,420,816,0,0,204,2,28,248,304,0,754,344,12,424,4,0,708,2,0,2,1446,276,4,0,0,4,0,0,1538,0,2,0,0,0,0,388,0,370,12,352,400,344,16,54,178,914,4,26,126,24,6,10,0,0,0,302,18,0,62,0,8,0,4,168,0,340,38,296,0,18,6,28,0,0,282,0,50,0,74,2,72,8,10,0,0,2,4,264,0,2,0,38,2,2,304,174,8,0,290,12,318,6,20,8,0,0,482,0,502,10,18,0,252,170,390,0,264,12,6,54,4,0,2,0,2,4,0,350,0,0,0,82,110,254,4,0,2,10,0,2,4,262,8,0,0,4,4,22,690,2,284,4,6,300,8,956,58,0,0,16,2,24,2,2,8,4,82,2,4
CZE,0,4,2,0,42,8,0,292,610,672,0,1818,2934,382,2,2236,14,0,12,44,756,6,0,108,554,6,2,16,1712,6,14,2,12,12,1936,2828,538,2636,20,36,24,6,0,680,0,4,24,178,6,0,420,0,6426,0,0,1672,10,74,316,468,4,3738,650,48,1634,2,2,4484,0,0,8,6212,572,34,0,4,6,0,0,1658,0,4,22,10,4,6,1066,2,1970,212,1558,1014,754,40,186,978,4582,6,30,1844,94,36,28,6,0,0,1316,56,0,100,4,10,0,12,194,0,750,114,606,0,252,6,48,12,0,808,0,128,0,114,4,70,14,14,0,0,18,10,592,10,6,0,62,2,0,2650,1320,26,0,582,30,622,56,256,70,0,34,3862,0,1686,26,72,0,288,1182,2962,8,456,12,18,298,0,0,2,2,2,8,4,978,0,0,4,3020,1026,2384,2,0,2,12,0,2,6,598,10,4,0,2,2,90,1514,0,926,22,18,1134,78,6212,94,2,0,74,4,204,0,2,14,8,838,6,6
DEU,0,16,38,2,92,14,0,842,2332,866,0,13810,15412,466,4,11462,110,0,174,344,1382,40,22,210,776,6,18,100,7162,34,50,12,46,12,14532,23374,3004,21394,158,352,108,94,2,1666,4,8,286,318,22,4,816,6426,0,4,0,9334,20,394,598,2500,8,19454,1372,428,5904,40,10,27408,6,6,142,45054,812,402,10,48,60,10,0,5410,20,38,78,18,14,48,1950,6,4342,850,5840,3656,2774,196,668,5214,24804,26,436,10956,260,628,110,52,0,8,5126,172,28,348,34,22,0,76,338,0,1298,1006,942,0,596,124,230,126,2,2556,2,240,58,288,32,112,230,98,8,0,30,72,1128,116,38,30,500,18,2,22110,5872,224,0,2490,188,1768,226,564,438,6,24,8942,14,5046,74,160,0,692,2864,10714,82,2150,108,142,2550,4,4,2,28,14,8,0,1782,4,0,6,1668,1888,12646,30,0,12,54,0,10,54,1390,46,2,8,4,28,488,3858,2,2686,380,244,2262,248,60270,154,20,2,202,8,1058,12,6,66,38,3546,100,64
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,50,0,0,4,0,0,0,4,0,0,0,2,0,0
