,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
CHN,0,0,0,0,0,28,2,680,116,0,0,122,0,0,0,62,0,0,0,12,0,0,0,118,0,0,0,2,0,746,240,24,0,2,2,0,0,10,0,0,0,58,28,1254,0,0,130,0,2,12,8,0,212,2,0,124,2,642,0,0,1340,2,4,0,0,0,0,62,0,0,4,0,0,40,0,8,0,96,10,188,18,6,0,4,88,440,0,10,1982,8,4,2,0,0,380,0,0,4,0,0,0,0,8,2,0,0,6,8,0,0,0,0,54,0,0,0,2,0,8,0,0,2,2,146,2,0,0,8,0,324,66,2,80,2,12,2,2,22,0,2,62,2,46,0,0,0,68,288,0,6,2,2,410,0,0,0,0,0,0,0,18,6,288,0,0,0,0,0,52,0,0,0,2,2,14,376,0,0,30,0,4190,10,0,4,10,0,0,0,8,36,2,10
CIV,0,0,0,0,0,0,0,0,0,0,0,16,4,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18,0,2,0,4,0,2,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,2,0,0,0,0,98,0,0,12,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,4,0,0
CMR,0,0,0,0,0,0,0,4,10,0,0,12,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,10,2,0,4,0,2,4,0,6,2,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,2,0,0,118,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,8,2,0,6,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,12,0,4,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,30,0,0,0,0,0,0,0,0,0,0,4
COD,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,6,0,6,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,8,0,2
COG,0,0,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,6,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,62,0,14,8,0,0,14,0,0,2,0,0,0,0,0,0,0,6,96,2,0,0,0,0,20,18,14,10,0,0,0,0,0,0,6,14,0,0,58,0,0,2,0,2,14,0,0,80,0,0,4,2,112,0,0,66,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,8,4,40,4,0,0,0,14,34,0,0,32,0,4,0,0,0,50,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,82,0,2,0,0,0,0,0,0,2,0,2,0,0,0,6,4,6,0,0,2,0,0,4,16,2,0,0,38,0,10,0,0,0,0,46,0,0,0,0,4,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,342,0,0,18,0,0,0,0,0,4,0,2
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,4,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,16,6,2,0,0,0,0,0,6,0,0,0,0,0,28,0,0,4,2,0,0,0,0,12,0,0,6,0,30,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,2,4,4,0,0,0,0,4,6,0,0,10,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,0,0,2,0,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,4,0,0,0,0,0,2,2,2,0,0,0,132,0,0,2,0,0,0,0,0,2,0,2
CUB,0,0,0,0,0,12,0,2,10,0,0,22,0,0,0,2,0,0,0,0,0,0,2,82,0,0,0,0,0,18,8,16,0,0,0,0,0,14,0,0,0,0,6,48,0,0,0,0,0,2,0,0,186,0,0,0,0,34,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,2,0,2,0,0,0,46,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,2,2,62,0,0,18,0,0,0,0,2,0,0,0
CYP,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,2,0,0,0,0,0,10,66,0,58,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,56,0,0,54,0,68,0,0,28,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,54,0,54,0,0,0,0,8,74,0,6,4,0,0,0,0,0,54,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,54,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
CZE,0,0,0,0,0,28,4,42,258,2,0,208,0,0,0,36,0,0,0,16,0,0,0,88,0,0,0,0,0,170,254,4,28,0,0,0,0,0,0,0,6,0,0,1042,0,0,126,2,0,0,12,0,216,12,0,126,0,638,0,0,504,8,0,0,0,0,0,102,0,0,0,0,0,2,0,16,0,68,0,32,16,2,0,6,54,356,0,2,244,0,2,0,0,0,10,8,0,0,0,0,0,0,0,0,14,0,10,2,0,2,0,0,46,0,6,0,0,0,4,0,0,0,0,6,0,0,0,2,0,208,114,0,8,0,0,4,0,0,0,2,248,0,82,0,0,0,38,394,0,6,0,0,2,0,0,0,0,0,2,0,386,74,210,0,0,0,0,0,4,0,2,0,0,0,10,2,2,0,94,0,824,2,0,2,4,0,0,0,14,12,2,0
DEU,2,8,0,0,12,346,116,1240,2436,6,0,1648,8,4,26,478,6,0,0,268,0,0,4,666,0,0,0,12,2,1990,4100,224,1254,18,12,8,4,58,2,28,48,72,1042,0,0,0,1336,0,32,6,176,0,2104,132,8,1028,0,5698,0,34,6940,54,16,2,2,0,0,684,0,0,4,4,2,2,2,268,2,982,52,806,266,30,2,42,1248,3944,4,50,2556,10,28,4,0,0,362,18,0,8,0,2,0,6,8,0,122,34,146,46,8,34,10,0,302,2,24,0,2,2,10,2,0,0,6,34,10,0,2,64,0,3204,586,6,218,10,68,22,12,18,0,4,1816,0,494,2,0,2,432,4410,0,34,8,8,82,0,0,0,0,0,0,0,446,198,1956,0,0,24,0,4,58,2,4,0,2,12,236,214,14,28,680,12,15958,40,2,44,64,0,2,2,80,454,4,14
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
DNK,0,2,0,0,0,38,8,290,238,2,0,366,2,0,2,26,0,0,0,2,0,0,2,108,2,0,0,0,2,378,392,30,130,2,0,2,2,2,0,4,0,0,126,1336,0,0,0,0,6,2,22,0,456,48,4,442,0,792,0,0,1692,6,34,2,16,24,0,184,0,14,0,0,0,0,0,22,0,68,4,48,72,2,0,66,106,696,0,0,286,0,16,0,0,0,32,6,0,2,0,0,0,0,2,0,32,6,18,4,2,4,0,0,32,0,0,0,0,0,0,0,0,2,2,8,2,0,0,6,0,718,550,2,66,0,0,0,10,22,0,0,258,0,160,0,0,0,10,388,0,4,20,18,22,0,0,0,0,0,0,0,82,74,1270,0,0,0,0,0,24,0,0,2,0,2,36,6,16,8,28,6,2338,2,0,0,6,0,0,2,4,32,0,4
DOM,0,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,2,0,0,0,0,0,0,0
DZA,0,0,0,0,0,2,0,4,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,2,0,0,0,0,2,0,0,0,0,0,32,0,0,6,0,0,0,0,0,18,0,0,0,0,432,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,2,0,28,0,2,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,0,4,0,8,0,0,0,4,8,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,10,0,0,2,2,2,0,14,0,0,2,0,0,0,0,0,0,2,0
ECU,0,0,0,0,0,14,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,16,0,0,0,0,0,2,2,6,12,0,0,0,0,14,0,0,2,0,0,6,0,0,2,0,0,0,0,0,6,0,0,0,0,28,0,0,14,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,10,0,0,0,0,0,6,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,68,0,0,4,2,0,0,0,0,0,0,0
EGY,0,0,0,0,32,2,0,20,38,0,0,28,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,2,0,70,18,4,8,0,4,0,0,0,0,0,0,0,12,176,0,0,22,2,0,0,0,0,14,0,4,10,0,30,0,0,158,0,6,0,2,0,0,4,0,0,0,0,0,0,0,0,0,36,6,18,4,0,2,2,12,54,2,6,90,0,8,0,0,0,8,44,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,24,4,0,0,0,2,0,0,8,0,0,6,0,0,0,0,14,0,6,0,74,0,2,14,0,0,0,0,0,0,0,0,2,28,0,0,4,0,0,4,0,0,0,0,6,6,0,6,4,2,0,448,0,0,0,0,0,0,6,0,0,2,2
ERI,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
ESP,2,6,2,0,6,476,32,238,370,0,0,668,0,0,0,152,0,0,0,10,0,0,12,410,0,0,0,0,0,534,716,222,212,2,0,0,0,80,0,12,186,56,216,2104,0,0,456,0,18,6,14,0,0,24,4,348,0,2752,0,2,2772,6,0,0,0,0,4,260,0,0,2,0,0,0,4,26,0,172,0,126,122,2,4,12,166,1938,0,0,328,0,4,0,0,0,132,6,0,8,0,0,0,0,0,2,14,8,8,66,6,26,0,0,458,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0,0,902,226,0,26,0,2,4,26,12,0,2,336,0,524,6,0,0,136,630,0,18,0,0,14,0,0,0,0,0,0,0,112,86,574,0,0,0,0,0,12,0,0,0,0,10,54,74,22,0,84,60,3916,6,0,66,2,0,0,2,18,64,0,0
EST,0,0,0,0,0,4,0,16,10,0,0,12,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,16,8,0,2,0,0,0,0,0,0,0,0,0,12,132,0,0,48,0,0,0,0,0,24,0,0,164,0,50,0,0,68,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,8,0,4,4,0,0,0,6,36,0,0,12,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,4,6,168,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,76,0,0,2,0,0,0,0,0,0,0,2
ETH,0,0,0,0,0,0,0,6,4,0,0,12,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,10,2,0,0,2,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,4,2,4,0,0,0,0,16,0,0,20,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,0,0,0,4,6,2,0,8,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,12,18,0,0,0,0,0,2,12,0,10,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2,0,0,0,0,2,0,0,2,6,0,0,62,0,0,0,0,0,0,2,0,8,2,6
FIN,0,0,0,0,2,20,0,168,182,0,6,256,0,0,4,78,0,0,0,14,2,0,0,88,0,0,0,0,0,284,404,14,124,0,0,0,0,4,0,6,0,54,126,1028,0,0,442,2,0,0,10,0,348,164,0,0,0,622,0,0,1012,0,0,0,0,0,0,120,0,0,0,0,0,0,0,14,0,216,0,82,58,0,0,40,76,528,0,2,302,0,2,0,0,0,62,6,0,2,0,0,0,0,0,0,44,8,32,2,4,8,0,0,18,0,0,0,2,0,0,0,0,2,0,6,0,0,0,2,4,520,422,2,26,0,4,2,2,8,0,0,284,0,108,0,0,0,80,546,0,6,0,8,6,0,0,0,0,0,0,0,102,80,1220,0,0,4,0,0,10,0,0,0,0,2,42,54,10,2,68,2,1912,4,0,4,0,0,0,0,10,16,6,6
FJI,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
FRA,2,4,0,4,12,378,62,824,784,0,12,2436,20,52,4,248,4,0,2,56,0,2,52,958,2,4,0,2,24,1998,2718,254,642,98,118,10,12,112,2,30,34,68,638,5698,4,0,792,0,432,28,30,0,2752,50,16,622,0,0,0,32,5586,18,4,10,10,0,0,660,0,0,6,40,4,2,4,82,2,572,40,490,212,28,2,26,652,4166,6,14,1534,0,28,0,8,0,282,0,2,64,0,4,0,0,8,0,60,40,30,870,28,20,32,0,466,0,6,12,2,4,2,2,8,10,2,28,2,74,14,16,0,1974,518,10,138,10,12,0,20,16,0,2,1200,0,638,6,0,0,410,2154,10,36,6,128,50,0,0,0,0,0,0,0,252,162,1286,0,0,14,4,14,42,0,0,0,2,426,148,122,4,4,268,44,9570,16,2,136,64,2,0,6,58,200,0,22
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,2,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,0,0,0,32,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,0,10,0,0,0,0,0,0,0,0,2,2,0
GBR,0,8,0,4,54,264,10,2742,888,6,0,1796,10,10,86,134,14,2,2,64,0,0,38,832,2,2,0,14,4,3012,2452,198,1340,12,32,4,6,66,0,14,16,28,504,6940,0,0,1692,0,28,14,158,0,2772,68,20,1012,4,5586,0,18,14748,22,78,2,76,2,0,938,2,2,12,0,4,6,4,66,0,548,52,604,1028,122,6,98,762,4408,60,54,2380,4,212,2,2,0,338,46,2,28,0,10,0,2,58,2,54,18,26,34,8,12,14,0,354,2,22,8,24,0,2,6,0,18,60,230,2,0,6,104,4,3510,890,32,644,56,140,10,28,40,0,14,1080,0,818,0,0,4,136,1656,0,86,44,50,272,2,2,0,0,0,0,0,294,202,2318,0,0,14,2,2,204,2,0,0,30,26,410,210,78,66,216,24,15406,20,2,96,38,0,0,8,64,542,30,72
GEO,0,0,0,0,0,0,6,2,6,6,0,6,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,4,14,0,2,0,0,0,0,0,0,0,0,0,8,54,0,0,6,0,0,0,0,0,6,0,0,0,0,18,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,0,8,30,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,10,0,44,2,0,0,0,0,0,0,0,4,0,0
GHA,0,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,4,4,0,0,0,0,0,0,0,0,0,16,0,0,34,0,0,2,6,0,0,0,2,0,0,4,0,0,78,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,2,0,0,0,4,0,0,14,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,0,2,0,0,0,10,0,0,10,0,0,76,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,4,0,0
