,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
CHE,2,2,2,0,0,16,98,58,0,874,1144,8,0,1242,14,28,26,108,0,2,2,48,0,0,12,314,0,0,0,8,4,1322,0,118,444,38,22,6,10,0,42,0,0,12,8,34,458,6746,0,0,646,4,14,10,38,0,1364,32,10,516,6,4168,0,2,4008,34,28,2,0,0,0,390,0,2,0,2,0,2,110,2,290,8,358,180,58,0,28,416,2908,0,0,934,6,58,2,8,0,346,8,8,24,0,0,0,18,22,0,26,40,20,26,2,12,0,108,0,2,12,6,2,0,6,10,0,0,0,10,30,2,10,4,36,0,1702,362,14,138,14,26,10,32,30,0,10,714,0,344,0,0,2,108,1008,0,30,8,14,62,4,0,0,46,0,118,200,936,0,12,2,16,2,74,4,0,2,26,154,270,110,24,96,6,7110,4,0,34,48,0,2,2,190,6,16
CHL,0,0,0,0,0,0,318,4,0,142,24,0,0,112,0,2,4,14,0,0,0,2,0,2,6,268,2,0,0,2,0,194,118,0,28,0,0,0,0,0,56,0,0,18,26,0,10,466,0,0,58,8,0,32,0,0,632,4,0,48,0,504,0,0,378,0,2,0,0,0,0,20,0,0,4,0,0,0,4,0,4,4,36,14,2,0,10,68,218,0,0,72,0,0,0,0,0,48,2,0,2,0,0,0,0,2,0,4,0,0,6,0,0,0,148,0,0,0,2,0,0,0,0,0,0,0,2,2,4,2,0,4,6,132,14,0,36,0,0,2,54,4,0,0,62,0,56,4,0,0,0,84,0,0,0,0,2,0,0,0,6,0,14,6,80,0,0,0,0,0,10,0,0,0,4,6,18,0,2,12,58,1336,0,0,44,2,2,0,0,26,0,0
CHN,0,0,2,0,0,12,102,18,0,2162,282,0,0,466,0,4,16,60,0,0,0,22,0,0,4,302,0,2,0,6,0,2362,444,28,0,0,10,4,0,0,74,2,0,4,6,24,210,2882,0,0,260,2,8,60,66,0,452,12,2,226,6,1810,0,0,3626,14,8,0,0,0,0,106,0,0,2,2,0,0,66,0,140,40,576,192,52,2,16,262,754,0,8,4900,2,14,2,6,2,1398,8,10,4,0,2,0,2,18,0,10,2,2,6,0,4,0,162,0,0,0,2,6,0,22,2,0,0,2,0,388,6,4,0,14,0,772,256,14,228,10,44,4,14,84,0,6,300,18,142,0,0,4,50,754,0,24,4,0,1622,4,0,0,48,0,42,132,808,0,0,2,0,0,218,0,0,2,16,72,984,14,10,40,2,12736,4,0,8,72,0,2,0,158,2,0
CIV,0,2,0,0,0,0,0,0,0,0,4,0,0,8,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,38,0,0,0,2,2,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,6,0,0,0,0,132,0,0,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,10,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,38,0,0,0,4,0,0,0,2,2,4
CMR,0,0,0,0,0,0,0,0,0,10,4,2,0,20,14,10,0,0,0,0,0,0,0,0,0,8,0,0,0,14,6,6,22,0,10,2,0,8,4,0,4,0,0,0,0,0,0,44,0,0,10,0,0,0,0,0,6,0,6,0,0,250,0,6,96,0,10,0,0,0,0,2,0,0,2,0,0,4,2,0,2,2,8,0,0,0,0,0,20,0,0,10,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,2,24,0,20,2,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,22,0,2,0,0,0,2,0,0,0,2,0,0,0,4,0,0,138,0,0,0,0,0,0,0,22,2,10
COD,0,2,0,0,0,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,6,0,4,2,8,0,6,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,4,0,0,0,0,12,0,2,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,8,0,0
COG,0,2,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,10,0,0,6,4,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,40,0,6,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,2,0,0
COK,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,138,0,0,22,24,0,0,20,0,0,2,2,0,0,0,2,2,0,8,184,0,0,0,0,0,100,42,56,74,0,4,0,0,0,0,0,0,26,34,0,64,166,0,0,14,4,2,86,0,0,270,0,4,2,2,164,0,0,228,0,0,0,0,0,0,4,0,0,6,0,2,2,6,0,6,0,78,56,0,0,0,10,30,0,0,28,0,12,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,86,10,0,2,0,2,22,14,4,0,0,16,0,8,0,0,0,0,66,0,0,0,0,0,0,0,2,2,0,0,0,78,0,0,0,0,0,4,0,0,0,4,4,4,0,4,6,20,526,0,0,52,4,0,0,0,6,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,26,0,0,16,4,0,0,10,0,0,0,0,0,0,0,0,4,0,2,56,0,0,0,0,0,38,12,18,4,0,0,0,0,0,26,0,0,0,14,0,0,44,0,0,12,0,2,2,0,0,44,0,0,8,0,46,0,0,50,0,0,0,0,0,0,0,0,0,10,0,2,10,2,0,0,6,2,0,0,0,0,18,24,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,26,2,0,2,0,0,22,12,0,0,0,6,0,2,2,0,0,0,2,0,0,0,2,2,0,0,2,2,4,0,0,14,0,0,0,0,0,2,0,0,0,0,2,6,0,0,2,0,274,0,0,20,2,0,0,0,2,0,0
CUB,0,0,0,0,0,0,34,0,0,2,14,0,0,52,0,0,0,0,0,0,0,0,2,0,12,106,2,0,0,0,0,28,8,26,6,0,0,0,0,0,34,0,0,14,0,0,2,106,0,0,4,0,0,2,0,0,270,2,0,4,0,44,0,0,86,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,6,4,0,0,0,4,64,0,0,12,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,4,0,0,0,2,4,10,0,0,0,12,0,8,0,0,0,0,6,0,2,0,0,2,0,0,2,2,0,0,2,6,0,0,0,0,0,10,0,0,0,0,6,4,0,0,2,4,84,0,0,16,0,0,0,0,4,0,0
CYP,0,0,0,0,0,2,0,2,0,20,2,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,0,24,0,0,0,0,0,0,0,0,0,0,0,8,56,0,0,6,0,0,0,0,0,54,2,0,0,0,68,0,0,118,0,0,0,0,0,0,142,0,0,0,0,0,0,2,0,20,0,22,28,0,0,0,14,60,0,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,32,6,0,6,0,0,0,0,0,0,0,16,0,2,0,0,0,20,36,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,6,0,0,0,2,8,20,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0
CZE,0,0,4,0,0,6,78,56,0,188,420,0,0,408,0,4,0,70,0,0,6,14,0,0,0,158,0,0,0,2,0,356,458,10,210,0,0,0,0,0,64,0,0,0,2,8,0,1564,0,0,150,0,2,60,20,0,406,16,0,196,0,1070,0,0,1050,16,0,0,0,0,0,180,0,0,0,0,0,0,70,0,220,6,170,144,6,2,14,136,662,0,12,348,2,0,0,0,0,104,6,0,6,0,0,0,0,2,0,28,10,10,12,2,4,2,128,0,2,0,6,0,0,2,0,0,0,0,2,6,34,4,0,2,0,432,146,0,24,0,2,6,4,4,0,6,602,0,146,0,0,2,102,620,0,4,0,2,14,0,0,0,66,0,556,124,328,0,0,0,0,0,0,0,0,0,6,42,10,0,2,88,2,1400,4,0,0,0,0,0,0,82,2,4
DEU,0,2,20,0,14,34,570,150,0,2486,4442,28,0,2892,6,30,34,630,2,0,34,280,0,4,28,1424,2,0,2,14,2,3970,6746,466,2882,22,44,8,4,0,166,0,0,44,106,56,1564,0,0,0,2004,2,48,84,376,0,4326,148,52,1554,0,9282,0,88,12088,84,62,2,8,0,0,1098,0,6,12,0,4,0,370,0,1474,100,1564,708,222,10,70,1564,6804,4,80,3548,44,84,18,2,0,856,18,4,22,0,4,0,12,28,0,194,94,118,64,10,82,8,492,0,16,8,10,8,0,24,6,6,0,2,12,74,40,2,4,68,0,6098,1148,6,466,16,92,16,58,50,0,8,2934,2,878,4,2,18,604,5260,2,44,18,12,312,2,0,2,264,0,492,378,3288,0,2,46,2,4,182,10,0,12,46,610,490,46,24,892,32,23560,86,0,70,70,0,0,8,550,0,6
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
DNK,0,0,2,0,2,18,56,4,0,542,360,0,0,590,2,10,10,38,0,0,0,4,0,0,6,136,0,0,2,2,0,642,646,58,260,0,10,2,0,0,14,0,0,12,4,6,150,2004,0,0,0,0,2,4,12,0,784,48,8,558,0,1164,0,2,2578,4,50,0,2,38,0,192,0,32,0,0,0,0,24,0,122,6,128,162,26,0,168,252,1038,0,2,394,0,36,0,0,0,66,4,4,4,0,0,0,2,16,0,50,22,48,8,2,4,6,42,0,2,2,4,0,0,0,2,0,0,0,0,14,6,0,0,6,4,1048,1018,8,134,0,2,4,10,20,0,0,366,0,194,0,0,0,36,296,0,8,12,8,38,0,0,0,38,0,60,44,1870,0,0,4,0,0,42,0,0,0,10,64,16,98,26,54,8,3274,0,0,4,24,0,0,2,100,8,24
DOM,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,4,8,2,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,44,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,8,2,0,0,2,6,0,0,34,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,14,0,8,0,0,0,0,0,2,0,0,2,0,0,2,48,0,0,2,0,0,0,8,0,42,0,0,2,0,704,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,8,0,2,0,0,0,46,0,0,10,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,4,0,6,0,0,0,10,8,0,32,0,0,2,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,36,0,0,0,0,0,0,0,4,0,0
ECU,0,0,0,0,0,0,72,0,0,6,4,0,0,20,0,0,0,2,0,0,0,0,0,0,12,76,0,0,0,0,0,64,10,32,60,0,0,0,0,0,86,0,0,2,2,0,60,84,0,0,4,0,0,0,0,2,16,0,0,0,0,92,0,0,90,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,64,54,0,0,0,8,16,0,0,4,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,2,0,0,0,0,2,28,0,0,0,0,0,0,2,0,0,0,62,2,0,0,2,0,0,0,0,0,0,0,0,66,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,8,200,0,0,8,0,0,0,0,4,0,0
EGY,0,0,2,0,0,52,2,0,0,20,42,0,0,54,2,2,2,6,6,0,0,0,0,0,0,8,0,0,0,0,0,130,38,0,66,0,0,0,0,0,0,0,0,0,0,0,20,376,0,0,12,0,8,0,0,0,56,0,6,20,0,90,0,0,196,4,14,0,0,0,0,6,0,0,2,0,0,0,4,0,18,26,30,12,2,4,0,30,86,0,6,214,0,4,0,0,0,38,40,0,18,0,4,0,0,0,0,2,0,2,4,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,4,0,62,8,2,8,10,4,0,4,2,0,0,36,0,8,0,0,16,2,16,0,196,10,0,4,0,0,0,4,0,6,2,40,0,0,8,0,0,12,0,0,0,6,30,26,2,4,2,0,614,4,0,2,8,0,0,18,8,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2
ESP,0,6,4,6,2,6,944,16,0,670,748,6,2,1380,0,2,6,162,2,0,2,30,2,0,38,666,0,0,0,4,4,1428,1364,632,452,6,6,4,4,0,270,0,0,44,270,54,406,4326,0,0,784,2,42,16,56,2,0,44,0,564,0,4698,0,4,5346,34,0,2,2,0,0,538,0,0,16,0,2,10,90,0,376,22,296,308,44,8,50,424,3978,10,10,868,22,10,2,0,2,244,6,0,6,0,4,0,0,2,0,40,26,26,164,6,30,2,928,0,0,0,18,2,0,2,16,0,0,2,0,26,2,4,0,12,8,1848,560,4,138,2,6,28,50,22,0,0,760,0,1204,4,2,2,220,920,2,12,0,6,68,0,0,8,68,0,106,106,1032,0,0,6,0,0,44,0,0,0,56,120,166,14,6,170,112,7168,8,0,246,4,0,0,0,170,4,4
EST,0,0,0,0,0,0,6,0,0,16,30,0,0,26,0,2,0,8,0,0,2,2,0,0,0,10,0,0,0,2,0,44,32,4,12,0,0,0,0,0,0,0,0,0,2,2,16,148,0,0,48,0,0,0,0,0,44,0,0,202,0,78,0,0,118,2,0,0,0,0,0,4,0,0,0,0,0,0,8,0,22,2,12,10,4,0,20,10,88,0,0,32,0,0,0,0,0,2,2,0,2,0,0,0,0,4,0,32,0,28,2,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,40,70,0,10,0,0,0,2,2,0,0,38,0,14,0,0,0,0,64,0,0,0,0,2,0,0,0,4,0,10,18,246,0,0,0,0,0,2,0,0,0,0,14,4,0,2,4,0,122,0,0,4,4,0,0,0,8,0,0
ETH,0,0,0,0,0,0,2,0,0,12,16,0,0,22,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,10,0,2,0,6,0,0,0,4,0,0,0,0,0,0,52,0,0,8,0,0,0,6,0,0,0,0,0,0,28,0,0,66,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,12,0,2,12,0,32,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,32,16,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,6,0,6,0,0,0,0,0,0,0,54,0,0,2,0,0,4,0,0,0,0,0,0,6,6,0,0,86,0,0,0,2,0,0,0,40,2,4
FIN,0,0,2,0,2,8,38,4,0,322,298,0,0,390,0,0,4,46,0,0,2,28,0,0,0,110,0,0,0,0,0,576,516,48,226,0,0,0,0,0,2,0,0,8,4,0,196,1554,0,0,558,6,2,0,20,0,564,202,0,0,0,858,0,0,1838,12,0,0,0,0,0,164,0,2,0,0,0,0,18,0,244,6,70,124,8,0,82,132,794,2,4,458,2,2,0,0,0,114,14,0,0,0,0,0,0,0,0,92,18,44,2,2,10,0,34,0,0,0,4,0,0,2,0,0,0,4,10,4,2,0,0,4,4,768,580,0,52,2,4,0,10,4,0,0,284,0,192,0,0,4,36,650,0,4,4,0,42,0,0,0,20,0,50,66,1590,0,0,0,0,0,34,0,0,4,8,64,66,6,6,54,6,2374,2,4,0,2,0,0,0,50,2,0
FJI,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,2,4,0,0,0,0
FRA,0,6,4,0,4,36,524,140,0,1620,1322,10,2,3810,70,96,24,310,6,0,8,80,0,0,28,1538,2,2,0,20,18,3686,4168,504,1810,132,250,12,40,2,164,0,0,46,44,68,1070,9282,4,2,1164,0,704,92,90,4,4698,78,28,858,4,0,0,74,9330,38,26,10,10,2,0,942,0,0,4,60,8,2,156,4,778,58,856,544,208,0,60,1092,6736,4,12,2476,14,54,12,32,4,524,26,24,220,2,12,2,2,8,0,104,88,46,848,78,28,50,736,0,24,64,12,8,4,0,4,18,0,4,16,56,44,120,32,24,4,3524,912,14,292,16,22,4,54,44,0,4,1850,0,998,6,2,6,676,2762,2,36,12,288,162,2,2,2,108,4,266,178,2010,0,2,42,36,16,180,0,0,6,920,308,316,20,16,388,54,14232,50,2,186,148,16,2,4,420,4,20
FSM,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0
GAB,0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,6,2,6,0,0,0,0,0,0,0,0,88,0,0,2,0,0,0,0,0,4,0,0,0,0,74,0,0,36,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,36,0,0,0,0,0,0,0,6,0,0
GBR,6,4,10,2,16,96,468,102,6,5228,1640,12,4,3240,18,36,140,272,22,2,18,92,4,6,24,1524,30,6,2,32,0,5942,4008,378,3626,12,96,10,4,0,228,2,0,50,86,118,1050,12088,0,0,2578,0,16,90,196,4,5346,118,66,1838,14,9330,0,36,20980,32,122,6,138,10,4,1582,4,0,20,4,2,8,204,6,974,66,1312,2080,462,8,180,980,7482,54,108,3528,68,408,6,30,0,990,96,24,64,0,20,2,2,106,0,124,38,52,36,26,10,34,626,0,4,18,64,10,0,14,12,4,6,30,110,242,46,10,0,180,8,6124,1994,50,1426,80,200,36,86,60,0,8,1658,0,1340,4,2,20,312,2560,2,130,38,36,570,4,6,4,140,0,276,274,3856,8,4,20,0,2,524,0,0,36,42,678,590,278,154,328,32,25070,18,0,144,114,0,2,10,1032,32,64
