,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
MHL,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
MKD,0,0,3,0,0,0,0,0,0,3,2,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,15,0,0,0,0,0,3,0,0,2,0,8,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,3,0,3,1,1,0,0,1,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,13,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,2,0,15,0,0,0,0,0,1,0,0,0,0,1,0,0
MLI,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,16,0,1,3,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,1,0,34,0,2,13,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,11,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,8,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,59,0,0,0,0,0,1,0,0,0,0,5,1,1
MLT,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,4,0,0,0,0,0,7,0,0,1,0,6,0,0,31,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,1,4,0,0,1,3,9,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
MMR,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,1,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,1
MNE,0,0,0,0,0,0,0,8,0,1,1,0,0,8,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,21,0,0,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
MNG,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,31,2,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,1
MOZ,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,16,0,1,0,0,11,0,1,17,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,5,4,0,14,0,0,0,0,0,1,0,0,0,0,10,1,4
MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MUS,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0
MWI,0,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,7,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,2,0,8,0,0,60,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,15,6,0,0,62,0,0,0,0,0,0,0,0,0,0,11,6,10
MYS,0,0,0,0,0,11,5,1,0,88,14,0,0,7,0,0,13,4,1,0,0,1,0,0,0,7,0,2,0,0,0,30,11,2,160,0,2,1,0,0,3,0,0,0,0,0,0,3,40,0,0,8,0,2,2,8,0,20,0,1,3,0,26,0,0,208,0,3,0,0,1,0,0,5,0,0,1,0,0,0,1,0,7,45,156,8,27,0,0,2,15,0,1,123,0,2,1,2,0,0,29,4,1,2,0,1,0,0,7,0,1,0,1,0,0,0,5,0,7,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,22,4,2,18,3,15,1,1,26,0,0,5,0,3,0,0,1,16,8,0,7,4,0,94,0,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,78,0,0,0,1,0,9,0,25,1,1,2,0,150,5,0,0,0,1,12,0,0,4,0,5,0,0
NAM,0,6,0,0,0,0,1,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,22,0,0,1,0,0,0,1,0,4,0,0,0,0,18,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,0,0,0,52,1,3
NCL,0,0,0,0,0,0,0,0,0,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,5,0,0,0,2,67,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,1,0,0
NER,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,1
NGA,0,0,0,0,0,2,4,0,0,11,2,0,0,7,9,1,1,0,0,0,0,0,0,0,0,5,0,0,0,6,0,17,12,3,13,0,15,0,3,0,5,0,0,4,0,0,0,1,43,0,0,4,0,0,0,5,0,4,0,1,1,0,16,0,1,82,0,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,14,4,0,0,0,4,24,0,1,12,0,7,0,0,0,0,6,2,0,0,0,0,0,0,1,1,0,4,0,1,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1,2,0,0,5,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,5,0,0,0,0,0,1,0,5,6,7,0,0,133,0,0,0,0,1,3,0,0,0,0,46,2,5
NIC,0,0,0,0,0,1,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,3,2,2,0,0,0,0,0,0,4,0,0,9,3,0,0,0,2,0,0,2,2,0,3,0,0,5,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,3,1,0,0,0,0,0,0,0
NLD,0,1,0,0,32,32,97,12,1,586,423,2,2,1726,10,11,13,58,3,0,5,13,2,0,11,244,0,0,2,3,1,990,1049,83,486,4,14,5,3,0,45,0,0,18,9,0,9,282,3646,0,0,648,1,3,30,34,7,1211,24,17,435,1,1998,0,4,3741,3,27,0,1,10,1,0,329,2,1,2,1,0,1,54,0,180,79,191,233,41,0,22,261,1660,4,1,499,3,44,2,2,0,0,140,4,3,9,0,1,0,1,8,1,35,29,11,7,2,4,5,0,123,0,12,1,7,2,1,4,4,1,0,0,12,22,1,0,2,11,8,0,484,11,129,2,9,3,8,23,0,2,380,0,283,0,0,1,89,516,2,13,5,2,67,0,0,2,0,0,41,0,3,93,79,853,1,0,4,0,2,71,1,1,1,2,5,128,0,39,49,12,80,4,4571,4,0,0,0,14,42,0,0,1,0,197,4,19
NOR,1,2,1,0,0,6,14,1,0,161,143,0,0,182,4,0,5,19,0,0,4,5,0,0,0,56,0,0,0,9,0,386,216,16,158,0,2,2,0,0,4,0,0,5,3,0,2,72,726,0,0,591,0,2,0,0,0,338,27,18,329,1,565,0,0,1120,0,0,0,0,1,1,0,117,0,2,3,0,0,0,20,0,42,3,31,63,10,0,66,82,438,0,1,142,1,3,0,2,0,0,32,2,0,3,0,0,0,0,2,0,17,15,5,2,2,0,0,0,14,0,1,8,3,0,0,2,7,0,0,0,4,4,2,0,0,0,0,484,0,1,47,2,2,0,2,2,0,0,132,0,82,0,0,2,22,247,0,3,4,0,16,0,0,1,0,0,12,0,0,26,40,814,0,1,0,0,0,11,0,0,0,0,0,41,0,24,27,18,21,0,1288,3,0,0,0,1,1,0,0,0,0,59,6,5
NPL,0,0,0,0,0,0,1,0,0,6,3,0,0,9,0,0,8,0,0,0,0,0,0,0,0,3,0,0,4,0,0,8,6,0,10,0,0,1,0,0,0,0,0,0,0,0,0,2,15,0,0,2,0,0,0,1,0,2,0,0,1,0,5,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,20,1,0,0,0,0,9,0,0,44,1,2,2,0,0,0,10,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,11,1,0,7,0,2,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,1,1,0,0,0,0,0,1,0,0,0,0,57,1,0,0,0,0,1,0,0,0,0,3,0,0
NZL,0,0,0,0,0,6,19,0,0,750,41,0,0,79,0,0,6,2,0,0,0,0,0,0,0,42,0,1,0,1,0,289,86,9,177,0,1,0,0,1,2,0,0,1,0,0,1,21,301,0,0,61,0,1,0,11,0,78,2,5,29,11,198,0,0,772,0,0,0,0,0,0,0,14,0,0,0,0,0,1,5,0,12,5,22,54,8,0,3,36,119,1,2,119,0,4,0,0,0,1,43,0,0,0,0,0,0,0,2,0,3,1,0,2,1,0,0,1,19,0,3,1,1,1,1,1,0,0,0,1,0,18,0,7,0,1,0,129,47,7,0,5,0,2,3,3,1,5,40,0,11,0,0,1,7,30,0,2,0,0,58,2,0,0,0,0,13,0,0,11,3,88,0,0,2,0,0,39,0,0,1,1,1,8,0,26,1,1,2,1,994,0,0,0,0,0,1,1,0,0,0,33,0,0
OMN,0,0,0,0,0,16,0,0,0,6,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,10,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,4,0,4,0,3,0,0,1,0,7,0,0,48,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,1,1,0,1,0,2,0,6,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,5,0,0,0,0,1,0,0,1,0,2,0,0,2,0,2,0,7,3,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,7,0,0
PAK,2,0,0,0,0,5,1,1,0,17,10,1,0,6,0,0,14,5,0,0,0,0,0,0,1,5,0,0,1,0,0,61,35,2,67,0,8,1,0,0,2,0,0,0,0,0,0,1,79,0,0,1,0,1,0,5,0,11,2,3,4,0,27,0,1,135,3,2,0,0,1,0,0,6,0,0,2,0,0,0,0,0,2,5,30,0,6,0,0,0,31,0,9,34,4,1,2,0,0,0,45,5,0,2,0,0,0,0,3,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,9,2,2,0,0,0,0,2,5,0,2,3,0,7,0,1,0,6,12,0,24,2,0,13,0,0,0,0,0,1,0,0,1,0,20,0,0,4,0,0,9,5,1,0,0,3,9,0,3,1,1,2,1,175,4,0,0,0,2,5,0,0,0,0,11,2,0
PAN,0,0,0,0,0,0,7,0,0,10,3,0,0,5,0,0,0,1,0,0,0,0,0,0,4,20,0,0,0,0,0,10,10,6,5,0,0,0,0,0,7,0,0,11,1,0,0,3,24,0,0,4,5,0,4,0,0,11,0,0,2,0,5,0,1,27,0,1,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,1,1,0,0,0,2,4,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,2,0,0,0,8,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,125,0,0,0,0,11,1,0,0,0,0,1,0,0
PER,0,0,0,0,0,0,30,0,0,10,4,0,0,18,1,0,1,0,0,1,0,0,1,0,9,47,0,0,0,0,0,33,20,21,10,0,1,0,0,0,19,0,0,3,6,0,0,4,32,0,0,4,1,2,12,3,1,41,2,0,6,0,29,0,0,45,0,1,0,0,0,0,0,2,0,0,1,1,0,5,0,0,1,2,11,1,1,0,0,1,11,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,28,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,8,2,1,3,0,2,8,0,4,0,0,0,0,1,5,0,0,0,6,1,0,1,0,3,0,0,2,0,0,0,0,0,2,0,9,0,0,0,0,0,4,0,0,0,1,0,1,0,1,2,2,0,6,272,0,0,0,0,9,4,0,0,0,0,6,0,0
PHL,0,0,0,0,0,1,5,0,0,46,6,0,0,4,0,0,7,1,0,0,0,0,0,0,0,8,0,0,0,0,0,26,16,1,60,0,3,0,0,0,2,0,0,1,0,0,0,0,20,0,0,4,0,1,1,1,0,6,1,1,2,1,25,1,0,42,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,1,2,27,30,1,1,0,0,2,9,0,0,111,0,1,1,7,0,0,24,0,5,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,9,0,0,1,0,2,0,0,0,0,0,1,1,26,0,1,0,0,0,23,2,2,3,1,5,0,4,0,0,0,3,0,1,0,0,0,2,5,0,1,0,0,22,0,0,0,0,0,0,0,0,0,1,4,0,2,1,0,0,31,0,0,1,0,1,5,0,24,0,0,1,0,157,0,0,0,0,1,20,0,0,0,0,10,0,1
PLW,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0
PNG,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,1,0,0,0,1,0,0
POL,0,0,0,0,0,2,42,37,0,220,297,0,0,375,1,0,3,114,0,0,1,83,0,0,1,94,0,0,0,1,0,414,391,34,148,0,2,0,0,0,4,0,0,4,1,0,5,393,1664,0,0,201,0,7,1,17,1,487,18,0,197,0,1102,0,0,1042,14,0,0,0,0,0,0,192,1,3,2,0,0,0,47,0,179,3,127,73,15,0,1,96,744,1,2,397,4,0,0,0,0,0,142,2,0,1,0,1,0,0,1,0,56,13,17,4,2,28,1,0,63,0,3,0,2,0,10,1,0,0,0,0,0,5,0,2,0,0,0,380,132,1,40,1,3,1,0,3,0,0,0,0,154,0,0,1,116,560,0,4,0,1,39,0,0,0,0,0,31,0,0,168,108,399,0,0,0,0,0,11,0,2,0,0,8,54,0,93,0,0,352,0,1904,1,0,0,0,6,3,0,0,1,0,64,0,1
PRK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
