,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BMU,0,0,0,0,0,0,0,0,2,0,0,10,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,22,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,2,0,0,2,0,0,16,0,0,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,4,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,0,2,0,6,4,0,0,6,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,80,0,0,0,2,0,0,0,0,0,0,0,0,0
BOL,0,2,2,0,2,0,0,4,154,4,0,60,16,6,2,42,8,0,4,16,4,0,0,0,0,2,2,0,0,210,0,4,0,6,2,52,66,116,44,8,14,8,6,0,148,0,0,32,12,0,0,0,18,74,0,2,16,20,4,82,6,2,128,2,8,10,2,0,108,0,0,8,158,8,18,0,0,2,0,0,4,0,0,28,6,8,20,2,4,8,18,42,0,6,14,8,0,2,72,6,4,36,2,24,4,4,0,0,14,0,2,6,2,4,2,0,8,0,2,4,2,0,6,0,0,4,0,98,0,2,4,0,4,0,2,4,2,0,0,4,10,0,0,2,10,14,42,20,20,0,20,0,22,48,128,8,0,2,18,0,22,36,0,0,0,10,6,8,12,2,2,10,0,0,0,0,12,0,0,2,0,0,4,6,6,96,0,0,0,0,0,2,2,12,0,0,2,0,2,2,16,0,10,8,4,4,38,272,2,0,0,56,0,10,0,0,0,2,28,2,4
BRA,6,6,34,12,18,0,0,490,2868,452,8,4960,1724,278,6,2278,52,0,38,178,608,40,12,30,2,388,14,8,210,0,14,28,0,42,2,6186,3128,2550,3910,26,128,30,22,2,2854,0,12,338,416,0,0,278,1348,7406,0,2,1812,92,200,798,698,4,7188,356,134,1340,8,6,6796,4,20,12,10992,442,146,10,4,26,0,0,1198,12,4,128,44,18,126,534,30,932,336,2678,0,1076,1162,106,66,886,6298,34,160,2672,50,278,54,26,2,26,1272,110,14,174,8,34,8,6,254,2,342,108,242,0,324,58,18,44,2,2476,0,50,20,42,32,138,16,218,6,0,26,66,654,22,20,6,380,46,3390,1292,108,0,960,100,856,266,1260,336,4,28,1942,2,5694,240,186,0,328,796,1996,46,748,64,76,596,2,0,2,8,32,0,4,588,0,6,20,416,430,2508,2,2,6,14,2,4,8,784,0,0,4,2,22,224,1282,0,864,118,114,588,736,23082,56,36,2,374,0,406,0,8,18,26,1630,46,70
BRB,0,0,0,0,2,0,0,2,18,0,0,18,4,0,2,4,4,0,0,6,2,0,4,2,0,2,0,0,0,14,0,2,0,2,0,48,10,14,22,0,0,0,0,0,18,0,2,8,10,0,2,2,6,14,0,2,2,8,2,14,10,0,12,4,2,8,6,0,22,0,0,0,104,0,12,0,0,0,0,0,4,0,0,4,0,0,0,4,4,2,6,30,0,4,2,0,2,8,10,28,4,4,2,4,2,2,0,0,4,4,0,2,0,0,2,0,0,0,4,2,2,0,2,0,0,2,0,10,0,0,0,2,2,0,0,2,0,0,2,4,16,0,0,0,8,2,10,6,2,0,6,0,4,4,8,2,0,0,8,0,4,2,2,0,4,4,2,4,6,0,0,6,0,0,2,0,0,0,0,2,0,0,0,2,0,4,0,0,2,0,0,0,0,2,0,0,0,0,22,2,6,0,8,2,4,0,14,104,0,0,0,6,0,4,0,0,0,2,6,0,0
BRN,0,0,0,4,2,0,0,26,12,0,0,110,24,0,0,14,6,0,0,26,8,4,0,4,0,6,4,0,4,28,2,0,0,4,0,44,26,10,136,4,8,4,0,0,18,0,2,6,2,0,0,6,16,46,0,0,8,2,6,10,26,0,24,6,4,12,0,0,36,0,4,4,190,8,12,0,0,0,0,0,18,0,0,0,4,2,2,8,0,16,138,60,0,8,42,4,6,10,34,4,20,52,10,8,6,8,0,0,76,8,4,4,2,6,0,0,24,0,2,6,2,0,4,0,0,2,0,18,0,0,0,2,8,0,4,6,0,0,2,2,240,0,0,0,20,0,30,24,18,0,14,12,64,8,10,44,0,0,28,0,20,2,6,0,14,12,16,4,28,0,2,68,0,0,2,2,0,0,0,8,0,0,2,8,2,16,0,0,2,0,0,0,0,52,0,0,0,0,0,6,18,0,48,10,8,10,2,88,4,0,0,6,0,32,0,0,0,10,24,4,0
BTN,0,0,0,0,0,0,0,2,0,0,0,116,4,0,0,2,8,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,22,2,12,0,0,0,0,0,0,6,0,4,0,0,0,0,0,22,0,0,0,2,0,0,4,0,6,0,2,6,0,0,14,0,2,0,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,64,0,0,4,0,0,2,10,0,0,46,2,12,0,2,0,0,14,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,8,4,0,0,0,2,4,0,0,0,0,0,14,4,28,0,12,0,18,0,0,6,0,2,0,0,2,0,2,0,0,2,4,2,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,4,0,0,0,4,46,0,0,8,0,8,0,4,0,4,6,8,0,0,72,0,0,0,0,0,8,0,0,0,0,12,0,2
BWA,0,2,4,10,8,0,0,20,34,2,0,112,16,12,4,34,20,0,4,24,16,14,2,2,0,4,0,0,6,42,2,4,2,0,6,100,52,12,64,12,86,6,2,0,26,0,0,10,6,0,0,10,18,104,0,0,36,2,10,6,38,0,30,18,84,30,0,0,54,0,16,4,324,10,56,0,0,6,0,0,22,0,0,6,0,0,2,20,10,12,26,90,0,26,34,30,12,20,42,2,22,34,20,100,22,6,0,0,26,16,2,8,2,6,0,0,18,8,6,8,6,0,6,0,2,4,0,34,0,6,6,2,2,0,2,18,2,0,4,40,32,22,0,4,84,2,62,34,24,0,30,8,32,20,28,24,0,6,30,0,30,10,12,0,22,26,32,34,36,14,6,24,0,0,0,0,2,0,0,24,2,0,0,8,10,58,18,0,0,0,0,4,4,24,0,0,4,0,0,14,10,0,20,50,52,20,4,458,6,0,0,2,0,30,0,0,4,18,474,42,74
CAF,0,4,2,0,2,0,0,0,2,2,0,8,2,2,6,18,10,0,12,2,2,0,0,0,0,2,0,0,2,2,0,0,0,6,0,12,20,6,10,20,40,26,14,0,2,0,0,2,2,0,0,0,6,12,0,0,2,2,4,2,2,0,4,2,4,2,0,0,60,0,0,12,40,2,6,0,4,0,0,0,0,0,0,2,2,0,2,2,4,2,8,4,0,4,6,2,0,2,10,2,2,4,2,10,2,2,0,0,4,0,2,2,2,2,0,0,2,0,2,0,2,0,4,0,0,6,0,2,0,2,4,0,2,0,2,4,2,0,0,4,6,0,0,10,6,2,10,6,4,0,2,0,4,2,2,2,0,2,2,0,2,2,0,0,0,2,2,4,2,6,8,6,0,0,0,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,0,8,8,2,0,0,2,0,0,2,4,0,4,6,6,2,2,22,2,0,0,2,0,4,0,0,0,2,8,4,2
CAN,6,16,8,22,26,12,4,1320,1622,192,8,13030,3296,312,6,4772,86,0,110,574,426,68,28,24,0,236,14,22,52,6186,48,44,14,100,12,0,7492,1932,24546,92,192,90,36,2,1192,0,6,162,170,8,10,246,1934,15106,2,6,4164,46,304,260,1594,2,8360,366,330,2226,32,8,14262,6,20,34,24922,278,352,4,20,42,10,0,1696,52,82,70,20,22,42,462,28,1202,346,4304,0,2236,4452,186,268,2854,9974,70,468,6226,112,538,80,52,2,22,3498,280,22,534,14,60,4,10,214,6,222,286,100,0,604,48,36,78,4,2114,0,80,52,70,36,12,42,90,18,0,20,128,990,32,16,26,634,16,8212,3004,204,0,2220,260,1304,164,436,312,6,20,2828,4,2016,88,232,0,638,862,2758,132,2546,70,140,2008,2,2,8,24,14,0,12,492,10,2,6,434,592,5018,8,2,14,30,2,8,16,862,16,0,6,2,60,470,1792,0,2036,216,246,398,148,59796,30,4,2,104,0,774,20,6,10,74,2684,82,108
CHE,2,18,14,12,50,10,0,448,1058,522,6,6392,5702,288,18,5870,70,0,96,186,804,32,6,80,0,404,4,12,66,3128,10,26,22,52,20,7492,0,1216,6280,108,172,118,104,2,928,4,6,108,152,0,2,530,2534,23654,0,2,4102,24,172,312,716,6,8800,638,208,2562,8,0,14514,6,14,28,21242,518,258,4,36,48,6,4,2976,8,12,40,38,6,60,968,16,1658,388,2774,0,1816,1164,58,246,2016,14004,34,126,4176,84,544,78,78,2,6,1978,80,56,308,16,24,4,84,256,38,592,330,384,0,334,72,46,78,0,1026,0,120,52,140,78,182,54,102,8,0,16,152,554,36,8,36,308,6,9166,2850,154,0,1096,82,586,88,408,370,0,36,3498,0,2548,46,168,0,406,1324,2918,82,734,60,128,1364,2,0,6,22,10,8,10,992,6,2,10,672,924,5258,40,2,28,20,0,22,22,876,28,0,10,2,8,200,1854,0,1118,312,284,740,100,25654,58,4,0,88,0,386,2,0,24,28,1892,120,126
CHL,0,4,12,4,6,4,0,256,1750,150,0,1952,602,160,2,724,10,0,18,88,216,10,6,10,0,170,2,0,116,2550,14,10,2,12,6,1932,1216,0,1646,14,28,10,10,0,1372,0,2,230,156,0,0,24,514,3284,2,2,786,56,44,468,180,4,5090,58,34,402,4,10,2736,2,4,2,4582,176,44,4,4,4,2,0,482,6,4,70,0,6,50,102,12,384,66,918,0,296,352,28,44,562,2374,26,60,1140,30,62,20,6,0,24,452,24,4,72,0,14,2,2,36,0,80,44,38,0,222,16,4,4,0,1348,0,16,2,26,10,2,8,22,4,0,10,14,208,10,2,4,92,32,1324,498,42,0,368,46,190,110,520,100,0,4,708,0,872,142,148,0,48,310,640,10,220,8,30,172,2,2,2,4,34,0,0,286,0,0,4,236,230,872,0,0,4,8,0,4,4,136,10,0,2,2,8,62,512,0,462,30,28,126,306,7016,6,64,0,258,0,114,2,2,6,8,758,12,34
CHN,0,26,6,12,62,2,0,1562,1102,462,0,34756,3386,380,26,4824,70,0,30,1128,648,72,10,36,0,622,4,8,44,3910,22,136,12,64,10,24546,6280,1646,0,52,208,64,26,0,1108,2,4,96,214,2,0,426,2554,23214,0,0,5786,42,522,388,3984,18,7890,696,538,3816,54,2,14532,10,20,14,44202,512,750,0,20,10,0,4,2150,16,8,26,18,16,72,774,8,1610,1000,8926,0,2490,4688,676,188,2652,10528,12,396,20382,394,594,112,90,0,24,12556,212,74,340,10,54,2,0,536,10,592,272,290,0,418,36,28,34,6,1980,0,98,20,70,332,156,346,64,8,2,92,106,4000,36,16,16,1160,2,8928,3274,608,0,3680,264,11252,88,334,878,2,24,3800,110,2512,42,230,0,1172,1372,6560,128,6626,392,66,14872,0,0,4,68,12,0,12,874,12,0,2,678,746,8014,8,0,4,124,0,6,20,3070,82,0,4,2,18,348,3216,0,10936,316,136,1160,94,129480,244,10,0,106,0,3286,0,4,14,200,2920,106,100
CIV,0,2,10,0,4,0,0,0,14,2,0,44,10,2,10,86,66,0,108,6,8,0,0,0,0,2,2,0,8,26,0,4,0,12,20,92,108,14,52,0,104,48,22,0,14,0,0,2,2,0,0,0,12,154,0,0,16,2,10,8,12,0,42,4,36,10,2,0,444,0,0,28,200,4,66,0,30,12,6,0,0,0,0,8,8,2,2,10,4,16,10,48,0,10,10,6,2,8,72,2,2,36,6,90,2,8,0,0,6,0,2,4,6,2,0,0,6,10,2,8,4,0,22,0,2,18,0,14,0,4,40,2,2,0,8,32,10,0,46,18,10,12,0,38,76,2,36,10,6,0,14,2,6,6,14,18,0,2,4,0,6,2,0,0,2,4,12,20,6,8,112,8,0,0,0,4,2,0,0,6,2,0,2,4,4,28,10,0,6,0,0,8,50,16,0,0,2,0,0,12,42,0,6,48,46,2,2,266,2,0,0,4,0,50,0,0,2,2,74,20,24
CMR,0,2,10,8,6,0,0,28,40,2,0,126,32,10,20,256,98,0,76,34,22,14,0,2,0,6,4,0,14,128,0,8,0,86,40,192,172,28,208,104,0,96,70,0,64,0,0,14,2,0,0,14,52,418,0,0,36,6,38,10,76,0,98,20,70,44,4,0,662,0,12,60,552,10,130,0,30,16,6,2,22,0,0,8,4,2,2,18,6,22,50,178,0,24,90,32,10,26,240,6,24,82,20,170,22,8,0,0,54,16,6,24,8,6,0,0,22,10,6,10,4,0,36,0,2,20,0,84,0,4,38,0,8,2,2,46,12,0,12,40,54,14,4,32,204,2,110,46,30,0,28,10,100,24,26,42,0,4,42,0,50,10,14,0,28,76,54,50,82,30,114,30,0,0,0,10,6,0,0,36,4,2,2,10,8,88,18,0,2,2,0,38,40,20,6,0,4,0,6,40,90,0,50,70,112,18,2,608,8,0,0,10,0,66,0,0,2,16,366,50,50
COD,0,12,10,0,2,2,0,4,10,4,0,34,16,2,20,350,22,0,30,22,6,0,0,2,0,4,2,0,8,30,0,4,0,6,26,90,118,10,64,48,96,0,52,0,14,0,0,4,6,0,0,4,32,62,0,0,20,2,8,16,8,0,30,6,30,22,0,0,170,0,0,34,200,6,34,0,28,4,0,0,6,0,0,38,4,2,2,6,8,6,18,60,0,6,8,6,0,6,38,2,4,34,2,98,4,10,0,0,22,0,4,4,14,4,0,0,4,2,6,10,2,0,24,0,0,10,0,14,0,6,24,4,4,0,2,26,14,0,6,32,10,4,0,16,50,2,52,20,10,0,8,2,54,6,20,8,0,2,10,0,14,6,0,0,0,8,8,34,10,6,40,18,0,0,0,8,4,0,2,8,10,0,2,4,6,30,2,0,2,2,0,8,18,22,0,0,2,0,0,10,10,0,8,42,76,8,2,356,2,0,0,12,0,22,0,0,0,4,106,56,14
COG,0,0,2,0,0,0,0,0,4,2,0,32,6,0,6,58,22,0,18,4,0,0,2,0,0,2,0,0,6,22,0,0,0,2,14,36,104,10,26,22,70,52,0,0,4,0,0,0,0,0,0,0,4,76,6,0,32,0,6,4,20,0,8,0,18,2,0,0,108,0,0,18,152,0,24,0,18,6,2,0,0,0,0,4,0,0,0,0,2,0,18,30,0,0,4,0,4,0,38,0,2,20,0,42,0,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,4,0,6,0,0,10,2,0,0,2,16,14,0,0,6,8,2,2,12,30,0,26,4,0,0,8,6,2,2,4,12,0,2,2,0,12,0,0,0,0,0,4,8,6,4,38,8,0,0,0,10,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,2,12,8,0,0,0,0,0,2,0,0,0,22,34,0,4,206,0,0,0,0,0,8,2,0,0,2,52,24,18
COK,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,6,0,0,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,2,0,0,2,0,0
COL,2,4,2,12,16,0,0,324,1252,328,6,1150,566,178,6,682,34,0,18,116,406,34,6,6,0,360,8,0,148,2854,18,18,0,26,2,1192,928,1372,1108,14,64,14,4,2,0,0,2,254,120,0,0,216,580,1582,0,2,418,88,130,638,332,2,3274,240,72,424,2,2,1552,2,18,10,2482,388,86,0,2,6,2,0,518,14,2,96,16,12,156,252,12,466,114,836,0,424,472,62,38,332,1478,20,80,558,28,118,44,22,2,4,428,70,10,82,2,14,0,0,208,0,244,18,210,0,234,2,4,30,2,1920,0,28,8,14,12,132,10,18,8,0,4,14,354,6,4,2,152,52,910,384,100,0,372,38,370,224,652,242,2,22,796,0,758,124,162,0,244,428,712,26,306,16,30,166,0,0,2,0,36,0,0,402,0,0,8,206,232,576,0,0,4,2,2,4,6,314,0,0,2,2,10,68,610,0,456,58,50,354,220,4644,32,0,2,410,0,254,2,4,16,22,500,22,36
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,0,0,0,6,0,6,0,0,0,0,6,6,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0
CPV,0,0,2,0,2,0,0,0,2,0,0,8,2,0,0,8,2,0,0,0,2,0,0,2,0,0,0,0,0,12,2,2,0,0,0,6,6,2,4,0,0,0,0,0,2,0,0,2,2,0,0,2,4,22,0,0,6,2,2,2,2,0,18,2,2,2,0,0,20,0,0,0,50,0,8,0,0,0,0,0,2,0,0,0,0,0,0,2,0,10,2,2,0,4,2,0,2,2,4,2,2,2,2,6,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,4,0,4,2,0,2,0,6,0,0,0,2,2,0,0,2,0,0,2,2,2,0,2,0,2,0,2,10,2,0,2,0,0,4,4,4,0,0,6,0,70,0,2,0,2,2,2,2,2,4,14,2,0,0,2,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,2,4,2,0,2,24,0,0,0,4,0,4,0,0,0,2,6,4,0
CRI,0,2,2,6,2,0,0,20,208,4,0,126,48,8,2,60,18,0,6,14,18,14,4,4,0,2,2,0,32,338,8,6,4,10,2,162,108,230,96,2,14,4,0,0,254,4,2,0,30,0,0,12,28,236,0,2,70,42,8,130,30,0,354,14,16,46,0,0,222,0,8,2,334,12,22,0,0,0,0,0,28,0,0,52,2,2,48,18,4,20,26,68,0,30,42,12,14,48,142,10,20,56,12,26,12,4,0,0,36,14,4,24,4,6,0,0,24,0,12,12,8,0,16,0,0,2,0,346,0,10,4,6,6,0,10,12,2,0,2,6,38,2,2,2,16,40,148,36,20,0,42,6,22,130,162,26,0,8,38,0,84,50,12,0,14,32,44,16,28,8,12,28,0,0,2,0,28,0,0,22,0,0,2,10,16,90,2,0,6,4,0,2,4,36,0,0,6,0,4,18,68,0,26,24,22,14,72,874,6,0,0,76,0,30,0,0,4,14,50,12,4
CUB,0,2,2,0,2,0,0,6,104,92,0,60,136,92,2,160,4,0,4,6,8,4,4,2,0,10,6,0,12,416,10,2,0,6,2,170,152,156,214,2,2,6,0,2,120,0,2,30,0,2,0,2,114,266,0,2,104,62,4,134,22,2,382,6,2,106,2,0,242,0,0,2,220,4,8,0,0,0,2,0,112,2,0,14,2,0,16,100,4,100,102,140,0,16,22,6,2,16,224,22,10,150,4,16,4,2,2,0,114,4,2,6,0,2,2,0,12,0,12,4,4,0,6,8,0,2,2,484,0,4,2,2,4,0,4,6,2,0,6,4,36,0,4,2,4,12,160,118,6,0,18,0,122,22,160,20,2,6,126,0,48,12,4,0,6,104,166,2,18,4,4,18,0,0,2,0,10,0,0,6,0,0,2,102,6,142,0,0,4,0,4,2,2,108,2,0,2,0,6,6,116,0,16,6,6,102,40,442,4,0,2,66,0,14,0,2,2,4,126,6,4
CUW,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,0,0,4,0,0,0,0,0,0,0,0,0
CYM,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,10,24,0,0,60,54,198,0,360,400,18,0,478,12,0,2,20,268,16,0,44,0,202,0,0,0,278,2,6,0,10,0,246,530,24,426,0,14,4,0,0,216,0,2,12,2,0,0,0,320,914,0,0,202,2,42,184,274,0,736,290,16,366,0,2,638,2,10,2,1596,214,20,2,0,0,0,0,1754,0,0,0,0,0,0,334,0,348,22,296,0,326,294,24,42,202,990,2,46,110,40,18,26,0,0,0,268,36,0,50,0,18,0,0,160,0,286,38,228,0,22,0,12,0,0,240,0,48,2,58,2,158,0,8,0,0,2,2,228,2,0,0,52,0,356,222,16,0,224,20,250,12,16,38,0,0,494,0,476,8,22,0,270,168,374,12,176,4,0,56,2,0,2,0,0,6,0,316,0,0,0,80,136,298,2,0,2,8,0,2,0,218,6,2,0,0,0,34,716,0,242,8,6,230,2,1032,30,0,0,6,0,26,0,0,6,20,104,6,2
CZE,0,4,2,6,48,0,0,246,546,466,6,1864,2784,296,4,2068,10,0,6,106,740,12,0,116,0,414,0,0,18,1348,6,16,0,18,6,1934,2534,514,2554,12,52,32,4,0,580,0,4,28,114,0,0,320,0,6246,0,0,1248,10,84,230,502,4,3490,502,70,1364,2,2,4312,2,8,4,5776,434,50,0,4,2,0,0,1442,2,4,10,14,6,4,848,2,1506,188,1414,0,728,910,78,122,880,4510,12,140,1784,110,60,34,6,0,4,1036,66,2,104,2,14,0,4,176,0,540,94,390,2,210,8,46,22,0,638,0,124,4,80,8,166,28,16,2,0,10,12,544,10,2,6,70,6,2480,1218,50,0,446,50,526,42,170,68,2,28,3706,4,1392,28,144,0,258,1002,2652,16,416,10,20,300,0,0,2,2,6,8,4,824,0,0,2,2920,790,2050,0,0,4,12,0,4,4,440,6,4,2,0,4,86,1354,0,872,22,24,864,52,6200,68,0,0,54,0,258,0,4,28,22,734,12,8
DEU,2,20,22,12,74,4,4,926,2490,636,0,14410,15606,384,14,11756,116,0,130,396,1444,44,44,176,0,626,16,28,74,7406,14,46,22,104,12,15106,23654,3284,23214,154,418,62,76,2,1582,6,22,236,266,8,0,914,6246,0,0,4,9464,26,408,514,2588,6,20244,1194,510,5806,30,6,27642,10,24,106,45204,712,454,8,46,42,6,0,5314,50,36,64,14,16,64,1886,6,3970,876,6012,0,3718,3184,244,506,5018,26456,18,544,11488,304,700,108,34,0,14,5094,194,38,472,14,42,0,62,360,2,1138,876,698,0,598,112,206,122,8,2404,4,270,62,232,72,216,214,90,12,0,58,104,1076,146,40,30,570,12,21948,6372,214,0,2476,210,1660,286,564,472,2,34,9108,10,5448,64,252,0,680,2784,10558,108,2088,142,124,2542,6,4,12,24,12,6,8,1664,0,0,14,1480,1764,12628,36,0,24,46,0,10,30,1350,56,4,10,0,36,518,3748,0,2608,328,284,1902,200,60398,164,32,0,150,0,1276,4,4,34,58,3692,100,104
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,4,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,12,0,0,0
