,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
IRL,0,0,0,0,0,4,62,18,0,238,115,0,0,177,0,0,2,28,1,0,0,5,0,0,1,86,0,2,0,2,0,258,209,28,206,0,1,0,0,53,1,0,0,6,0,11,122,600,0,0,160,0,5,47,8,0,286,13,4,131,0,447,0,0,1556,2,2,0,1,2,0,0,69,1,0,2,0,0,0,10,0,49,3,90,0,13,0,17,59,291,3,1,104,2,2,0,0,0,86,6,0,3,0,1,0,0,4,0,10,19,10,3,1,1,0,0,71,0,3,1,5,0,0,0,1,0,0,0,5,13,15,1,0,3,0,350,84,1,56,2,4,2,3,4,0,0,94,0,66,0,0,1,28,150,1,7,0,3,21,0,0,1,0,0,13,0,0,24,15,252,0,1,0,0,0,14,0,0,0,0,2,38,19,3,9,15,9,1087,4,0,0,0,2,3,0,0,0,0,46,1,3
IRN,0,0,0,0,0,15,9,7,0,193,25,4,0,55,0,1,1,9,2,0,1,8,0,0,0,14,0,0,1,1,0,440,54,3,73,1,0,1,0,4,0,1,1,0,0,1,13,215,0,0,27,0,3,0,12,0,62,2,0,34,0,185,0,0,454,2,2,0,0,0,0,0,33,34,1,0,0,0,0,6,0,13,3,68,13,0,4,2,12,119,0,9,134,0,2,0,0,3,31,11,0,9,0,1,0,0,5,0,1,0,2,1,0,0,1,0,15,0,0,2,0,0,1,0,0,1,0,2,0,94,0,0,1,2,0,94,21,0,17,5,28,0,0,7,0,0,26,0,8,0,0,2,10,48,0,8,2,1,20,0,0,0,0,0,11,0,0,5,6,109,0,0,8,0,1,8,3,0,0,0,1,86,20,2,0,9,0,626,1,0,0,0,2,1,0,0,0,0,6,0,1
IRQ,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,4,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,7,0,15,2,0,1,0,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,2,0,0
ISL,0,0,0,0,0,0,1,0,0,20,19,0,0,18,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,55,30,1,15,0,0,0,0,1,0,0,1,0,0,0,4,49,0,0,98,0,0,0,0,0,35,5,0,57,0,65,0,0,152,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,8,0,2,17,2,0,0,7,38,0,0,14,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,45,89,0,3,0,0,0,1,0,0,0,4,0,15,0,0,0,6,12,0,0,0,0,11,0,0,0,0,0,1,0,0,3,8,127,0,0,0,0,0,5,0,0,0,0,0,0,7,2,0,0,0,185,0,0,0,0,0,1,0,0,0,0,1,0,0
ISR,0,0,7,0,1,0,40,6,0,233,155,2,0,210,0,0,3,29,1,0,3,6,0,0,0,99,0,0,0,0,0,428,292,35,192,0,5,0,0,24,0,0,3,2,0,7,127,1038,0,0,116,0,6,0,18,1,333,5,3,72,1,665,0,1,761,9,2,0,0,0,0,0,109,0,0,0,0,0,0,20,0,92,4,101,59,12,0,7,0,572,0,26,223,10,5,2,2,0,83,2,0,8,0,0,0,0,2,0,12,12,9,8,1,4,1,0,55,0,2,1,3,0,0,1,0,0,0,1,0,10,1,0,0,8,0,309,68,3,43,1,3,1,4,3,0,0,154,0,73,0,11,1,48,248,0,5,2,0,25,0,0,0,0,0,20,0,0,15,32,140,0,0,3,0,1,22,0,0,0,0,11,98,52,4,3,84,5,3317,12,0,0,0,1,3,0,0,0,1,51,0,0
ITA,1,1,13,0,0,23,305,65,0,969,1078,7,1,1436,5,13,16,206,3,0,11,30,0,0,9,625,1,0,1,2,0,1552,2212,182,601,10,39,2,2,66,1,0,13,47,0,49,530,4892,0,0,772,1,48,11,77,1,3193,73,16,667,2,4865,0,3,5593,23,7,0,1,7,2,0,690,0,1,5,0,0,0,129,0,455,17,401,291,119,7,38,572,0,1,29,1068,10,21,1,4,0,317,7,0,58,1,7,0,0,3,0,67,51,30,51,8,14,4,3,272,0,15,3,14,0,9,9,7,1,0,0,3,32,2,1,4,38,2,2032,555,7,158,13,29,6,23,17,0,1,852,0,531,3,1,8,334,1005,2,36,7,9,115,0,0,0,3,0,141,0,0,184,231,1234,1,0,19,1,1,63,1,0,0,1,72,355,168,8,11,176,32,8816,17,1,4,0,40,27,0,0,1,3,177,2,6
JAM,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,9,3,1,1,0,0,0,1,1,0,0,0,2,0,0,0,3,0,0,1,1,0,0,1,0,1,0,0,1,0,2,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,57,0,0,0,0,0,0,0,0,0,0,4,0,0
JOR,0,0,0,0,0,25,3,0,0,15,4,0,0,3,0,0,0,2,2,0,0,10,0,0,0,5,0,0,0,1,0,25,6,0,4,0,0,0,0,1,0,0,0,0,0,1,11,81,0,0,0,0,12,0,14,0,12,1,0,2,0,19,0,0,89,0,0,0,1,0,0,0,5,0,0,2,0,0,1,1,0,3,1,18,1,9,15,0,26,29,0,0,6,0,0,0,0,0,4,8,0,5,0,1,0,0,1,0,1,0,1,4,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,1,0,7,2,1,4,8,1,0,1,2,0,0,7,0,0,0,2,6,1,7,0,21,1,1,2,0,0,0,0,0,3,0,0,0,0,2,0,0,10,0,0,2,0,0,0,0,1,30,2,1,1,1,0,173,0,0,0,0,0,0,0,0,0,1,1,0,0
JPN,2,0,1,0,0,13,78,17,0,980,327,11,0,385,3,2,204,84,0,0,3,15,1,0,6,258,0,2,1,2,0,1235,635,101,3653,4,15,5,1,32,0,0,6,22,0,11,251,2268,0,0,305,2,10,8,161,0,587,22,6,308,3,1708,0,2,2516,17,9,0,4,0,0,0,142,0,0,2,0,0,1,33,0,230,227,699,104,134,2,14,223,1068,1,6,0,20,33,1,19,0,1762,17,24,10,0,4,0,0,42,0,26,4,16,15,2,2,6,1,148,0,17,1,1,9,1,44,2,0,0,1,0,201,2,7,0,30,0,597,172,30,171,8,79,6,8,130,0,5,421,0,119,5,0,1,113,790,3,27,6,4,255,1,2,0,0,0,38,0,0,112,96,524,0,0,8,0,0,687,3,0,0,0,20,137,724,25,10,132,12,9066,29,1,0,0,13,182,1,0,0,1,112,8,1
KAZ,0,0,1,0,0,0,1,3,0,1,0,5,0,11,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,3,0,0,0,0,0,9,1,0,1,0,14,0,0,32,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,10,10,0,0,20,0,0,8,0,0,9,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,2,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,2,0,0,0,2,0,0,0,0,3,0,0,0,10,0,47,6,0,0,0,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,8,4,0,0,61,11,1,1,52,10,8,6,1,0,0,0,0,0,0,0,14,0,0,0,4,0,49,51,2,29,4,7,2,3,2,1,0,2,1,0,0,1,67,0,0,24,0,1,5,5,1,5,0,15,1,1,48,0,2,258,0,13,0,0,11,0,0,8,0,0,2,0,0,0,0,0,0,3,22,2,2,1,1,5,21,0,0,33,0,0,0,1,0,2,1,0,0,0,1,0,0,5,0,1,1,0,0,0,0,3,0,3,0,0,14,0,0,0,0,5,0,0,1,19,4,1,0,6,20,1,55,8,1,10,0,3,3,2,6,0,5,2,0,3,3,1,0,0,3,7,1,7,4,1,0,2,0,0,0,1,0,0,1,0,24,0,1,1,0,1,13,0,0,0,0,1,1,1,38,52,0,1,380,0,0,0,0,2,6,0,0,0,0,64,7,11
KGZ,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,0,12,2,0,0,9,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,7,0,3,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,2,2,16,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,8,0,0,0,0,2,4,0,0,19,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,4,0,0,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,24,0,0,0,0,0,0,5,0,0,0,0,41,0,0,0,0,2,13,0,0,0,0,1,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0
KOR,0,0,0,0,0,7,65,25,0,390,117,1,0,91,0,1,46,19,1,0,0,23,0,0,0,123,0,1,0,0,0,643,274,28,1442,0,7,0,0,57,0,0,3,6,0,7,108,725,0,0,55,0,5,47,61,0,162,6,1,95,0,452,0,0,756,2,4,0,1,0,0,0,71,0,0,0,0,0,0,24,0,57,56,653,86,31,2,5,83,317,0,4,1762,9,2,0,1,0,0,4,2,5,1,0,0,0,8,0,7,2,3,1,2,5,0,0,110,0,1,0,0,2,0,16,4,0,0,0,0,78,0,0,0,5,0,224,52,12,51,4,49,0,1,44,0,0,171,18,33,0,0,15,30,415,0,10,1,1,145,0,0,0,0,0,12,0,0,62,60,156,0,0,2,0,0,110,0,0,0,0,6,69,293,4,1,84,1,5565,22,0,0,0,1,125,0,0,0,0,36,0,1
KWT,0,0,0,0,0,26,1,0,0,22,2,0,0,3,0,0,4,1,9,0,1,1,0,0,0,7,0,0,0,0,0,33,3,1,11,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,1,0,1,0,46,0,2,1,0,6,0,12,0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,19,6,11,2,0,2,7,0,8,17,0,1,0,0,0,4,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,7,0,0,8,24,0,0,4,0,0,5,0,3,0,0,6,3,1,0,27,2,0,3,0,0,0,0,0,4,0,0,1,2,11,0,0,2,0,0,3,0,0,0,0,4,3,0,1,0,0,1,98,0,0,0,0,1,4,0,0,0,4,2,1,1
LAO,0,0,0,0,0,0,1,0,0,7,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,8,0,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,24,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,6,0,1,0,0,13,0,0,0,0,0,11,0,0,0,0,2,0,0
LBN,0,0,0,0,0,10,4,0,0,16,5,0,0,15,0,0,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,55,16,2,12,0,0,0,0,9,0,0,1,1,0,2,2,38,0,0,1,0,7,0,22,0,19,0,0,3,0,196,0,0,48,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,0,8,3,9,2,0,8,58,0,5,10,0,0,0,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,8,0,18,4,0,9,6,3,0,1,2,0,0,6,0,2,0,0,1,4,7,0,16,1,0,3,0,0,1,0,0,2,0,0,1,1,9,0,0,10,0,0,2,0,0,0,0,4,20,0,0,0,3,1,149,0,0,0,0,2,0,0,0,0,0,14,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,17,0,1,0,0,7,0,22,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,7,0,1,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0
LCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LIE,0,0,0,0,0,0,0,0,0,2,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0,0,1,0,58,5,0,0,10,0,0,4,1,0,0,0,1,0,0,0,8,0,0,0,0,0,23,13,0,17,0,0,0,1,5,0,0,0,0,0,2,2,14,0,0,5,0,0,1,1,0,3,4,1,2,0,19,0,0,96,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,3,34,4,5,0,2,2,3,0,1,42,1,5,0,0,0,8,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,3,5,6,0,6,1,1,5,0,0,5,0,1,0,0,0,3,2,1,0,1,1,8,0,0,0,0,0,3,0,0,1,0,16,0,0,4,0,0,13,0,0,0,0,0,2,5,2,3,2,0,80,3,0,0,0,0,5,0,0,0,0,5,0,0
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,3
LTU,0,0,0,0,0,0,4,0,0,14,33,1,0,45,0,1,0,14,0,0,0,21,0,0,0,4,0,0,0,0,0,17,33,1,13,0,0,0,0,2,0,0,2,0,0,2,37,133,0,0,35,0,3,0,0,0,37,29,1,57,0,105,0,0,114,0,1,0,1,0,0,0,19,0,0,0,0,0,0,7,0,26,1,4,10,1,0,1,12,67,0,1,26,3,1,1,0,0,7,0,0,0,1,0,0,0,2,0,0,4,42,2,1,2,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,34,28,1,6,0,1,0,1,1,0,0,78,0,11,0,1,0,13,52,0,1,0,1,3,0,0,0,0,0,10,0,0,13,22,110,0,0,1,0,0,3,0,0,0,0,1,20,8,2,1,33,0,100,0,0,0,0,1,1,0,0,0,0,5,0,0
LUX,0,0,1,0,0,0,0,0,0,9,24,1,0,68,0,0,0,9,0,0,1,4,0,0,0,1,0,0,0,0,1,8,32,1,9,0,0,0,0,0,0,0,0,0,0,4,10,102,0,0,14,0,1,0,0,0,29,8,0,14,1,115,0,0,63,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,7,0,3,19,0,0,3,12,51,0,0,4,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,3,0,0,0,3,0,35,18,0,1,0,0,0,0,1,0,0,18,0,9,0,0,0,5,6,1,0,0,4,0,0,0,0,0,0,4,0,0,9,6,24,0,0,0,0,0,4,0,0,0,0,1,3,1,1,0,3,0,34,1,0,0,0,0,5,0,0,0,0,0,0,0
LVA,0,0,1,0,0,0,1,1,0,7,15,1,0,13,0,0,0,8,0,0,0,12,0,0,0,10,0,0,0,0,0,11,20,1,5,0,0,0,0,1,0,0,0,0,0,2,14,79,0,0,18,0,1,0,1,0,11,28,2,28,0,30,0,0,46,0,0,0,1,0,0,0,8,0,0,0,0,0,0,4,0,11,1,4,10,2,0,0,9,30,0,1,16,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,42,4,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,6,1,2,0,1,0,2,0,0,0,28,0,9,0,0,0,7,42,0,0,0,1,2,0,0,0,0,0,7,0,0,8,8,43,0,0,0,0,0,7,0,0,0,0,0,3,5,1,7,13,0,45,0,0,0,0,0,0,0,0,0,0,5,0,0
MAR,0,0,0,0,0,3,2,3,0,11,11,1,0,31,2,6,0,1,0,0,0,1,0,0,0,7,0,0,0,0,1,64,17,3,11,1,4,0,1,3,0,0,1,2,0,3,6,55,0,0,4,0,25,0,6,0,131,0,1,1,0,497,0,1,42,1,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,6,0,5,3,1,0,0,8,51,0,4,15,0,0,1,0,0,1,1,0,8,0,0,0,0,0,0,2,3,0,0,1,0,6,0,6,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,11,2,1,2,1,3,0,2,3,0,0,4,0,33,0,0,1,7,9,0,4,1,7,0,0,0,1,0,0,5,0,0,4,3,6,0,0,5,0,1,1,0,0,0,0,21,19,8,0,1,4,2,71,0,0,0,0,2,1,0,0,0,0,4,0,0
MCO,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,10,0,0,3,0,2,0,0,0,5,0,0,2,0,31,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,2,0,0
MDA,0,0,0,0,0,0,0,1,0,1,4,0,0,8,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,5,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,2,0,1,0,0,0,16,0,0,7,0,22,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,4,14,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,16,38,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,13,0,46,0,0,0,0,0,2,0,0,0,0,0,0,1
MDG,0,0,0,0,0,1,1,0,1,6,4,0,0,6,5,6,0,0,0,0,1,0,0,0,0,4,0,0,0,0,3,8,10,0,3,3,4,1,1,0,0,0,1,0,0,0,2,13,0,0,6,0,2,1,0,0,0,0,1,4,0,76,0,2,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,4,0,0,6,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,0,3,0,0,0,1,5,0,0,3,0,1,0,0,0,0,1,0,1,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,1,3,0,0,1,60,0,0,0,0,0,0,0,0,0,0,12,0,1
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
