,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
CHE,0,0,0,2,0,16,58,4,0,320,290,2,4,352,2,2,14,32,26,0,2,0,0,2,2,116,2,0,0,2,454,0,56,212,10,4,2,2,30,0,6,2,0,0,10,34,1592,0,0,142,0,4,38,20,0,274,22,14,178,4,622,0,1632,4,34,2,0,0,0,54,0,0,2,0,2,0,24,0,52,12,116,120,16,0,0,72,496,2,26,66,0,48,0,0,0,0,14,0,2,10,0,0,4,4,0,26,72,6,8,0,0,4,56,0,6,0,2,2,0,0,8,0,0,4,36,0,0,0,24,0,498,174,14,0,32,0,16,2,2,22,0,2,86,78,0,4,6,26,50,2,14,0,4,66,2,2,0,0,0,16,0,30,20,230,2,0,0,0,0,2,22,0,0,0,2,0,14,66,0,10,10,12,8,6,1754,0,0,0,0,10,0,0,2,0,106,8,10
CHL,0,0,0,0,0,2,86,2,0,70,34,0,0,18,0,0,2,4,0,0,0,0,0,0,4,46,0,0,0,2,86,56,0,10,0,0,0,0,174,0,12,10,0,0,0,6,106,0,0,10,4,0,22,0,0,402,4,6,16,2,80,0,232,0,0,0,0,0,0,4,0,0,4,0,0,0,2,0,2,2,14,6,6,0,0,10,56,0,0,10,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,62,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,46,20,2,0,22,0,0,2,38,2,0,0,20,28,0,0,0,4,12,2,0,0,0,6,0,0,4,0,0,0,0,4,0,28,0,0,0,0,0,0,6,0,0,0,0,0,2,4,0,10,0,0,4,22,476,0,0,0,8,4,0,0,0,0,20,0,0
CHN,0,0,0,0,0,52,48,0,0,1354,178,0,2,202,0,2,32,18,4,0,26,2,0,0,0,84,2,8,2,4,1000,212,10,0,0,2,0,0,36,0,0,0,0,0,10,44,738,0,0,158,0,0,6,12,0,142,28,32,146,6,514,0,2000,2,48,0,0,0,0,40,0,4,2,0,0,0,12,0,28,40,156,50,40,12,4,54,276,0,10,478,14,44,8,10,0,0,372,12,8,26,0,0,2,98,0,22,10,2,0,0,0,0,34,0,2,0,26,0,6,2,0,0,0,2,108,0,0,0,32,0,586,138,22,0,242,2,106,0,20,48,0,0,60,70,0,2,18,40,140,0,38,2,0,696,0,4,0,0,0,12,0,18,6,234,2,0,0,0,0,0,128,0,0,0,0,0,2,60,0,690,8,12,12,0,5600,4,0,0,0,26,0,0,0,0,148,2,0
CIV,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,24,2,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2,0,0,38,0,0,0,0,0,0,0,0,0,12,22,0
CMR,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,4,0,2,0,0,10,2,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,2,0,6,2,0,30,0,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,0,4,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,2,0,0,0,0,30,0,4
COD,0,0,0,0,0,0,0,0,0,2,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,2,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,2
COL,0,0,0,2,0,8,76,2,0,74,4,0,0,26,0,0,2,8,0,0,0,0,0,0,2,78,0,0,0,0,74,30,174,36,14,2,0,0,0,0,14,8,0,0,2,8,52,0,0,10,0,2,20,2,0,364,4,8,10,0,42,0,146,2,4,0,0,0,0,4,0,0,0,0,0,0,2,0,6,4,16,2,4,6,0,8,64,0,10,22,0,18,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,100,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,10,0,66,16,0,0,16,0,2,6,52,16,0,0,14,18,0,0,0,16,6,0,12,0,0,0,0,0,2,0,0,2,0,4,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,24,0,2,2,6,6,10,422,0,0,0,22,2,0,0,0,0,26,12,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,16,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,6,12,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,0,22,0,0,0,2,10,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0,0,0,2,0,0,0,0,0
CUB,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,2,10,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,22,0,6,0,0,2,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0
CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,2,0,0,12,14,0,0,16,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,16,10,0,10,0,0,0,0,2,0,0,0,0,0,0,8,38,0,0,18,0,0,0,0,0,38,8,0,8,0,38,0,210,0,0,0,0,0,0,144,0,0,0,0,0,0,6,0,6,2,8,18,0,4,0,6,32,0,4,6,0,2,0,0,0,0,2,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,44,12,0,0,4,0,0,0,0,2,0,0,6,6,0,0,4,4,4,0,6,0,0,10,0,0,0,0,0,4,0,4,4,46,0,0,0,0,0,0,4,0,0,0,0,0,2,40,0,8,0,0,2,0,72,0,0,0,0,0,0,0,0,0,18,0,0
CZE,0,0,0,2,0,4,4,2,0,68,56,0,0,62,0,0,4,12,0,0,4,0,0,0,0,34,0,0,0,0,32,34,6,44,0,4,0,0,8,0,0,0,0,0,8,0,152,0,0,66,2,4,2,0,0,68,16,2,30,0,124,0,264,6,2,2,0,0,0,16,0,0,0,0,0,0,14,0,32,6,10,18,6,0,4,10,88,0,0,18,12,4,0,2,0,0,4,0,0,2,0,0,2,0,0,26,0,10,2,0,0,0,14,0,6,0,0,0,0,4,2,0,0,0,6,2,0,0,4,0,86,70,2,0,14,0,8,0,10,0,0,2,94,20,0,0,0,38,54,0,2,0,0,6,0,0,0,0,0,10,0,288,28,88,0,0,2,0,0,0,6,2,0,0,0,0,0,26,0,8,0,2,18,2,196,6,0,0,0,14,0,0,6,0,16,0,0
DEU,0,0,0,10,0,42,50,4,0,1118,1028,6,8,600,0,6,32,36,0,0,14,0,0,0,8,166,2,2,0,8,934,1592,106,738,6,2,4,0,52,2,8,8,0,0,38,152,0,2,2,480,2,2,18,38,0,696,68,46,342,2,1050,2,3562,12,24,2,0,0,0,154,0,0,4,0,0,0,38,0,152,66,182,188,60,2,16,278,1052,4,16,212,12,52,4,6,0,0,100,0,2,10,2,0,18,76,0,54,138,14,4,0,0,2,92,0,8,2,22,26,2,2,2,0,0,10,38,4,0,0,22,0,1698,514,6,0,132,2,24,0,18,28,0,0,316,176,0,6,26,88,198,8,16,6,6,132,0,0,0,0,0,48,0,60,54,680,0,0,34,0,0,0,18,0,0,0,0,2,2,120,0,44,16,22,32,14,4202,8,2,0,0,30,0,0,4,0,250,2,6
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,2,0,6,2,0,0,228,100,0,0,114,0,0,4,6,2,0,2,0,2,0,0,56,2,0,2,2,180,142,10,158,0,0,2,2,10,0,0,0,0,0,18,66,480,0,0,0,0,0,6,2,0,146,30,0,202,2,176,0,884,2,6,0,0,0,0,34,0,6,0,0,0,0,18,0,28,2,16,70,10,0,12,40,206,0,0,34,2,2,2,0,0,0,6,2,4,8,0,0,6,2,0,8,6,2,0,2,0,2,14,0,0,4,14,0,0,0,2,0,0,0,6,0,0,2,0,0,316,322,0,0,40,0,2,0,0,6,0,0,30,70,0,0,12,20,16,0,8,0,0,18,0,0,0,0,0,6,0,14,12,390,0,0,0,0,0,0,6,0,0,0,0,0,2,24,0,2,16,14,4,0,712,0,0,0,0,4,0,0,0,0,58,4,0
DOM,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,4,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,2,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,2,4,2,0,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,2,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,8,0,0,0,0,2,0,0,0,0,4,0,0
ECU,0,0,0,0,0,0,20,0,0,8,0,0,0,54,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,12,38,22,6,0,0,0,0,20,0,2,8,0,0,0,2,18,0,0,6,2,0,0,2,0,218,2,0,2,0,18,0,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,2,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,44,4,0,0,2,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,98,0,0,0,8,0,0,0,0,0,4,0,0
EGY,0,0,0,0,0,14,0,0,0,12,2,2,0,10,0,0,2,2,4,0,0,0,0,0,0,2,4,0,0,0,20,20,0,12,0,2,0,2,2,0,2,0,0,0,0,0,38,0,0,2,0,0,2,0,0,14,0,0,2,0,26,0,116,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,8,0,2,4,0,0,18,2,6,10,0,6,2,0,0,0,2,6,0,8,0,2,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,14,4,0,0,0,8,0,0,0,2,0,0,0,0,0,2,6,2,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,12,0,2,4,2,0,0,154,0,0,0,0,4,0,0,0,2,4,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,2,2,6,32,162,12,0,398,140,2,0,368,0,0,12,40,0,0,2,2,0,0,2,252,2,0,0,0,348,274,402,142,0,2,2,0,364,0,22,22,2,0,38,68,696,0,0,146,16,6,218,14,2,0,50,12,150,4,600,0,1754,2,12,2,0,0,0,136,0,0,8,0,0,4,38,0,66,22,76,136,16,6,6,104,860,0,2,88,0,24,2,2,0,0,48,6,0,16,0,0,0,0,0,32,54,8,16,2,0,0,376,0,4,0,12,4,0,2,8,0,0,0,32,2,0,0,18,8,526,150,4,0,60,2,22,8,72,6,0,0,140,510,0,6,12,92,76,0,26,0,0,46,0,0,2,0,0,22,0,34,36,228,0,0,0,0,0,0,24,0,0,0,0,0,12,46,0,50,0,8,18,46,1664,2,0,0,20,4,0,0,0,4,130,2,2
EST,0,2,0,4,0,6,4,4,0,22,34,0,0,38,0,0,2,14,0,0,2,0,0,0,0,10,0,0,0,0,20,22,4,28,0,0,0,0,4,0,0,0,0,0,8,16,68,0,0,30,0,2,2,0,0,50,0,2,64,0,34,0,136,2,8,0,0,0,0,18,0,0,0,0,0,0,18,0,32,10,22,22,12,0,0,8,56,0,2,10,0,6,0,0,0,0,12,0,0,0,0,2,0,0,0,14,0,20,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,116,72,2,0,6,0,6,2,4,2,0,0,26,28,0,0,0,26,48,0,8,0,0,4,0,0,0,0,0,6,0,22,16,50,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,4,0,4,10,2,80,0,0,0,0,4,0,0,2,0,10,0,0
ETH,0,0,0,0,0,8,0,0,0,16,4,0,2,20,2,2,4,0,0,0,0,0,0,0,0,2,0,2,0,4,64,14,6,32,24,6,2,2,8,0,0,6,0,0,0,2,46,2,0,0,0,4,0,0,0,12,2,0,4,0,40,0,62,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,6,4,0,0,0,12,2,0,6,0,30,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,12,0,44,14,2,0,2,0,2,0,6,2,0,0,6,0,0,0,0,0,0,8,0,0,2,2,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,8,8,0,0,156,0,0,0,0,4,0,0,0,0,50,14,6
FIN,0,0,0,2,0,8,28,2,0,232,60,0,0,136,0,4,32,12,2,0,34,0,0,0,0,42,0,0,0,6,128,178,16,146,2,2,0,0,10,0,0,0,0,0,8,30,342,0,0,202,0,2,2,2,0,150,64,4,0,0,184,0,718,0,10,0,0,0,0,42,0,2,0,0,0,0,10,0,40,8,92,50,16,2,10,64,182,0,2,70,4,2,0,0,0,0,12,0,0,2,0,0,6,0,0,8,18,6,0,6,0,0,8,0,6,0,32,0,0,0,4,0,2,2,4,0,0,0,2,0,288,192,30,0,82,4,6,0,6,0,0,0,56,58,0,10,0,18,78,0,6,0,0,20,0,0,0,0,0,10,0,6,24,468,0,0,0,0,0,0,8,0,0,0,0,0,0,24,0,30,4,0,10,2,630,0,0,0,0,12,0,0,8,0,114,0,0
FJI,0,0,0,0,0,4,0,0,0,70,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,4,2,0,0,0,8,4,2,6,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,0,0,2,0,2,2,0,2,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,6,2,0,2,12,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,18,0,0,0,0,0,2,2,0,0,4,0,0
FRA,0,0,0,0,0,76,72,8,0,446,214,2,0,746,4,8,2,28,4,0,34,0,0,0,2,162,4,0,2,0,836,622,80,514,18,30,4,4,42,0,10,2,0,0,38,124,1050,0,0,176,2,30,18,26,0,600,34,40,184,6,0,4,2146,4,8,0,0,0,0,150,0,0,4,6,0,0,20,2,96,26,120,148,22,6,6,82,1080,2,6,232,10,44,4,4,0,0,94,6,2,58,0,0,2,10,2,8,74,4,60,8,0,8,84,0,10,4,40,0,4,2,6,0,4,2,76,0,4,4,12,0,594,142,4,0,136,10,52,0,20,14,0,0,138,218,2,4,38,70,126,2,34,2,22,96,0,2,0,0,0,28,2,6,44,348,0,0,2,0,2,4,24,0,0,0,2,4,184,108,0,32,18,8,6,2,2212,2,0,0,0,38,2,0,0,0,180,4,6
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,12,0,6,0,150,180,6,0,3932,642,4,2,1440,6,6,142,90,6,2,54,10,2,0,8,502,22,16,2,8,2468,1632,232,2000,12,36,12,0,146,4,16,22,4,0,210,264,3562,0,0,884,0,2,30,116,2,1754,136,62,718,32,2146,0,7720,18,164,4,2,4,2,676,6,0,6,0,6,0,90,0,228,96,630,1176,88,56,66,374,2372,6,34,516,20,138,6,14,0,0,266,30,10,60,4,24,2,124,2,60,102,24,10,6,0,4,194,0,16,4,114,14,0,2,24,0,40,26,292,4,0,24,130,4,2840,1082,82,0,684,20,140,2,64,48,2,0,426,566,0,14,78,168,362,18,204,22,16,518,2,16,0,0,4,140,0,64,106,1424,2,2,0,0,0,0,130,0,0,2,2,16,16,274,0,222,68,72,40,30,9514,0,0,0,8,36,4,0,8,4,906,22,30
GEO,0,0,0,0,0,0,0,6,0,2,2,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,6,12,0,0,2,0,2,0,0,0,2,2,0,0,0,4,0,18,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,28,0,0,0,0,2,0,0,0,0,0,0,0
