,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BFA,BGD,BGR,BHR,BHS,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GMB,GNB,GRC,GRD,GTM,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MNG,MOZ,MWI,MYS,NGA,NIC,NLD,NOR,NPL,NZL,PAK,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SYR,TCD,THA,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
GBR,2,0,2,18,0,576,72,4,208,0,14,6,2,0,2,0,4,44,2,0,2,8,450,184,14,176,0,4,4,16,4,0,20,22,540,108,0,2,2,226,24,4,98,4,304,1712,2,8,4,0,110,0,0,0,12,36,14,24,112,6,4,26,130,278,4,8,82,0,8,0,4,30,2,4,10,2,6,2,12,4,8,8,0,2,0,30,0,0,12,0,2,4,16,8,0,516,104,2,164,6,8,16,0,38,90,0,2,0,10,46,12,0,0,28,2,12,22,12,154,0,0,12,0,8,2,44,26,20,2,12,2,1848,0,6,0,0,110,2,18
GEO,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,2,0,2,2,0,0,0,0,2,0,0,0,0,4,2,2,0,0,0,0,4,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,2,0,0,4,0,14,10,0,22,0,4,0,0,0,0,0,2,4,0,0,0,4,18,8,4,8,0,0,2,0,4,0,24,6,24,8,0,0,0,20,8,0,8,2,20,110,2,0,0,0,0,0,0,0,4,4,6,6,0,0,0,0,14,16,0,4,8,0,0,0,0,10,0,0,4,0,0,0,4,0,6,2,0,0,0,4,0,0,4,0,0,0,6,0,0,18,2,0,6,0,4,4,0,6,6,0,0,0,4,0,0,0,0,0,0,6,4,4,8,0,0,0,0,0,0,4,4,4,0,2,0,80,0,4,0,0,4,0,4
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
HRV,0,0,0,4,0,8,8,0,4,0,4,0,0,0,0,0,2,4,0,0,0,4,4,4,4,4,0,0,2,0,0,0,4,6,6,2,0,0,0,8,4,0,6,2,6,12,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,4,4,0,2,6,0,0,0,0,4,0,0,2,0,0,0,4,0,4,2,0,0,0,4,0,0,4,0,0,0,4,0,0,14,2,0,4,0,4,4,0,8,4,0,0,0,4,2,0,0,0,0,0,4,6,6,2,0,0,0,0,0,0,4,4,4,0,2,0,12,0,0,0,0,4,0,4
HUN,0,0,0,0,0,8,12,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,14,4,0,6,0,0,0,0,0,0,2,4,24,2,0,2,0,6,4,0,6,0,10,36,4,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,4,18,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,6,0,0,0,0,2,0,10,2,0,0,0,0,4,2,0,0,0,0,0,2,0,8,0,0,0,0,0,0,4,2,0,0,0,0,58,0,2,0,0,2,0,0
IDN,0,0,0,4,0,12,6,0,6,0,4,0,0,0,0,0,2,4,0,0,0,4,8,4,4,6,0,0,2,0,0,0,4,6,6,0,0,0,0,4,6,0,6,2,8,14,2,0,0,0,6,0,0,0,4,2,0,4,0,0,0,0,6,6,0,2,8,0,0,0,0,6,0,0,4,0,0,0,4,0,6,2,0,0,0,4,0,0,4,0,0,0,6,0,0,6,0,0,6,0,4,6,0,4,4,0,0,0,4,0,0,0,0,4,0,4,4,4,2,0,0,2,0,0,0,4,4,6,0,2,0,24,0,2,0,0,4,0,4
IND,0,0,0,2,0,10,4,0,8,0,2,0,0,0,2,0,0,6,0,0,0,2,22,4,2,6,0,0,0,0,2,0,2,4,14,2,0,2,0,2,4,2,4,2,8,24,2,0,0,0,6,0,0,0,2,2,4,0,2,0,0,0,4,6,0,2,14,2,0,0,2,4,0,0,4,0,0,0,2,0,4,0,0,0,0,2,0,0,2,0,0,0,8,0,0,8,4,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,6,0,2,2,2,4,0,0,6,0,0,0,4,2,2,0,2,0,116,0,2,0,0,6,2,4
IRL,0,0,0,0,0,14,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,18,0,0,0,0,0,0,0,0,10,2,0,0,0,8,0,0,2,0,6,112,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0
IRN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ISL,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ISR,0,0,0,4,0,36,10,0,16,0,4,0,0,0,0,0,2,4,0,0,0,4,70,6,4,6,0,0,2,0,0,0,6,6,52,12,0,0,0,18,6,0,12,2,48,130,4,0,0,0,14,0,0,0,4,4,6,4,4,0,0,0,0,12,0,4,8,0,0,0,0,6,0,0,6,0,0,0,4,0,6,4,0,0,0,4,0,0,4,0,0,0,6,0,0,48,8,0,6,0,4,4,0,8,4,0,0,0,4,10,0,0,0,0,0,4,4,4,10,0,0,0,2,0,0,4,10,4,0,2,0,498,0,4,0,0,6,0,4
ITA,0,0,0,4,0,42,32,0,64,0,4,4,2,0,0,0,2,14,0,0,0,4,60,44,4,22,0,0,2,0,0,0,8,8,116,12,0,0,0,56,8,0,18,2,80,278,2,0,0,0,16,0,0,0,4,18,6,6,8,0,0,0,12,0,0,4,20,0,0,0,2,16,0,0,4,0,0,0,6,2,6,2,0,0,0,6,2,0,4,0,0,0,6,0,0,88,10,0,16,0,4,4,0,12,16,0,0,0,8,0,0,0,0,4,2,6,4,10,22,0,0,2,0,0,2,8,10,4,0,4,2,378,0,4,0,0,6,2,6
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
JOR,0,0,2,2,0,2,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,4,4,2,2,0,0,0,0,0,0,2,2,4,0,0,0,0,2,2,0,2,2,2,8,0,0,0,0,4,0,0,0,2,0,2,2,0,0,0,0,4,4,0,0,2,0,0,0,0,2,0,0,2,2,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,2,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,10,0,0,0,0,2,0,2
JPN,0,0,0,4,0,30,8,0,12,0,4,0,0,0,0,0,2,4,0,0,0,4,74,18,4,70,2,0,2,0,0,0,4,8,38,2,0,0,0,14,6,0,10,2,28,82,2,0,0,0,8,0,0,0,6,2,8,14,2,0,0,0,8,20,0,2,0,0,2,0,2,18,0,0,4,0,2,0,4,0,6,4,0,0,0,4,0,0,4,0,0,0,8,0,0,28,4,2,10,2,4,8,0,8,6,0,0,0,8,0,0,0,0,8,4,4,4,4,6,0,0,4,0,0,0,10,12,4,0,2,0,330,0,4,2,0,8,0,4
KAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,2
KOR,0,0,0,4,0,6,6,0,6,0,4,0,0,0,0,0,2,4,0,0,0,4,28,6,4,34,0,0,2,0,0,0,4,6,12,0,0,0,0,6,8,0,8,2,8,30,2,0,0,0,10,0,0,0,4,2,6,4,0,0,0,0,6,16,0,2,18,0,0,0,0,0,0,0,4,0,0,0,4,0,6,2,0,0,0,8,0,0,4,0,0,0,6,0,0,4,0,0,6,0,4,4,0,4,4,0,0,0,4,6,0,0,0,10,0,4,4,4,2,0,0,2,0,0,0,4,10,4,0,2,0,284,0,2,0,0,6,0,4
KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,18,0,0,0,0,0,0,0
LAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
LBN,0,0,0,2,0,4,4,0,4,0,2,0,0,0,0,0,0,2,0,0,0,2,10,2,2,4,0,0,0,0,0,0,2,4,6,0,0,2,0,2,4,0,4,2,4,10,2,0,0,0,4,0,0,0,2,2,4,4,0,0,0,0,6,4,0,2,4,0,0,0,0,4,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,2,0,0,0,4,0,0,2,0,0,2,0,2,2,0,4,2,0,0,0,2,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,0,2,4,2,0,0,0,26,0,4,0,0,2,0,2
LBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LKA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTU,0,0,0,4,0,4,4,0,4,0,4,0,0,0,0,0,2,4,0,0,0,4,4,4,4,4,0,0,2,0,0,0,4,4,8,4,0,0,0,4,4,0,4,2,6,12,0,0,0,0,4,0,0,0,4,0,4,2,0,0,0,0,4,6,0,2,4,0,0,0,0,4,0,0,2,0,0,0,0,0,6,2,0,2,0,4,2,0,4,0,0,0,4,0,0,4,0,0,4,0,4,4,0,4,4,0,0,0,4,6,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,2,0,8,0,0,0,0,4,0,4
LUX,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
LVA,0,0,0,4,0,4,6,0,6,0,4,0,0,0,0,0,2,4,0,0,0,4,6,4,4,6,0,0,2,0,0,0,4,6,8,0,0,0,0,4,6,0,6,2,6,8,2,0,0,0,6,0,0,0,4,2,6,4,0,0,0,0,6,6,0,2,6,0,0,0,0,6,0,0,4,0,0,0,6,0,0,2,0,2,0,4,2,0,4,0,0,0,6,0,0,4,2,0,4,0,4,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,0,2,0,12,0,2,0,0,4,0,4
MAR,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,2,2,0,0,0,2,4,2,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,0,2,0,2,8,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,4,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,4,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,0,2,0,6,0,0,0,0,2,0,2
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MEX,0,0,0,8,0,14,4,0,6,0,4,0,0,0,0,0,2,10,0,0,0,4,18,8,4,8,0,0,2,2,2,2,4,4,10,0,0,0,0,20,4,0,4,2,10,30,0,0,0,0,4,0,0,0,4,0,4,2,0,0,0,0,4,6,0,2,4,0,0,0,0,8,0,0,2,0,0,0,4,0,4,2,0,0,0,0,0,0,4,0,0,0,4,0,0,8,0,0,4,0,4,6,0,4,4,0,0,0,4,0,0,0,0,0,2,4,4,4,0,0,0,0,0,2,0,4,4,4,2,2,0,110,0,0,0,0,6,0,4
MKD,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
MLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MLT,0,0,0,4,0,4,4,0,4,0,4,0,0,0,0,0,2,4,0,0,0,4,8,4,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,4,4,0,4,2,4,12,0,0,0,0,4,0,0,0,4,0,4,2,0,0,0,0,4,4,0,2,4,0,0,0,0,4,0,0,2,0,0,0,4,0,4,2,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,4,0,4,4,0,4,4,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,6,4,4,0,2,0,4,0,0,0,0,4,0,4
MNG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
MOZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2
MWI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
