,AGO,ALB,ARE,ARG,ARM,AUS,AUT,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GMB,GRC,GTM,GUY,HND,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MEX,MKD,MLI,MLT,MNG,MOZ,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRT,PRY,ROU,RUS,SAU,SEN,SGP,SVK,SVN,SWE,SWZ,SYR,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,WSM,YEM,YUG,ZAF,ZMB,ZWE
DEU,0,0,0,4,0,46,58,14,0,0,2,12,0,2,0,12,0,0,2,54,106,2,12,2,0,2,2,0,0,12,0,14,0,0,0,30,0,0,24,0,78,286,2,0,0,8,0,0,0,0,6,0,2,12,0,0,0,30,72,0,0,12,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,120,14,0,8,0,2,0,0,2,18,2,0,0,24,0,0,0,2,4,36,0,0,0,0,0,0,0,24,6,4,0,2,0,550,0,0,0,0,0,2,12,0,0
DNK,0,0,0,0,0,8,6,4,0,0,0,0,0,0,0,0,0,0,0,10,16,0,2,0,2,0,0,0,0,2,14,0,0,0,0,10,4,0,12,0,4,58,2,2,0,4,0,0,0,0,2,0,0,6,0,0,0,2,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,16,18,0,4,0,0,0,0,0,4,6,0,0,4,2,2,0,0,2,26,0,0,0,0,0,0,0,2,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
DOM,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
EGY,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ESP,0,0,0,14,0,16,8,18,0,0,0,0,0,0,0,6,0,0,2,26,10,4,4,0,0,2,0,0,0,4,30,10,0,0,0,0,0,0,6,0,26,146,2,0,0,12,0,0,0,0,6,2,2,6,0,0,2,18,44,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,2,0,48,2,0,2,0,0,2,0,2,6,10,0,0,4,0,0,0,2,2,12,0,0,0,0,0,0,0,6,0,0,0,0,0,166,0,0,0,0,0,0,4,0,0
EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
FIN,0,0,0,4,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,8,10,0,4,0,0,0,0,0,0,4,24,12,0,0,0,6,2,0,0,0,6,64,2,0,0,4,0,0,0,0,2,0,0,8,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,2,0,0,0,0,0,2,0,0,0,10,0,0,4,0,2,42,0,0,2,0,0,0,0,2,0,0,0,0,0,116,0,0,0,0,0,2,0,0,0
FJI,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
FRA,2,0,0,2,0,18,12,112,0,2,0,2,0,0,0,14,0,0,0,104,58,4,10,6,2,0,0,0,0,8,78,4,0,0,0,26,0,0,6,0,0,152,2,2,0,10,0,0,0,0,4,2,6,6,0,0,2,16,62,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,2,0,2,0,0,0,2,0,42,2,0,4,0,0,0,0,0,4,10,0,4,12,0,4,2,0,2,24,0,0,2,0,0,0,2,8,0,4,2,0,0,372,0,0,0,0,0,0,4,0,0
GBR,0,0,4,16,0,318,30,112,4,0,18,6,0,2,0,52,0,0,4,252,66,8,76,0,2,4,4,2,20,20,286,58,0,0,2,146,6,0,64,0,152,1556,2,6,0,42,0,0,0,4,20,2,26,146,8,0,6,54,210,0,6,66,0,12,0,0,0,8,0,0,4,2,2,6,0,2,0,0,0,6,0,0,2,0,0,8,0,0,0,8,0,226,42,0,84,2,20,0,2,0,20,48,0,2,30,2,4,30,4,4,76,4,0,4,0,0,2,0,24,10,10,8,4,0,1254,0,0,0,0,2,2,88,2,8
GEO,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,2,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
