,ALB,ARE,ARG,AUS,AUT,BEL,BFA,BGD,BGR,BOL,BRA,BRB,BWA,CAN,CHE,CHL,CHN,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,GTM,GUY,HKG,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JPN,KEN,KHM,KOR,KWT,LBN,LKA,LTU,LUX,LVA,MAR,MEX,MLI,MLT,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,PAK,PAN,PHL,PNG,POL,PRT,ROU,RUS,SAU,SDN,SEN,SGP,SLV,SVK,SVN,SWE,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,YUG,ZAF,ZWE
IDN,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IND,0,0,0,2,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,18,0,0,0,1,1
IRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0
IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ISR,0,0,0,1,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0
ITA,0,0,0,4,2,4,0,0,0,0,2,0,0,6,4,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,3,0,0,0,7,37,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,1
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
JPN,0,0,0,3,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,1,0,0,0,0,5,1,0,0,1,0,1,0,0,1,4,3,0,0,0,0,0,2,0,0,1,4,1,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,50,0,0,0,1,0
KEN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
