,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
GBR,10,0,6,0,158,108,6,0,3214,396,4,6,1180,2,4,42,18,12,2,66,4,0,4,234,30,2,0,4,2,2038,1258,158,1474,18,12,8,4,74,36,18,6,112,130,2990,0,0,752,2,2,10,96,1516,78,34,578,8,1918,0,0,6348,12,120,4,522,0,6,4,2,2,0,58,0,204,62,486,914,82,10,112,324,1902,24,30,428,24,116,4,6,0,0,244,10,48,38,2,10,2,40,2,40,70,20,16,4,0,0,114,0,2,6,52,4,2,0,14,0,6,36,348,6,0,0,100,0,2434,614,14,0,582,24,148,0,18,40,0,268,478,0,2,70,86,382,22,214,22,18,488,0,4,2,0,50,0,0,80,64,1024,2,4,2,0,162,2,0,0,16,20,282,174,48,62,32,12,8168,2,4,36,4,0,4,0,610,18,30
GEO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,2,0,0,0,0
GHA,0,0,0,0,2,0,0,0,10,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,4,2,0,2,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,6,0,2,2,0,2,0,0,120,0,0,2,6,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,6,12,2,0,2,18,0,30,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,6,6,0,0,98,0,0,2,0,0,0,0,22,2,14
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0
GRC,0,0,0,0,4,8,0,0,42,32,0,0,52,0,0,2,8,0,0,0,0,0,0,6,0,0,0,0,0,32,56,8,16,0,0,0,0,2,0,2,2,66,12,158,0,0,16,0,0,2,4,106,12,2,16,0,112,0,0,522,0,6,0,0,0,0,0,0,0,0,6,0,6,2,6,28,2,0,4,12,158,0,0,14,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,2,10,2,2,0,0,0,10,0,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,102,22,2,0,6,0,2,0,2,2,0,32,32,0,0,2,18,10,0,14,0,0,12,0,0,0,0,8,0,0,6,14,32,0,0,0,2,4,0,0,0,0,2,40,6,2,0,4,0,208,2,0,2,0,0,0,0,20,0,0
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,2,0,0,20,10,0,0,12,0,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,32,12,2,10,0,0,0,0,0,0,0,0,2,8,24,0,0,6,0,0,0,0,26,4,0,8,0,34,0,0,58,0,0,0,6,0,0,0,0,0,0,0,0,10,0,6,12,2,0,2,2,30,0,0,20,0,2,0,0,0,0,18,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0,0,0,2,0,0,0,2,0,18,12,0,0,0,0,0,0,4,0,0,14,14,0,0,0,4,10,0,0,0,0,4,0,0,0,0,32,0,0,12,48,16,0,0,0,0,16,0,0,0,0,0,18,2,0,2,2,0,74,0,0,0,0,0,0,0,0,0,0
HTI,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0
HUN,0,0,0,0,0,0,2,0,34,26,2,0,26,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,22,26,0,20,0,0,0,0,0,0,0,0,2,12,94,0,0,22,0,0,0,4,40,8,0,32,0,70,0,0,204,0,0,0,6,0,0,0,0,0,0,10,0,0,0,16,12,2,0,0,8,70,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,16,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,64,22,0,0,6,0,0,0,0,0,0,20,18,0,0,0,42,2,2,0,0,0,4,0,0,0,0,12,0,0,20,10,42,0,0,0,0,0,0,0,0,0,0,8,2,0,0,2,0,198,0,0,2,0,0,0,0,6,0,0
IDN,2,0,0,0,0,0,0,0,138,4,0,0,10,0,4,0,2,0,0,0,0,0,0,2,0,2,0,0,0,18,4,4,12,0,0,0,0,2,0,0,0,0,0,22,0,0,4,0,0,0,2,12,2,2,2,0,12,0,0,62,0,2,0,2,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,2,8,2,0,22,0,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,46,0,2,0,0,0,50,6,0,0,12,2,0,0,0,6,0,0,4,0,0,2,2,0,0,2,2,2,22,0,0,0,0,0,0,0,0,0,16,0,0,0,2,16,0,0,0,0,0,2,12,0,0,0,0,94,0,0,2,0,0,0,0,2,0,4
IND,0,0,2,0,4,6,0,0,196,4,0,0,56,0,0,8,0,2,0,2,0,0,2,30,4,0,10,0,0,154,92,4,152,4,0,0,2,6,0,2,0,4,2,126,0,0,42,0,0,0,10,48,2,6,10,2,130,0,2,486,0,8,0,6,0,0,2,0,2,0,6,0,16,8,0,10,4,0,0,22,38,0,0,44,4,14,0,0,0,0,46,2,4,4,0,2,0,6,0,6,16,2,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,12,0,92,64,18,0,28,0,14,0,6,8,0,4,14,0,0,2,14,12,0,10,0,32,60,0,0,2,0,4,0,0,2,2,96,0,0,0,0,22,0,0,0,0,8,8,16,2,4,2,0,848,2,2,8,0,0,0,0,44,0,0
IRL,0,0,0,0,2,20,0,0,118,12,0,0,82,0,0,8,0,4,0,0,0,0,0,14,2,0,0,0,0,148,60,6,44,0,0,0,0,4,18,0,0,6,6,110,0,0,62,0,0,2,2,110,8,6,48,0,104,0,0,914,0,2,0,28,0,0,0,0,0,0,12,0,12,2,10,0,4,0,12,10,86,2,0,36,0,4,0,0,0,0,12,4,0,6,0,0,0,0,2,2,4,2,2,0,0,0,8,0,0,0,4,0,0,0,0,0,0,2,4,0,0,0,2,0,98,46,2,0,22,0,4,0,2,8,0,18,58,0,0,0,8,50,0,2,0,0,18,0,0,0,0,0,0,0,2,14,68,0,0,0,0,4,0,0,0,2,0,18,8,2,0,8,0,422,0,0,2,0,0,0,0,16,0,0
IRN,0,0,0,0,4,0,0,0,40,2,0,0,8,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0,48,8,0,8,0,0,0,0,0,0,0,0,0,10,34,0,0,6,0,0,0,2,8,0,0,10,0,18,0,0,82,0,0,0,2,0,0,0,0,0,0,2,0,2,0,4,4,0,0,2,0,22,0,0,6,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,16,6,0,0,4,0,2,0,2,0,0,4,2,0,0,2,4,4,0,8,0,0,0,0,0,0,0,2,0,0,4,0,14,0,0,0,0,18,0,0,0,0,4,18,4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0
ISL,0,0,4,0,0,4,0,0,16,4,0,0,18,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,12,0,16,0,0,0,0,0,0,0,0,0,10,34,0,0,44,0,0,0,2,20,2,0,24,0,18,0,0,112,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,12,2,0,0,8,16,0,0,6,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,2,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,40,38,0,0,10,0,0,0,2,0,0,6,12,0,0,0,8,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,120,0,0,0,0,0,2,0,6,0,0
ISR,0,0,0,0,2,36,2,0,100,26,0,0,38,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,144,32,6,50,0,0,0,0,0,0,0,2,2,0,200,0,0,26,0,0,0,2,108,2,0,24,0,62,0,0,324,0,0,0,12,0,0,0,0,0,0,2,0,8,2,22,10,0,0,8,0,84,0,2,46,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,46,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,98,22,0,0,12,0,0,0,0,0,0,10,14,0,4,4,14,20,0,0,0,0,20,0,0,0,0,2,0,0,2,8,28,0,0,0,2,0,4,0,0,0,0,48,8,0,0,6,0,1036,0,2,0,0,0,0,0,18,0,0
ITA,0,0,10,0,18,30,2,0,320,226,0,0,402,0,2,0,8,0,0,6,2,0,2,78,24,0,0,0,0,308,432,48,168,12,4,0,2,50,0,2,2,20,46,852,0,0,140,0,2,2,30,524,16,4,144,0,858,0,0,1902,2,0,0,158,0,0,0,0,2,2,30,0,70,8,38,86,22,0,16,84,0,0,10,124,4,20,0,0,0,0,40,2,0,8,0,0,2,2,0,18,32,6,4,0,0,0,18,0,6,0,12,16,2,0,0,2,0,0,8,0,0,0,0,0,576,128,2,0,56,0,8,0,8,16,0,106,178,0,0,14,78,78,0,10,2,0,66,0,0,0,0,46,0,0,12,38,222,0,0,0,0,28,0,0,2,0,12,58,20,0,0,4,6,1780,2,0,2,0,0,2,0,64,4,2
JAM,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,2,2,2,0,0,0,0,2,0,4,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,30,0,0,0,0,0,0,0,2,0,0
JOR,0,0,0,0,10,0,0,0,12,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,4,2,0,0,6,0,0,0,0,0,6,0,0,2,0,2,0,6,4,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,4,0,0,0,0,2,2,0,0,6,0,0,0,0,0,4,0,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0,54,2,0,0,0,0,0,2,0,0,0
JPN,18,0,4,0,2,60,0,0,192,38,4,0,78,0,0,8,2,0,0,0,0,0,2,28,0,0,2,0,0,170,84,6,276,0,0,0,0,4,18,6,0,0,4,178,0,0,30,0,0,0,12,122,6,6,32,2,158,0,2,428,0,8,0,14,0,0,0,0,0,0,20,0,6,22,44,36,6,0,6,46,124,0,2,0,0,18,0,4,0,0,130,4,2,0,0,0,0,16,0,10,4,2,2,0,0,0,44,0,0,0,0,16,0,0,0,0,0,2,34,0,0,0,2,0,146,18,4,0,32,0,20,0,8,28,0,16,38,0,0,4,8,30,0,0,0,0,66,0,2,2,0,10,0,0,4,2,82,0,2,0,0,72,0,0,0,0,0,22,66,6,2,6,0,914,0,2,18,0,0,2,0,28,0,2
KAZ,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,4,0,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0
KEN,0,0,2,0,4,6,0,0,26,4,0,6,12,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,24,8,0,16,6,4,2,2,10,0,0,0,0,2,48,0,0,4,0,2,0,6,10,0,10,2,0,10,0,0,116,0,12,2,2,0,0,0,0,0,0,2,0,0,0,14,4,2,0,2,2,20,0,8,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,2,4,0,0,2,6,0,0,0,0,0,0,0,6,0,0,4,2,4,0,0,14,0,24,14,2,0,0,0,0,0,4,12,0,4,2,0,0,0,2,10,6,0,0,2,2,0,2,0,0,2,0,0,0,0,12,0,2,0,0,14,0,0,0,0,4,4,6,22,10,2,0,188,0,0,6,0,0,2,2,54,2,8
KGZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
KIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
KNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
KOR,0,0,4,0,6,10,0,0,98,12,0,0,26,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,110,38,6,198,0,0,0,0,2,0,0,0,0,4,108,0,0,4,0,0,0,4,28,2,4,16,2,76,0,0,244,0,0,0,12,0,0,0,0,0,0,18,0,2,4,46,12,8,0,6,12,40,0,0,130,2,6,0,0,0,0,0,4,0,0,0,0,0,4,0,6,0,2,2,0,0,0,8,0,0,0,4,16,0,2,0,0,2,0,38,0,0,0,2,0,34,18,4,0,26,0,8,0,8,20,0,12,12,0,0,4,4,16,0,4,0,0,88,0,0,0,0,8,0,0,2,0,12,0,0,0,0,32,0,0,0,0,6,26,54,6,2,2,0,1810,0,0,4,0,0,2,0,8,0,0
KWT,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
LAO,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,2,0,0
LBN,0,0,0,0,2,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,4,0,6,0,0,0,0,0,0,0,0,2,2,10,0,0,0,0,0,0,10,10,2,0,0,0,22,0,0,38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,90,0,0,0,0,0,0,0,2,0,0
