,ALB,ANT,ARE,ARG,AUS,AUT,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BMU,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GIN,GRC,GTM,GUF,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LBY,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLI,MLT,MOZ,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SOM,SRB,SVK,SVN,SWE,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
SRB,0,0,0,4,4,4,6,0,0,2,0,0,0,2,0,0,2,4,0,0,2,8,4,4,4,0,0,2,0,0,0,6,4,4,0,0,0,0,4,4,0,6,2,4,12,0,0,0,4,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,2,4,0,2,0,14,0,0,0,0,2,0,4
SVK,0,0,0,4,4,12,8,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,10,8,0,0,0,0,4,4,0,4,2,6,16,0,0,0,2,0,0,0,4,4,4,2,0,0,0,8,4,0,0,6,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,10,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,2,4,0,2,0,14,0,0,0,0,2,0,4
SVN,0,0,0,4,4,10,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,8,4,4,4,0,0,2,0,0,0,4,8,8,0,0,0,0,4,4,0,4,2,10,24,0,0,0,2,0,0,0,6,2,4,2,0,0,0,4,8,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,4,2,0,4,0,0,0,4,2,0,6,4,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,2,4,0,2,0,14,0,0,0,0,2,0,4
SWE,0,0,0,0,24,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,14,0,8,0,0,0,0,2,0,0,2,56,46,0,0,0,22,6,2,54,0,24,142,0,4,0,10,0,0,0,0,2,2,4,2,2,0,4,36,0,0,20,0,2,0,2,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,76,50,0,4,0,0,0,0,0,0,4,12,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,8,0,0,0,2,0,268,0,4,0,0,6,0,0
SYR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THA,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
TUR,0,0,0,4,4,4,6,0,0,2,0,0,0,0,0,0,2,4,0,0,2,14,8,4,6,0,0,2,0,0,0,4,4,14,2,0,0,0,6,4,0,4,2,6,42,0,0,0,2,0,0,0,2,0,4,2,0,0,0,8,6,0,0,6,0,0,2,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,14,2,0,8,0,0,0,4,2,0,4,4,0,4,2,0,0,0,0,0,0,0,4,4,4,8,0,0,0,0,0,2,4,0,2,0,122,0,0,0,0,2,0,4
TWN,0,0,0,2,10,2,2,0,0,0,2,0,0,0,0,0,2,2,0,0,2,10,2,2,22,0,0,2,0,0,0,2,2,4,0,0,0,0,2,2,0,2,2,2,16,0,0,0,2,0,0,0,2,2,2,2,0,0,0,2,4,0,0,6,0,0,0,6,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,8,0,0,2,2,2,0,0,0,0,0,2,0,2,0,4,0,170,0,0,0,0,0,0,2
TZA,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,4,4,0,4,2,4,16,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,2,0,4,0,0,4,0,0,4,0,4,2,0,4,2,4,0,0,0,4,0,0,2,0,4,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,0,0,2,0,10,0,0,0,0,4,0,4
UGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,2
UKR,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4,2,2,2,0,0,2,0,0,0,2,2,4,0,0,0,0,2,2,0,2,2,2,20,0,0,0,2,0,0,0,2,0,2,0,0,0,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,2,4,2,0,0,0,10,2,0,0,0,0,0,2
